rule_id,source_asset_id,source_document,source_page,source_section,source_item,fact_or_inference,extraction_method,evidence_quality,ocr_limited,review_status,notes
RO-032,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,467,Ⅲ-3-13-1,表3-51,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
RO-033,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,466,Ⅲ-3-13,第24条,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
RO-034,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,383,Ⅲ-3-7,第18条,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
RO-035,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,347-348,Ⅲ-3-3-1 b,解説,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
RO-036,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,161,Ⅲ-1-3,第13条,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
RO-037,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,PENDING,X1-P03,実案件,UNRESOLVED,未実施,N/A,NO,PENDING,X1-P03で確定
LIN-001,DOC-X0-0035,JIP-LINER_マニュアル,39,5.2.2 ライン設定,要素種類,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-002,DOC-X0-0035,JIP-LINER_マニュアル,39,5.2.2,クロソイド要素,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,実案件A=450と照合対象
LIN-003,DOC-X0-0035,JIP-LINER_マニュアル,39,5.2.2,円要素,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-004,DOC-X0-0035,JIP-LINER_マニュアル,39-47,5.2.2,断面形状,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-005,DOC-X0-0035,JIP-LINER_マニュアル,75-85,5.5 ピア設定,ピア記号・設定方法,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-006,DOC-X0-0035,JIP-LINER_マニュアル,123,5.8.2,格点間距離,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,交角による補正は橋梁斜角に関連
LIN-007,DOC-X0-0035,JIP-LINER_マニュアル,124,5.8.3,張り出し長,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-008,DOC-X0-0035,JIP-LINER_マニュアル,115,5.6.4,座標変換,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-009,DOC-X0-0035,JIP-LINER_マニュアル,143,8. 図面作成,GDRAW,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-010,DOC-X0-0035,JIP-LINER_マニュアル,2,1.2 プログラム構成,MDVIEWER,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
LIN-011,DOC-X0-0035,JIP-LINER_マニュアル,122,5.8,LDIST,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
PR-001,DOC-X0-0143,サンプル_道路線形計算例,1732-1810,5.2 ラインデータ,主要点座標リスト,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,実案件採用値（基準値ではなく採用値）
PR-002,DOC-X0-0143,サンプル_道路線形計算例,1740-1745,5.3 測点設定,ブレーキ測点,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,実案件採用値
PR-003,DOC-X0-0143,サンプル_道路線形計算例,1732-1810,主要点座標リスト,クロソイドA値,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,実案件採用値。基準値と照合（CONSISTENT）
PR-004,DOC-X0-0143,サンプル_道路線形計算例,1732-1810,主要点座標リスト,円曲線半径,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,実案件採用値。最小曲線半径規定値と照合（CONSISTENT）
PR-005,DOC-X0-0143,サンプル_道路線形計算例,3960,ＩＰの角度・距離計算書,交角IA・CL・TL,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,実案件採用値
BR-001,DOC-X0-0001,鋼鈑桁橋_設計計算例,2,第1章 設計条件,1.1 設計条件,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,旭高架橋AランプPU15-AR2
BR-002,DOC-X0-0001,鋼鈑桁橋_設計計算例,2,第1章 設計条件,斜角,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
BR-003,DOC-X0-0001,鋼鈑桁橋_設計計算例,2,第1章 設計条件,橋長・桁長・支間,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
BR-004,DOC-X0-0001,鋼鈑桁橋_設計計算例,135-136,3.1 構造解析モデル,格点座標・格点番号・部材番号,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,
BR-005,DOC-X0-0091,APOLLO_ユーザーズマニュアル,16-20,2-3 SUPERDRAWING,自動製図の実行,FACT,限定OCR（該当ページのみ）,HIGH,YES,PENDING,APOLLO 2002年4月版
