text_id,current_text,source_path,symbol,screen,category,user_visible,technical_only,frequency,evidence_class,recommended_action,notes
JP1A-0081,mode: / stale: meta line,ReportModelDevelopmentPanel,meta,stl,TECHNICAL_DETAIL,YES,NO,MED,MIXED_JA_EN,KEEP_TECHNICAL,Collapse to L3
JP1A-0082,CANDIDATE / UNVERIFIED,DemandCheckDevelopmentPanel,banner,analysis,AUTHORIZATION,YES,NO,MED,CODE_LITERAL,TRANSLATE_TO_JA,
JP1A-0083,NOT FOR ESTIMATE,QuantityModelDevelopmentPanel,banner,quantity,AUTHORIZATION,YES,NO,MED,CODE_LITERAL,TRANSLATE_TO_JA,積算にも使用禁止
JP1A-0084,WF-01..WF-15 step IDs,workflow registry,ids,workflow,WORKFLOW_STEP,YES,NO,HIGH,CODE_LITERAL,ALLOWLIST,Show with JA title
JP1A-0085,data-testid english ids,all components,testids,other,OTHER,NO,YES,HIGH,CODE_LITERAL,KEEP_TECHNICAL,Not user visible
JP1A-0086,SHARP_CORNER_DEVELOPMENT,assumptions viz,assumption,viewer,TECHNICAL_DETAIL,NO,YES,LOW,CODE_LITERAL,KEEP_TECHNICAL,
JP1A-0087,PARAMETERIZED_ATTACHMENT_TOPOLOGY_IMPLEMENTED,assumptions viz,assumption,viewer,TECHNICAL_DETAIL,NO,YES,LOW,CODE_LITERAL,KEEP_TECHNICAL,
JP1A-0088,ER-001 / ER-002,docs+banners,gates,authorization,TECHNICAL_DETAIL,YES,NO,MED,MIXED_JA_EN,KEEP_TECHNICAL,L3 human gate ids
JP1A-0089,CONTINUOUS / SIMPLE_SINGLE,bridge system select values,select,bridge-structure,TECHNICAL_DETAIL,NO,YES,MED,CODE_LITERAL,KEEP_TECHNICAL,Labels already JA
JP1A-0090,RECT haunch shape,RcDeckHaunchInputPanel,select,haunch,FIELD_LABEL,YES,NO,LOW,CODE_LITERAL,TRANSLATE_TO_JA,矩形
JP1A-0091,LEFT_CURB slot keys if shown raw,DeckAppurtenanceInputPanel,slots,appurtenance,FIELD_LABEL,YES,NO,MED,CODE_LITERAL,REVIEW,Prefer JP slot labels
JP1A-0092,PROVIDED / NOT_PROVIDED / EXPLICIT_NONE,presence radios,presence,pavement,STATUS,YES,NO,HIGH,CODE_LITERAL,TRANSLATE_TO_JA,あり/未入力/なし
JP1A-0093,Undo message english keys in history,ApolloPhase1Shell,history,workspace,TECHNICAL_DETAIL,NO,YES,LOW,CODE_LITERAL,KEEP_TECHNICAL,
JP1A-0094,blocked_by_numeric_evidence,ApolloPhase1Shell,material-status,workspace,TECHNICAL_DETAIL,NO,YES,LOW,CODE_LITERAL,KEEP_TECHNICAL,
JP1A-0095,unverified provisionalStatus,ApolloPhase1Shell,material,workspace,STATUS,YES,NO,LOW,CODE_LITERAL,TRANSLATE_TO_JA,
JP1A-0096,Fit/iso/xy english if viewer controls shared,viewer/ViewerControls,controls,viewer,BUTTON,YES,NO,MED,CODE_LITERAL,REVIEW,Outside apollo/ but visible
JP1A-0097,Export ZIP (if labeled EN),output panels,export,stl,EXPORT,YES,NO,LOW,CODE_LITERAL,TRANSLATE_TO_JA,Allow ZIP acronym
JP1A-0098,Human engineering review,cross-frame banner,banner,cross-frame,AUTHORIZATION,YES,NO,MED,CODE_LITERAL,TRANSLATE_TO_JA,
JP1A-0099,validation OK（engineering authorization は未付与）,CrossFrameAttachmentInputPanel,validation-ok,cross-frame,STATUS,YES,NO,MED,MIXED_JA_EN,TRANSLATE_TO_JA,
JP1A-0100,Apollo Phase 1 / Unit2 labels,ApolloPhase1Shell,chrome,basics,SCREEN_TITLE,YES,NO,MED,MIXED_JA_EN,TRANSLATE_TO_JA,Hide Unit2 from L1
