golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0069,load_value.pavement,ENT-LINE-ACL,1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,"LOAD-001,CAL-VAL-P00119-003",LD-009,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Dead load: pavement
GIN-0080,load_value.collision_vehicle,ENT-LINE-ACL,13.0,kN/m,13.0,kN/m,LOAD_VALUE,"LOAD-016,CH2-VAL-008",LD-020,calc_pdf_p18,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Vehicle collision load
GIN-0081,load_value.wind_WS,ENT-LINE-ACL,40.06,kN/m,40.06,kN/m,LOAD_VALUE,"LOAD-019,CAL-VAL-P00685-005",LD-021,calc_pdf_p685,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Wind load WS (alpha=1.30)
GIN-0082,load_value.seismic_L1,ENT-LINE-ACL,35.89,kN/m,35.89,kN/m,LOAD_VALUE,"LOAD-021,CAL-VAL-P00686-002",LD-022,calc_pdf_p686,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Level 1 equivalent seismic load
GIN-0083,load_value.wheel_P,ENT-LINE-ACL,100,kN,100,kN,LOAD_VALUE,"LOAD-023,CAL-VAL-P00767-003",LD-023,calc_pdf_p767,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,T-wheel load P=100 kN
GIN-0084,load_value.collision_F,ENT-LINE-ACL,35.0,kN,35.0,kN,LOAD_VALUE,"LOAD-025,CAL-VAL-P00768-001",LD-024,calc_pdf_p768,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,SC class collision load F=35.0 kN
GIN-0085,load_value.node_load.nose_curb_S1_AG1,ENT-LINE-ACL,30,kN,30,kN,LOAD_VALUE,"CAL-TBL-P00125-001,CAL-VAL-P00125-001",LD-028,calc_pdf_p125,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load nose_curb_S1_AG1 applied at panel point
GIN-0086,load_value.node_load.nose_curb_C1_AG1,ENT-LINE-ACL,48,kN,48,kN,LOAD_VALUE,"CAL-TBL-P00125-002,CAL-VAL-P00125-002",LD-029,calc_pdf_p125,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load nose_curb_C1_AG1 applied at panel point
GIN-0087,load_value.node_load.deck_widening_S1_AG1,ENT-LINE-ACL,11,kN,11,kN,LOAD_VALUE,"CAL-TBL-P00125-003,CAL-VAL-P00125-003",LD-030,calc_pdf_p125,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_widening_S1_AG1 applied at panel point
GIN-0088,load_value.node_load.deck_widening_C1_AG1,ENT-LINE-ACL,20,kN,20,kN,LOAD_VALUE,"CAL-TBL-P00125-004,CAL-VAL-P00125-004",LD-031,calc_pdf_p125,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_widening_C1_AG1 applied at panel point
GIN-0089,load_value.node_load.nose_droop_S1_AG1,ENT-LINE-ACL,31,kN,31,kN,LOAD_VALUE,"CAL-TBL-P00128-001,CAL-VAL-P00128-001",LD-032,calc_pdf_p128,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load nose_droop_S1_AG1 applied at panel point
GIN-0090,load_value.node_load.nose_droop_C1_AG1,ENT-LINE-ACL,23,kN,23,kN,LOAD_VALUE,"CAL-TBL-P00128-002,CAL-VAL-P00128-002",LD-033,calc_pdf_p128,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load nose_droop_C1_AG1 applied at panel point
GIN-0091,load_value.node_load.nose_droop_C2_AG1,ENT-LINE-ACL,8,kN,8,kN,LOAD_VALUE,"CAL-TBL-P00128-003,CAL-VAL-P00128-003",LD-034,calc_pdf_p128,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load nose_droop_C2_AG1 applied at panel point
GIN-0092,load_value.node_load.deck_droop_S1_AG1,ENT-LINE-ACL,35,kN,35,kN,LOAD_VALUE,CAL-TBL-P00131-001,LD-035,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_S1_AG1 applied at panel point
GIN-0093,load_value.node_load.deck_droop_S1_AG2,ENT-LINE-ACL,62,kN,62,kN,LOAD_VALUE,CAL-TBL-P00131-002,LD-036,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_S1_AG2 applied at panel point
GIN-0094,load_value.node_load.deck_droop_PR1_AG1,ENT-LINE-ACL,11,kN,11,kN,LOAD_VALUE,CAL-TBL-P00131-003,LD-037,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_PR1_AG1 applied at panel point
GIN-0095,load_value.node_load.deck_droop_PR1_AG2,ENT-LINE-ACL,11,kN,11,kN,LOAD_VALUE,CAL-TBL-P00131-004,LD-038,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_PR1_AG2 applied at panel point
GIN-0096,load_value.node_load.deck_droop_PR2_AG1,ENT-LINE-ACL,11,kN,11,kN,LOAD_VALUE,CAL-TBL-P00131-005,LD-039,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_PR2_AG1 applied at panel point
GIN-0097,load_value.node_load.deck_droop_PR2_AG2,ENT-LINE-ACL,11,kN,11,kN,LOAD_VALUE,CAL-TBL-P00131-006,LD-040,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_PR2_AG2 applied at panel point
GIN-0098,load_value.node_load.deck_droop_S2_AG1,ENT-LINE-ACL,17,kN,17,kN,LOAD_VALUE,CAL-TBL-P00131-007,LD-041,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_S2_AG1 applied at panel point
GIN-0099,load_value.node_load.deck_droop_S2_AG2,ENT-LINE-ACL,17,kN,17,kN,LOAD_VALUE,CAL-TBL-P00131-008,LD-042,calc_pdf_p131,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load deck_droop_S2_AG2 applied at panel point
GIN-0100,load_value.node_load.girder_end_S1_AG1,ENT-LINE-ACL,37,kN,37,kN,LOAD_VALUE,CAL-TBL-P00132-001,LD-043,calc_pdf_p132,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load girder_end_S1_AG1 applied at panel point
GIN-0101,load_value.node_load.girder_end_S1_AG2,ENT-LINE-ACL,44,kN,44,kN,LOAD_VALUE,CAL-TBL-P00132-002,LD-044,calc_pdf_p132,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load girder_end_S1_AG2 applied at panel point
GIN-0102,load_value.node_load.girder_end_S2_AG1,ENT-LINE-ACL,50,kN,50,kN,LOAD_VALUE,CAL-TBL-P00132-003,LD-045,calc_pdf_p132,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load girder_end_S2_AG1 applied at panel point
GIN-0103,load_value.node_load.girder_end_S2_AG2,ENT-LINE-ACL,50,kN,50,kN,LOAD_VALUE,CAL-TBL-P00132-004,LD-046,calc_pdf_p132,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load girder_end_S2_AG2 applied at panel point
GIN-0104,load_value.node_load.wrapping_S1_AG1,ENT-LINE-ACL,215,kN,215,kN,LOAD_VALUE,CAL-TBL-P00133-011,LD-047,calc_pdf_p133,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_S1_AG1 applied at panel point
GIN-0105,load_value.node_load.wrapping_S1_AG2,ENT-LINE-ACL,215,kN,215,kN,LOAD_VALUE,CAL-TBL-P00133-012,LD-048,calc_pdf_p133,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_S1_AG2 applied at panel point
GIN-0106,load_value.node_load.wrapping_S2_AG1,ENT-LINE-ACL,226,kN,226,kN,LOAD_VALUE,CAL-TBL-P00134-001,LD-049,calc_pdf_p134,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_S2_AG1 applied at panel point
GIN-0107,load_value.node_load.wrapping_S2_AG2,ENT-LINE-ACL,226,kN,226,kN,LOAD_VALUE,CAL-TBL-P00134-002,LD-050,calc_pdf_p134,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_S2_AG2 applied at panel point
GIN-0108,load_value.node_load.wrapping_PR1_AG1,ENT-LINE-ACL,283,kN,283,kN,LOAD_VALUE,CAL-TBL-P00134-003,LD-051,calc_pdf_p134,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_PR1_AG1 applied at panel point
GIN-0109,load_value.node_load.wrapping_PR1_AG2,ENT-LINE-ACL,283,kN,283,kN,LOAD_VALUE,CAL-TBL-P00134-004,LD-052,calc_pdf_p134,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_PR1_AG2 applied at panel point
GIN-0110,load_value.node_load.wrapping_PR2_AG1,ENT-LINE-ACL,283,kN,283,kN,LOAD_VALUE,CAL-TBL-P00134-005,LD-053,calc_pdf_p134,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_PR2_AG1 applied at panel point
GIN-0111,load_value.node_load.wrapping_PR2_AG2,ENT-LINE-ACL,283,kN,283,kN,LOAD_VALUE,CAL-TBL-P00134-006,LD-054,calc_pdf_p134,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nodal concentrated load wrapping_PR2_AG2 applied at panel point
GIN-0112,load_application.distributed_dead_load,ENT-LINE-ACL,,,,,LOAD_VALUE,"CAL-FIG-P00137-001,CAL-FIG-P00118-001,CAL-NOT-P00119-001,CAL-NOT-P00119-002",LD-057,calc_pdf_p137,,CALCULATION,MEDIUM,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with MEDIUM confidence,,,H29_REFERENCE,Distributed dead loads applied per girder line / deck strip (load diagram)
GIN-0113,load_application.panel_point_loads,ENT-LINE-ACL,,,,,LOAD_VALUE,"CAL-FIG-P00138-001,CAL-NOT-P00119-003,CAL-TBL-P00125-001,CAL-TBL-P00131-001",LD-058,calc_pdf_p138,,CALCULATION,MEDIUM,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with MEDIUM confidence,,,H29_REFERENCE,"Concentrated loads applied at panel points (S1, C1, C2, PR1, PR2, S2)"
