golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0011,grid_point.1001.X,ENT-GIRDER-AG1,1.21766,m,1.21766,m,COORDINATE,CAL-TBL-P00141-001,GEO-012,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1001 X coordinate
GIN-0012,grid_point.1001.Y,ENT-GIRDER-AG1,1.47689,m,1.47689,m,COORDINATE,CAL-TBL-P00141-002,GEO-013,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1001 Y coordinate
GIN-0013,grid_point.1027.X,ENT-GIRDER-AG1,132.76045,m,132.76045,m,COORDINATE,CAL-TBL-P00141-003,GEO-014,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1027 X coordinate
GIN-0014,grid_point.1027.Y,ENT-GIRDER-AG1,1.55372,m,1.55372,m,COORDINATE,CAL-TBL-P00141-004,GEO-015,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 1027 Y coordinate
GIN-0015,grid_point.2001.X,ENT-GIRDER-AG2,1.46395,m,1.46395,m,COORDINATE,CAL-TBL-P00141-005,GEO-016,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2001 X coordinate
GIN-0016,grid_point.2001.Y,ENT-GIRDER-AG2,-3.02859,m,-3.02859,m,COORDINATE,CAL-TBL-P00141-006,GEO-017,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2001 Y coordinate
GIN-0017,grid_point.2027.X,ENT-GIRDER-AG2,132.55077,m,132.55077,m,COORDINATE,CAL-TBL-P00141-007,GEO-018,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2027 X coordinate
GIN-0018,grid_point.2027.Y,ENT-GIRDER-AG2,-2.94155,m,-2.94155,m,COORDINATE,CAL-TBL-P00141-008,GEO-019,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2027 Y coordinate
GIN-0019,cross_section.deck_total_width,ENT-DECK,8010,mm,8.01,m,DIMENSION,"CAL-FIG-P00118-001,CH1-VAL-010,GEO-019",GEO-070,calc_pdf_p118,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Standard cross section 8010 x 7000 mm (deck total x effective)
GIN-0020,cross_section.deck_thickness,ENT-DECK,230,mm,0.23,m,deck_thickness,"CH1-VAL-022,CH2-VAL-022,CAL-VAL-P00119-004,DWG-DIM-S009-007",GEO-071,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Composite deck thickness 230 mm
GIN-0021,cross_section.pavement_thickness,ENT-DECK,80,mm,0.08,m,DIMENSION,"CH1-VAL-021,CAL-VAL-P00119-001,DWG-DIM-S009-008",GEO-072,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Pavement thickness 80 mm
GIN-0022,cross_section.upper_flange_width,ENT-GIRDER-AG1,620,mm,0.62,m,DIMENSION,"DWG-DIM-S013-010,ADV-001",GEO-073,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Top flange width 620 mm (all sections)
GIN-0023,cross_section.web_height,ENT-GIRDER-AG1,2537-2657,mm,2537-2657,m,DIMENSION,"DWG-DIM-S013-012,GEO-017",GEO-076,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Web height range 2537-2657 mm across sections
GIN-0024,cross_section.web_thickness,ENT-GIRDER-AG1,14,mm,0.014,m,DIMENSION,"DWG-DIM-S013-013,ADV-002,GEO-018",GEO-077,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Web thickness 14 mm (constant)
GIN-0025,support_line.pu15,ENT-SUPPORT-PU15,PU15,,PU15,,SUPPORT_CONDITION,"DWG-MEM-S1,MEMID-005",GEO-078,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line PU15 (S1); outer pier/abutment (drawing sheets 9-12)
GIN-0026,support_line.pr1,ENT-SUPPORT-PR1,PR1,,PR1,,SUPPORT_CONDITION,"DWG-MEM-PR1,MEMID-007",GEO-079,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line PR1; intermediate pier 1 (drawing sheets 9-12)
GIN-0027,support_line.pr2,ENT-SUPPORT-PR2,PR2,,PR2,,SUPPORT_CONDITION,"DWG-MEM-PR2,MEMID-008",GEO-080,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line PR2; intermediate pier 2 (drawing sheets 9-12)
GIN-0028,support_line.ar2,ENT-SUPPORT-AR2,AR2,,AR2,,SUPPORT_CONDITION,"DWG-MEM-S2,MEMID-006",GEO-081,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Support line AR2 (S2); outer abutment; calc label A2 (conflict CF-001)
GIN-0029,elevation.longitudinal_gradient.1,ENT-LINE-ACL,6.000,%,6.000,%,longitudinal_gradient,CH1-VAL-016,GEO-082,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Longitudinal gradient i1
GIN-0030,elevation.longitudinal_gradient.2,ENT-LINE-ACL,0.100,%,0.100,%,longitudinal_gradient,CH1-VAL-017,GEO-083,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Longitudinal gradient i2
GIN-0031,elevation.cross_gradient.1,ENT-LINE-ACL,5.000,%,5.000,%,cross_gradient,CH1-VAL-018,GEO-084,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Cross gradient i1
GIN-0032,elevation.cross_gradient.2,ENT-LINE-ACL,2.000,%,2.000,%,cross_gradient,CH1-VAL-019,GEO-085,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Cross gradient i2
GIN-0033,elevation.cross_gradient.3,ENT-LINE-ACL,2.958,%,2.958,%,cross_gradient,CH1-VAL-020,GEO-086,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Cross gradient i3
GIN-0034,elevation.deck_elevation_DL,ENT-DECK,10.00,m,10.00,m,DIMENSION,S141-D11,GEO-087,,DWG-S141,DRAWING,MEDIUM,PARTIAL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence; human confirmation HCR-001 tracked,HCR-001,,H29_REFERENCE,Deck level D.L. 10.00 m from sheet 141 OCR
GIN-0035,elevation.ground_level_V,ENT-LINE-ACL,15.250,m,15.250,m,DIMENSION,S141-D08,GEO-088,,DWG-S141,DRAWING,MEDIUM,PARTIAL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence; human confirmation HCR-001 tracked,HCR-001,,H29_REFERENCE,Construction base level V 15.250 m from sheet 141 OCR
GIN-0036,road_spec.road_spec,ENT-LINE-ACL,A規格,,A規格,,road_spec,CH1-VAL-001,INP-001,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Road specification A規格 per Chapter 1
GIN-0037,road_spec.design_speed,ENT-LINE-ACL,40,km/h,40,km/h,design_speed,CH1-VAL-002,INP-002,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Design speed 40 km/h
GIN-0038,live_load.standard,ENT-LINE-ACL,B活荷重,,B活荷重,,live_load,"CH1-VAL-003,CH2-VAL-005,CAL-VAL-P00135-001,CAL-VAL-P00893-001",INP-003,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,B-活荷重 per 道示Ⅰ 8.2
GIN-0039,bridge_type.type,ENT-LINE-ACL,"鋼3徑間連続少数釉柱橋(非合成柱,合成断面担保)",,"鋼3徑間連続少数釉柱橋(非合成柱,合成断面担保)",,bridge_type,"CH1-VAL-004,CH5-VAL-003",INP-004,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Steel 3-span continuous plate girder bridge
GIN-0040,bridge.bridge_length,ENT-LINE-ACL,134.001,m,134.001,m,bridge_length,CH1-VAL-005,INP-005,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Bridge length on ACL 134.001 m; drawing sheet 1 = 134001 mm
GIN-0041,girder.girder_length_AG1,ENT-GIRDER-AG1,133.151,m,133.151,m,girder_length,CH1-VAL-006,INP-006,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Girder length AG1; drawing = 133151/132847 mm (AG1/AG2)
GIN-0042,bridge.span_length.1,ENT-LINE-ACL,40.201,m,40.201,m,span_length,CH1-VAL-007,INP-007,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 1 on ACL; drawing = 40201/51000/40200 mm
GIN-0043,bridge.span_length.2,ENT-LINE-ACL,51.000,m,51.000,m,span_length,CH1-VAL-008,INP-008,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 2 on ACL; drawing = 40201/51000/40200 mm
GIN-0044,bridge.span_length.3,ENT-LINE-ACL,40.200,m,40.200,m,span_length,CH1-VAL-009,INP-009,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 3 on ACL; drawing = 40201/51000/40200 mm
GIN-0045,bridge.total_width,ENT-DECK,8.010,m,8.010,m,total_width,"CH1-VAL-010,CH2-VAL-001,DWG-DIM-S009-006",INP-010,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Deck total width; calc 8.010 m; drawing sheet 9 = 8031.7/8010.3/8010 mm
GIN-0046,bridge.effective_width,ENT-LINE-ACL,7.000,m,7.000,m,effective_width,CH1-VAL-011,INP-011,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Effective roadway width
GIN-0047,material.steel_grade.SM520,ENT-GIRDER-AG1,SM520,,SM520,,steel_grade,CH1-VAL-026,INP-012,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Steel grade SM520
GIN-0048,material.steel_grade.SM490Y,ENT-GIRDER-AG1,SM490Y,,SM490Y,,steel_grade,CH1-VAL-027,INP-013,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Steel grade SM490Y
GIN-0049,material.steel_grade.SM400,ENT-GIRDER-AG1,SM400,,SM400,,steel_grade,CH1-VAL-028,INP-014,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Steel grade SM400
GIN-0050,material.concrete_strength_composite_deck,ENT-DECK,30,N/mm2,30,N/mm2,concrete_strength,"CH1-VAL-030,CH2-VAL-020,CAL-VAL-P01319-004",INP-015,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Concrete design strength composite deck 30 N/mm2
GIN-0051,material.concrete_strength_wall_rail,ENT-DECK,24,N/mm2,24,N/mm2,concrete_strength,CH1-VAL-031,INP-016,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Concrete design strength wall rail 24 N/mm2
GIN-0052,material.concrete_strength_wrapping,ENT-DECK,30,N/mm2,30,N/mm2,concrete_strength,CH1-VAL-032,INP-017,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Concrete design strength wrapping 30 N/mm2
GIN-0053,material.elastic_modulus_steel,ENT-GIRDER-AG1,2.000000e+008,kN/m2,2.000000e+008,kN/m2,elastic_modulus,"CAL-VAL-P00149-001,CAL-VAL-P01285-004",INP-018,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Steel Young's modulus E=2.0e8 kN/m2 (3.1.6) / 200000 N/mm2 (4.2.1)
GIN-0054,material.shear_modulus_steel,ENT-GIRDER-AG1,7.700000e+007,kN/m2,7.700000e+007,kN/m2,shear_modulus,"CAL-VAL-P00149-002,CAL-VAL-P01285-005",INP-019,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Steel shear modulus G=7.7e7 kN/m2 (3.1.6) / 77000 N/mm2 (4.2.1)
GIN-0055,material.yield_strength_SM490Y,ENT-GIRDER-AG1,355,N/mm2,355,N/mm2,yield_strength,"CH2-VAL-011,CAL-VAL-P01285-001",INP-020,calc_pdf_p18,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,SM490Y yield point 355 N/mm2
GIN-0056,code.applicable_code,ENT-LINE-ACL,道路橋示方書 平成29年11月版,,道路橋示方書 平成29年11月版,,applicable_code,CH5-VAL-001,INP-021,calc_pdf_p2027,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Applicable code 道示 2017-11 edition
GIN-0057,code.applicable_manual,ENT-LINE-ACL,道路橋支承便覧 平成30年12月版,,道路橋支承便覧 平成30年12月版,,applicable_manual,CH5-VAL-002,INP-022,calc_pdf_p2027,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Applicable manual 支承便覧 2018-12 edition
GIN-0058,code.live_load_reference,ENT-LINE-ACL,Ｂ活荷重 「道示Ⅰ 8.2」より抜粋,,Ｂ活荷重 「道示Ⅰ 8.2」より抜粋,,REFERENCE_TEXT,CAL-NOT-P00135-001,INP-023,calc_pdf_p135,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Live load reference 道示Ⅰ 8.2
GIN-0059,deck.deck_thickness,ENT-DECK,230,mm,0.23,m,deck_thickness,"CH1-VAL-022,CH2-VAL-022,CAL-VAL-P00119-004,DWG-DIM-S009-007",INP-024,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Composite deck thickness 230 mm
GIN-0060,deck.pavement_thickness,ENT-DECK,80,mm,0.08,m,DIMENSION,"CH1-VAL-021,CAL-VAL-P00119-001,DWG-DIM-S009-008",INP-025,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from input layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Pavement thickness 80 mm
GIN-0061,load_case.DEAD_LOAD,ENT-LINE-ACL,DEAD_LOAD,,DEAD_LOAD,,LOAD_VALUE,"LOAD-001,LOAD-002,LOAD-003,LOAD-004,LOAD-005,LOAD-006,LOAD-007,LOAD-008,LOAD-009",LD-001,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Dead load (D): pavement, deck, haunch, wall rail, sound barrier, steel, inspection, curb, nose"
GIN-0062,load_case.LIVE_LOAD_B,ENT-LINE-ACL,LIVE_LOAD_B,,LIVE_LOAD_B,,LOAD_VALUE,"LOAD-013,CH1-VAL-003",LD-002,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Live load B (活荷重) per 道示Ⅰ 8.2
GIN-0063,load_case.IMPACT,ENT-LINE-ACL,IMPACT,,IMPACT,,LOAD_VALUE,"LOAD-010,LOAD-011,LOAD-012",LD-003,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Impact coefficient i=20/(50+L): 0.222/0.198/0.222
GIN-0064,load_case.WIND,ENT-LINE-ACL,WIND,,WIND,,LOAD_VALUE,"LOAD-014,LOAD-015,LOAD-019",LD-004,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Wind load: outer 3.00 kN/m2, inner 1.50 kN/m2, WS=40.06 kN/m"
GIN-0065,load_case.COLLISION,ENT-LINE-ACL,COLLISION,,COLLISION,,LOAD_VALUE,"LOAD-016,LOAD-025",LD-005,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Collision load: 13.0 kN/m (vehicle), F=35.0 kN (SC class)"
GIN-0066,load_case.SEISMIC_L1,ENT-LINE-ACL,SEISMIC_L1,,SEISMIC_L1,,LOAD_VALUE,"LOAD-017,LOAD-020,LOAD-021",LD-006,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Seismic Level 1: Kh=0.25, We=35.89 kN/m"
GIN-0067,load_case.NODE_LOADS,ENT-LINE-ACL,NODE_LOADS,,NODE_LOADS,,LOAD_VALUE,"CAL-TBL-P00125-001,CAL-TBL-P00125-002,CAL-TBL-P00125-003,CAL-TBL-P00125-004,CAL-TBL-P00131-001,CAL-TBL-P00131-002",LD-007,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Nose/curb/deck/wrapping concentrated nodal loads at panel points
GIN-0068,load_case.WHEEL_LOAD,ENT-LINE-ACL,WHEEL_LOAD,,WHEEL_LOAD,,LOAD_VALUE,LOAD-023,LD-008,calc_pdf_p119,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from load layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Wheel load P=100 kN (bracket design)
