golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0017,grid_point.2027.X,ENT-GIRDER-AG2,132.55077,m,132.55077,m,COORDINATE,CAL-TBL-P00141-007,GEO-018,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2027 X coordinate
GIN-0018,grid_point.2027.Y,ENT-GIRDER-AG2,-2.94155,m,-2.94155,m,COORDINATE,CAL-TBL-P00141-008,GEO-019,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Panel point 2027 Y coordinate
GIN-0019,cross_section.deck_total_width,ENT-DECK,8010,mm,8.01,m,DIMENSION,"CAL-FIG-P00118-001,CH1-VAL-010,GEO-019",GEO-070,calc_pdf_p118,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Standard cross section 8010 x 7000 mm (deck total x effective)
GIN-0022,cross_section.upper_flange_width,ENT-GIRDER-AG1,620,mm,0.62,m,DIMENSION,"DWG-DIM-S013-010,ADV-001",GEO-073,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Top flange width 620 mm (all sections)
GIN-0023,cross_section.web_height,ENT-GIRDER-AG1,2537-2657,mm,2537-2657,m,DIMENSION,"DWG-DIM-S013-012,GEO-017",GEO-076,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Web height range 2537-2657 mm across sections
GIN-0024,cross_section.web_thickness,ENT-GIRDER-AG1,14,mm,0.014,m,DIMENSION,"DWG-DIM-S013-013,ADV-002,GEO-018",GEO-077,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Web thickness 14 mm (constant)
GIN-0114,node.1001.coordinate,ENT-GIRDER-AG1,"X=1.21766 m, Y=1.47689 m",,"X=1.21766 m, Y=1.47689 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-001,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Node 1001 coordinate (X=1.21766 m, Y=1.47689 m)"
GIN-0115,node.1027.coordinate,ENT-GIRDER-AG1,"X=132.76045 m, Y=1.55372 m",,"X=132.76045 m, Y=1.55372 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-027,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Node 1027 coordinate (X=132.76045 m, Y=1.55372 m)"
GIN-0116,node.2001.coordinate,ENT-GIRDER-AG2,"X=1.46395 m, Y=-3.02859 m",,"X=1.46395 m, Y=-3.02859 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-028,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Node 2001 coordinate (X=1.46395 m, Y=-3.02859 m)"
GIN-0117,node.2027.coordinate,ENT-GIRDER-AG2,"X=132.55077 m, Y=-2.94155 m",,"X=132.55077 m, Y=-2.94155 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-054,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from structural_model layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,"Node 2027 coordinate (X=132.55077 m, Y=-2.94155 m)"
