chapter_id,chapter_name_en,chapter_name_ja,classification,required_optional_forbidden,summary_ok,detail_ok,current_output,data_source,value_kind,numeric_or_nonnumeric,authorization_status,empty_data_behavior,stale_behavior,not_authorized_behavior,future_expansion,basis
CP-11,CROSS_MEMBERS,横桁・対傾構,C,required,yes,yes,PRODUCIBLE,SDM crossBeams/swayBracings/lateralBracings/stiffeners,none,non-numeric,NOT_AUTHORIZED,n/a,n/a,n/a,n/a,bridgeStructureSolids.ts + generateBsdd.ts
CP-12,MATERIALS,材料条件,B,required,yes,yes,PRODUCIBLE,draft.steelUnitWeight/rcUnitWeight + adoptionStatus,PENDING/UNKNOWN,non-numeric-adopted,NOT_AUTHORIZED,n/a,n/a,ADOPTED fail-closed under NOT_SELECTED,ADOPTED with SELECTED context,generateBsdd.ts:418/448/436/442 + adoption.ts
CP-13,SECTION,断面条件,B,optional-no-for-CONTINUOUS,simple-only,simple-only,CONTINUOUS_NOT_AVAILABLE/SIMPLE_UNVERIFIED,computeGirderSectionProperties(spanLength etc),cross-section props,numeric,UNVERIFIED for SIMPLE/NOT_AVAILABLE for CONTINUOUS,section props NOT_AVAILABLE if incomplete inputs,NOT_AVAILABLE if STALE,NOT_AVAILABLE if NOT_AUTHORIZED,fix spanLength gate so CONTINUOUS computes,reportModel.ts:119-148/206-216
CP-14,LOADS,荷重条件,B,optional,yes,yes,PARTIAL,GOLD-AN-001/002 placeholder + project.loadCases?.length,count,non-numeric,UNVERIFIED,NOT_AVAILABLE if no loadCases,NOT_AVAILABLE if STALE,NOT_AVAILABLE if NOT_AUTHORIZED,real load case listing,reportModel.ts:222-223
CP-15,LOAD_COMBOS,荷重組合せ,D-future,forbidden,no,no,NOT_IMPLEMENTED,(none),analysis_result,numeric,NOT_AUTHORIZED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,load combination engine,reportModel.ts:222-223 (count only) + 06 DS-02
CP-16,ANALYSIS_MODEL,解析モデル,D-future,optional,dev-note-only,dev-note-only,DEV_NOTE only,appurtenanceHaunchAnalysisAdapter.ts:385 simple-span idealization,analysis_result,numeric,NOT_AUTHORIZED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,continuous FEM model,06 DS-02 + appurtenanceHaunchAnalysisAdapter.ts:385
CP-17,NODES_MEMBERS,節点・部材構成,C,optional,no,yes,PRODUCIBLE (detail only),SDM mainGirders/rcDecks/crossBeams/bracing,entity list,non-numeric,NOT_AUTHORIZED,n/a,if STALE show stale SDM,if NOT_AUTHORIZED tag status,entity count,generateBsdd.ts + 04 #5
CP-18,GEOMETRY_3D,3Dモデル確認,C,required,yes,yes,PRODUCIBLE,solidGeometryParameters + exportApolloBinaryStl manifest,geometry,non-numeric,NOT_AUTHORIZED,n/a,NOT_AVAILABLE if STALE/no solids,NOT_AVAILABLE,STL refinement,apolloStlExport.ts + bridgeStructureSolids.ts
CP-19,VALIDATION,入力検証結果,B,required,yes,yes,PRODUCIBLE,validateBridgeStructureInputDraft + validateBridgeLayoutContract diagnostics,validation result,non-numeric,NOT_AUTHORIZED,n/a,n/a,show diagnostics,validation rule extension,validation.ts + layoutValidation.ts
CP-20,WARNINGS,警告・エラー,A,required,yes,yes,PRODUCIBLE,warnings[] + diagnostics + NOT_AVAILABLE placeholders,message list,non-numeric,NOT_GRANTED,always emit,always emit,always emit,n/a,reportModel.ts:150-156 + 447
CP-21,PERSISTENCE,保存・再読込状態,B,required,yes,yes,PRODUCIBLE,draft.generatedAt + isBridgeStructureGenerationCurrent,state flag,non-numeric,NOT_GRANTED,n/a,always emit STALE flag,always emit,save/load versioning,generateBsdd.ts:558-561 + importExport.ts
CP-22,AUTHORIZATION,数値設計承認状態,A,required,yes,yes,PRODUCIBLE,DS-09 member/inspection cells + numericAuthorization,authorization status,non-numeric,NOT_AUTHORIZED,always NOT_AUTHORIZED,always NOT_AUTHORIZED,always NOT_AUTHORIZED,DEC-PHA-xxxx cell grants,07 §4 boundary table + 08_numeric_authorization_gate.md
CP-23,NOT_IMPLEMENTED,未実装項目,A,required,yes,yes,PRODUCIBLE,U-01..U-06 enumerated list,none,non-numeric,NOT_AUTHORIZED,always emit list,always emit,always emit,n/a,08_gap_analysis.md §4
CP-24,REFERENCES,参考情報,A,optional,no,yes,PRODUCIBLE,GOLD-* refs + design docs ref list,ref list,non-numeric,NOT_GRANTED,n/a,n/a,n/a,n/a,reportModel.ts:344 (calculationReferenceIds)
CP-25,EVIDENCE,証跡・データ出典,A,required,no,yes,PRODUCIBLE,inputRevision/inputChecksum/resultChecksum/quantityChecksum/date/appCommitSha/evidence csv,checksum,non-numeric,NOT_GRANTED,n/a,n/a,n/a,evidence_matrix.csv traceability,reportModel.ts:301-306 + 02
CP-30,REACTIONS,支点反力,D-future,forbidden,no,no,NOT_AVAILABLE,analysis result reactions kN,analysis_result,numeric,NOT_AUTHORIZED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,continuous reaction engine,reportModel.ts:238 (CH-REACTIONS) + 06 DS-02
CP-31,SHEAR,せん断力,D-future,forbidden,no,no,NOT_AVAILABLE,analysis result shear kN,analysis_result,numeric,NOT_AUTHORIZED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,shear envelope,reportModel.ts:243 (CH-SHEAR) + 06 DS-02
CP-32,MOMENT,曲げモーメント,D-future,forbidden,no,no,NOT_AVAILABLE,analysis result moment kNm,analysis_result,numeric,NOT_AUTHORIZED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,moment envelope,reportModel.ts:248 (CH-MOMENT) + 06 DS-02
CP-33,DEFLECTION,たわみ,D-future,forbidden,no,no,NOT_AVAILABLE,analysis result deflection m,analysis_result,numeric,NOT_AUTHORIZED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,displacement envelope,reportModel.ts:253 (CH-DEFLECTION) + 06 DS-02
CP-34,DEMAND,作用候補・照査,D-future,forbidden,no,no,NOT_AUTHORIZED,GOLD-AN-001 x GOLD-SP-001 candidate / formalOkNg not emitted,design_check,numeric,NOT_AUTHORIZED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AUTHORIZED,formal design check engine,reportModel.ts:259-261 (CH-DEMAND) + DS-09 §3
