requirement_id,feature_id,title_or_summary,gap_bucket,gap_description,proposed_owner,phase,dependency_ids,standard_dependency,analyzer_dependency,blocker_ids,evidence_ids,confidence,notes
REQ-5C-0027,F4-P3-017,splice_check:添接計算実行方法: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice check execution method absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-011;REQ-5C-0027;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0015.png,HIGH,
REQ-5C-0028,F4-P3-018,splice_check:設計計算書出力方法: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice design report output absent; CAP-OUT-002 partial only.,reporting,2+,CAP-OUT-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-012;REQ-5C-0028;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0016.png,MEDIUM,
REQ-5C-0029,F4-P3-019,section_definition:システムの構成: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Girder/Section system composition not implemented.,section_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-013;REQ-5C-0029;stage5b/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0017.png,HIGH,
REQ-5C-0030,F4-P3-020,main_girder:主桁の設計（Girder）の機能: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Main girder design (Girder) program absent.,girder_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-014;REQ-5C-0030;stage5b/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0018.png,HIGH,
REQ-5C-0031,F4-P3-021,section_definition:断面設計（Section）の機能: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Section design program absent.,section_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-015;REQ-5C-0031;stage5b/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0019.png,HIGH,
REQ-5C-0032,F4-P3-022,section_definition:適用断面形状: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Applicable section shapes beyond Phase1 plate girder not supported.,section_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-016;REQ-5C-0032;stage5b/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0020.png,HIGH,Catalog cites box/I-girder; Phase1 is steel plate girder.
REQ-5C-0034,F4-P3-024,section_force_assignment:断面力の適用: NO_AUTO_NUMERIC_DETERMINATION,EXISTING_PARTIAL,Section force application via analysis exists (CAP-FRM-001); member-level design assignment absent.,analysis_integration,1,CAP-FRM-001;CAP-IF3-001,BLK-S1-001;BLK-S1-004;BLK-S1-007,BLK-S1-007;ISS-S1-007,BLK-S1-001;ISS-S1-007,RDY-017;REQ-5C-0034;stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0022.png,MEDIUM,Interpolation to check points is APOLLO-specific.
REQ-5C-0035,F4-P3-026,splice:添接計算の基本操作: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice basic operations absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-018;REQ-5C-0035;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0023.png,HIGH,
REQ-5C-0036,F4-P3-027,splice_geometry:部材寸法入力: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice member dimension input absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-019;REQ-5C-0036;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0024.png,HIGH,
REQ-5C-0037,F4-P3-030,splice_check:適用範囲: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice applicability scope rules absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-020;REQ-5C-0037;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0025.png,HIGH,
REQ-5C-0038,F4-P3-031,splice_check:計算方法の種類: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Splice calculation method types absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-021;REQ-5C-0038;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0026.png,HIGH,
REQ-5C-0039,F4-P3-033,splice_plate:フランジ方式の計算方法: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Flange splice plate method absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-022;REQ-5C-0039;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0027.png,HIGH,
REQ-5C-0040,F4-P3-034,splice_plate:腹板の計算方法: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Web splice calculation method absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-023;REQ-5C-0040;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0028.png,HIGH,
REQ-5C-0041,F4-P3-035,splice_plate:フランジ添接板の必要断面積: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Flange splice plate area rules absent.,splice_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-024;REQ-5C-0041;stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0029.png,HIGH,
REQ-5C-0043,F4-P3-037,girder_material:girder_material: NO_AUTO_NUMERIC_DETERMINATION,BLOCKED_BY_STANDARD,Girder material selection blocked by JIS/Target; CAP-EXT-003.,materials_governance,1,CAP-EXT-003,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-002;BLK-S1-005,RDY-025;REQ-5C-0043;stage5b/evidence/DOC-RBS-II_pdfp0092_300dpi-R5B-PKG004-0031.png,HIGH,Feature catalog marks girder_material unknown.
REQ-5C-0045,F4-P3-039,flange:flange: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Flange design/check module absent.,girder_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-026;REQ-5C-0045;stage5b/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0033.png,MEDIUM,Insufficient explicit extract.
REQ-5C-0046,F4-P3-040,web:web: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Web design/check module absent.,girder_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-027;REQ-5C-0046;stage5b/evidence/DOC-RBS-II_pdfp0421_300dpi-R5B-PKG004-0034.png,MEDIUM,
REQ-5C-0052,F4-P4-006,sway_bracing:対傾構設計: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Sway-bracing design program absent; not in narrow Phase1 floor-system design.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-028;REQ-5C-0052;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0040.png,HIGH,
REQ-5C-0053,F4-P4-007,sway_bracing:対傾構骨組み寸法: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Sway-bracing geometry input absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-029;REQ-5C-0053;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0041.png,HIGH,
REQ-5C-0054,F4-P4-008,sway_bracing:対傾構水平荷重載荷方法: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Sway-bracing horizontal load application absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-030;REQ-5C-0054;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0042.png,HIGH,
REQ-5C-0055,F4-P4-009,sway_bracing:対傾構断面指定: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Sway-bracing section assignment absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-031;REQ-5C-0055;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0043.png,HIGH,
REQ-5C-0056,F4-P4-010,lateral_bracing:横構断面指定: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Lateral bracing section assignment absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-032;REQ-5C-0056;stage5b/evidence/DOC-RBS-II_pdfp0433_300dpi-R5B-PKG004-0044.png,HIGH,
REQ-5C-0057,F4-P4-011,sway_bracing:BuiltUP断面指定: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,BuiltUP section for sway bracing absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-033;REQ-5C-0057;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0045.png,HIGH,Optional in catalog.
REQ-5C-0058,F4-P4-012,sway_bracing:支点上対傾構横桁形状変更: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Support-point sway-to-cross-girder shape change absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-034;REQ-5C-0058;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0046.png,HIGH,
REQ-5C-0059,F4-P4-013,lateral_bracing:横構骨組み組み方変更: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Lateral bracing framing layout change absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-035;REQ-5C-0059;stage5b/evidence/DOC-RBS-II_pdfp0433_300dpi-R5B-PKG004-0047.png,HIGH,
REQ-5C-0060,F4-P4-014,sway_bracing:対傾構斜材溶接向き変更: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Sway-bracing weld orientation change absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-036;REQ-5C-0060;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0048.png,HIGH,
REQ-5C-0061,F4-P4-015,sway_bracing:対傾構水平荷重受け持ち組数変更: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Sway-bracing horizontal-load group count change absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-037;REQ-5C-0061;stage5b/evidence/DOC-RBS-II_pdfp0431_300dpi-R5B-PKG004-0049.png,HIGH,
REQ-5C-0062,F4-P4-016,lateral_bracing:横構配置図作成: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Lateral bracing layout drawing absent; CAP-RDD-003 partial DXF only.,drawing,2+,CAP-RDD-003,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-038;REQ-5C-0062;stage5b/evidence/DOC-RBS-II_pdfp0433_300dpi-R5B-PKG004-0050.png,MEDIUM,
REQ-5C-0063,F4-P4-017,lateral_bracing:横構細長比一次部材変更: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Lateral bracing slenderness primary-member option absent.,bracing_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-039;REQ-5C-0063;stage5b/evidence/DOC-RBS-II_pdfp0433_300dpi-R5B-PKG004-0051.png,HIGH,
REQ-5C-0064,F4-P4-018,support_stiffener:支点上補剛材設計: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Support stiffener design program absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-040;REQ-5C-0064;stage5b/evidence/DOC-RBS-II_pdfp0427_300dpi-R5B-PKG004-0052.png,HIGH,
REQ-5C-0065,F4-P4-019,support_stiffener:支点上補剛材入力項目: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Support stiffener input items absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-041;REQ-5C-0065;stage5b/evidence/DOC-RBS-II_pdfp0427_300dpi-R5B-PKG004-0053.png,HIGH,
REQ-5C-0066,F4-P4-020,support_stiffener:支点上補剛材グループ番号: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Support stiffener grouping absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-042;REQ-5C-0066;stage5b/evidence/DOC-RBS-II_pdfp0427_300dpi-R5B-PKG004-0054.png,HIGH,
REQ-5C-0067,F4-P4-021,support_stiffener:支点上補剛材計算条件: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Support stiffener calc conditions absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-043;REQ-5C-0067;stage5b/evidence/DOC-RBS-II_pdfp0427_300dpi-R5B-PKG004-0055.png,HIGH,
REQ-5C-0068,F4-P4-022,support_stiffener:支点上補強リブ照査: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Support stiffener rib check absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-044;REQ-5C-0068;stage5b/evidence/DOC-RBS-II_pdfp0427_300dpi-R5B-PKG004-0056.png,HIGH,
REQ-5C-0069,F4-P4-023,intermediate_stiffener:中間補剛材設計: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Intermediate stiffener design absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-045;REQ-5C-0069;stage5b/evidence/DOC-RBS-II_pdfp0201_300dpi-R5B-PKG004-0057.png,HIGH,
REQ-5C-0070,F4-P4-024,intermediate_stiffener:中間補剛材格点断面指定: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Intermediate stiffener station section assignment absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-046;REQ-5C-0070;stage5b/evidence/DOC-RBS-II_pdfp0201_300dpi-R5B-PKG004-0058.png,HIGH,
REQ-5C-0071,F4-P4-025,intermediate_stiffener:中間補剛材計算書書式: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Intermediate stiffener report format absent; CAP-OUT-002 partial.,reporting,2+,CAP-OUT-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-047;REQ-5C-0071;stage5b/evidence/DOC-RBS-II_pdfp0201_300dpi-R5B-PKG004-0059.png,MEDIUM,
REQ-5C-0072,F4-P4-026,intermediate_stiffener:水平補剛材ラップ照査: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Horizontal stiffener lap check absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-048;REQ-5C-0072;stage5b/evidence/DOC-RBS-II_pdfp0201_300dpi-R5B-PKG004-0060.png,HIGH,
REQ-5C-0073,F4-P4-027,intermediate_stiffener:水平補剛材ラップ照査計算書内容: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Horizontal stiffener lap report content absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-049;REQ-5C-0073;stage5b/evidence/DOC-RBS-II_pdfp0201_300dpi-R5B-PKG004-0061.png,HIGH,
REQ-5C-0075,F4-P4-029,support_stiffener:支点補剛材ボタン説明: NO_AUTO_NUMERIC_DETERMINATION,OUT_OF_PHASE1,Support stiffener UI workflow absent.,stiffener_design,2+,,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-050;REQ-5C-0075;stage5b/evidence/DOC-RBS-II_pdfp0427_300dpi-R5B-PKG004-0063.png,HIGH,
REQ-5C-0079,F4-P5-001,analysis_input_generation:解析データ作成: NO_AUTO_NUMERIC_DETERMINATION,BLOCKED_BY_ANALYZER_BOUNDARY,Analyzer input generation absent; CAP-EXT-001 UNKNOWN I/O; CAP-FRM-008 partial model only.,analysis_integration,1,CAP-EXT-001;CAP-FRM-001;CAP-FRM-008,BLK-S1-001;BLK-S1-004;BLK-S1-007,CAP-EXT-001;CAP-IF3-005,ISS-S1-007;BLK-S1-007,RDY-051;REQ-5C-0079;stage5b/evidence/DOC-RBS-II_pdfp0080_300dpi-R5B-PKG004-0067.png,HIGH,Use internal solver path for Phase1 unless Analyzer format confirmed.
REQ-5C-0081,F4-P5-031,stress_check:許容応力度: NO_AUTO_NUMERIC_DETERMINATION,BLOCKED_BY_STANDARD,Allowable stress tables not adoptable; stress check engine absent.,member_design,2+,CAP-EXT-002,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-002,RDY-052;REQ-5C-0081;stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0069.png,HIGH,Member-level code check out of Phase1 narrow path.
REQ-5C-0082,F4-P5-049,strength_check:strength_check (covered under stress_check): NO_AUTO_NUMERIC_DETERMINATION,BLOCKED_BY_STANDARD,Strength check alias of stress check; same blockers as REQ-5C-0081.,member_design,2+,REQ-5C-0081,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-002,RDY-053;REQ-5C-0082;stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0070.png,HIGH,DUPLICATE_OR_ALIAS semantics at requirement level.
REQ-5C-0083,F4-P2-001,slab_thickness:床版厚の指定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,Slab thickness input for haunch/slab workflow; CAP-RDD-002 partial.,slab_design,1,CAP-RDD-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-054;REQ-5C-0083;stage5b/evidence/DOC-RBS-III_pdfp0404_300dpi-R5B-PKG005-0001.png,HIGH,
REQ-5C-0084,F4-P2-002,haunch:ハンチ高の設定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,Haunch height setting module absent; CAP-RDD-002 HAUNCH partial.,slab_design,1,CAP-RDD-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-055;REQ-5C-0084;stage5b/evidence/DOC-RBS-III_pdfp0409_300dpi-R5B-PKG005-0002.png,HIGH,
REQ-5C-0085,F4-P2-003,haunch:単位系指定: NO_AUTO_NUMERIC_DETERMINATION,MINOR_EXTENSION,Haunch unit propagation; ties to REQ-5C-0001 unit system.,slab_design,1,CAP-ENG-002;REQ-5C-0001,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-056;REQ-5C-0085;stage5b/evidence/DOC-RBS-III_pdfp0409_300dpi-R5B-PKG005-0003.png,MEDIUM,
REQ-5C-0086,F4-P2-004,haunch_geometry:ハンチ形状の設定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,Haunch geometry (width/taper) input absent.,slab_design,1,CAP-RDD-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-057;REQ-5C-0086;stage5b/evidence/DOC-RBS-III_pdfp0409_300dpi-R5B-PKG005-0004.png,HIGH,
REQ-5C-0088,F4-P2-006,rc_slab:床版照査位置決定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,RC slab check position selection absent.,slab_design,1,,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-002,RDY-058;REQ-5C-0088;stage5b/evidence/DOC-RBS-III_pdfp0401_300dpi-R5B-PKG005-0006.png,HIGH,
REQ-5C-0089,F4-P2-007,rc_slab:かぶり量の指定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,Cover depth input for RC slab absent.,slab_design,1,,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-002,RDY-059;REQ-5C-0089;stage5b/evidence/DOC-RBS-III_pdfp0401_300dpi-R5B-PKG005-0007.png,HIGH,
REQ-5C-0090,F4-P2-008,rc_slab:配力筋照査の出力方法: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,Distribution rebar report options absent.,slab_design,1,CAP-OUT-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-060;REQ-5C-0090;stage5b/evidence/DOC-RBS-III_pdfp0401_300dpi-R5B-PKG005-0008.png,MEDIUM,
REQ-5C-0091,F4-P2-009,haunch:フランジ厚およびハンチ内鉄筋の指定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,Flange thickness and haunch rebar specification absent.,slab_design,1,,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-002,RDY-061;REQ-5C-0091;stage5b/evidence/DOC-RBS-III_pdfp0409_300dpi-R5B-PKG005-0009.png,HIGH,
REQ-5C-0092,F4-P2-011,slab_reinforcement_input:主鉄筋および配力鉄筋の指定: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,Main/distribution rebar input absent.,slab_design,1,,BLK-S1-001;BLK-S1-004;BLK-S1-007;BLK-S1-002;BLK-S1-005,,BLK-S1-001;BLK-S1-002,RDY-062;REQ-5C-0092;stage5b/evidence/DOC-RBS-III_pdfp0113_300dpi-R5B-PKG005-0010.png,HIGH,
REQ-5C-0093,F4-P2-012,rc_slab:計算書出力: NO_AUTO_NUMERIC_DETERMINATION,NEW_MODULE,RC slab calculation report absent; CAP-OUT-002 partial.,reporting,1,CAP-OUT-002,BLK-S1-001;BLK-S1-004;BLK-S1-007,,BLK-S1-001,RDY-063;REQ-5C-0093;stage5b/evidence/DOC-RBS-III_pdfp0401_300dpi-R5B-PKG005-0011.png,MEDIUM,
