path,current_responsibility,proposed_ui_responsibility,expected_change_type,reason,inbound_dependencies,outbound_dependencies,tests_affected,regression_risk,data_schema_risk,authorization_risk,recommended_PR,edit_classification,confidence,evidence
frontend/src/apollo/guided/__tests__/guidedMode.test.tsx,Guided chrome/nav tests,Update progress/footer expectations,test_update,UR-05 UR-06,N/A,GuidedModeShell,self,MEDIUM,NONE,NONE,Step 6-UI-2,DIRECT,HIGH,apollo-guided-* testids
frontend/src/apollo/__tests__/WorkflowControlScreen.test.tsx,15-card order and CTA,Update for master-detail DOM,test_update,UR-10,N/A,WorkflowControlScreen,self,HIGH,NONE,LOW,Step 6-UI-4,DIRECT,HIGH,asserts 15 cards order
frontend/tests/e2e/apollo-step4a-workflow.spec.ts,WF E2E,Update list/detail selectors; keep status assertions,test_update,UR-10,N/A,live UI,self+S4B,HIGH,NONE,NONE,Step 6-UI-4 and UI-6,DIRECT,HIGH,depends apollo-wf-step-WF-*
frontend/tests/e2e/apollo-step5-final-gui.spec.ts,Guided+auth+mobile,Update guided progress/footer/auth chrome,test_update,UR-04..06 UR-09,N/A,live UI,self,HIGH,NONE,MEDIUM,Step 6-UI-2/5/6,DIRECT,HIGH,
frontend/tests/e2e/apollo-step5r-residual.spec.ts,Reapply G09 mobile auth,Update guided nav; keep auth gate,test_update,UR-06,N/A,live UI,self,MEDIUM,NONE,HIGH protect S5R-012,Step 6-UI-2/6,DIRECT,HIGH,
frontend/tests/e2e/apollo-step5-jp3c-full-gui-e2e.spec.ts,JA coverage G01-G15,Update progress chrome; keep allowlisted IDs,test_update,UR-05 UR-12,N/A,live UI,self,HIGH,NONE,NONE,Step 6-UI-6,DIRECT,HIGH,
frontend/tests/e2e/apollo-step5-jp3a-live-dom-audit.spec.ts,DOM English harvest,May need surface path updates,test_update,structure moves,N/A,live UI,self,MEDIUM,NONE,NONE,Step 6-UI-6,DIRECT,MEDIUM,
frontend/src/apollo/workflow/navigation.ts,scrollWorkflowTargetIntoView helpers,Fix orphan apollo-model-view-panel selector if still used,selector_fix,Viewer escape/WF-11 scroll,ApolloPhase1Shell only,DOM querySelector,E2E WF-11 / guided escape if any,MEDIUM,NONE,NONE,Step 6-UI-3 or UI-4,CONDITIONAL,HIGH,inbound=1; orphan testid noted P0-A
frontend/src/apollo/guided/chrome.ts,Back/next enablement labels,May extend for sticky/progress labels,logic_presentation,UR-05 UR-06,GuidedModeShell; index,slides types,UT-GUIDED,LOW,NONE,NONE,Step 6-UI-2,CONDITIONAL,HIGH,inbound=2
frontend/src/apollo/guided/slides.ts,G01-G15 definitions,Presentation wrappers only; no meaning change,copy_optional,Only if theme labels need UI chrome fields,GuidedModeShell chrome index,types,UT-GUIDED JP3C,HIGH if meanings touched,NONE if themes only,NONE,Avoid unless necessary,CONDITIONAL,HIGH,DEC-S5-0009 SoR; prefer no edit
frontend/src/apollo/i18n/catalog.ts,JA catalogs,Add chrome labels for new header/progress/tabs if missing,i18n_keys_only,New UI strings,many getters,types,UT-I18N JP3 residual,MEDIUM,NONE,MEDIUM if auth keys altered,Step 6-UI-1..5 as needed,CONDITIONAL,HIGH,JP foundation; do not change auth semantics
frontend/src/apollo/i18n/buttonLabels.ts,Button label map,New labels sticky/mode/tabs,i18n_keys_only,UR-01 UR-06 UR-09,catalog consumers,catalog,UT-I18N,LOW,NONE,NONE,with UI PRs,CONDITIONAL,HIGH,
frontend/src/apollo/i18n/authorizationMessages.ts,Auth message catalog,Only if compact short_ja variants added,i18n_keys_only,UR-04,AuthorizationBanner,catalog,UT-I18N E2E auth,MEDIUM,NONE,HIGH if meaning softens,Step 6-UI-1 carefully,CONDITIONAL,HIGH,values must stay NOT_GRANTED
frontend/src/viewer/Viewer3D.tsx,3D viewport shared across App/Apollo/Liner/Compare,Apollo layout only via props/classes; avoid internal redesign,layout_chrome_optional,UR-07 UR-09; shared by non-Apollo hosts,App ApolloPhase1Shell Liner Compare + tests,SceneBuilder ThreeViewport types,Viewer3D unit tests + Apollo E2E,HIGH if internal,NONE if props only,NONE,Prefer shell CSS wrapper first; Viewer only if required,CONDITIONAL,HIGH,inbound includes non-Apollo hosts — high blast radius
frontend/src/viewer/types.ts,Viewer visibility/selection types,Only if new chrome needs type fields,types_optional,Rare,28 inbound across app,viewer modules,many viewer tests,HIGH if contract breaks,NONE,NONE,Avoid; shell state first,CONDITIONAL,HIGH,inbound_count=28
frontend/src/apollo/workflow/registry.ts,WF-01..15 definitions,No UI redesign edit expected,none_expected,Frozen meanings,shell+evaluators+selectors+deps+tests,types,workflowRegistry tests,CRITICAL if changed,HIGH,NONE,Deny for UI steps,PROTECTED,HIGH,inbound=7 into SoR
frontend/src/apollo/workflow/evaluators.ts,Status evaluation,No edit,none,SoR,index recommendedAction tests,selectors capability registry,workflowState tests,CRITICAL,HIGH,HIGH,Deny,PROTECTED,HIGH,
frontend/src/apollo/workflow/selectors.ts,Readiness selectors incl viz,No edit,none,SoR,evaluators index tests,16 outbound incl visualization,workflowState,CRITICAL,HIGH,NONE,Deny,PROTECTED,HIGH,
frontend/src/apollo/workflow/dependencies.ts,Prerequisite graph,No edit,none,SoR,index registry tests,registry capability,registry tests,CRITICAL,HIGH,NONE,Deny,PROTECTED,HIGH,
frontend/src/apollo/workflow/capabilityRegistry.ts,Capability PLANNED/IMPLEMENTED,No edit,none,SoR,deps evaluators selectors tests,types,registry tests,CRITICAL,HIGH,NONE,Deny,PROTECTED,HIGH,
frontend/src/apollo/workflow/index.ts,buildWorkflowStateModel entry,No edit,none,Auth summary NOT_GRANTED hardcoded path,WF UI Guided tests,evaluators selectors deps registry,workflowState WF UI,CRITICAL,HIGH,HIGH,Deny,PROTECTED,HIGH,
frontend/src/apollo/bridgeStructure/**,Canonical geometry generation,No edit for UI,none,Canonical SoR,panels visualization quantity,models validation,many unit E2E,CRITICAL,HIGH,NONE,Deny,PROTECTED,HIGH,directory policy
frontend/src/apollo/visualization/**,Mesh/solid generation,No edit for UI layout,none,Viewer/STL source,shell selectors export,solids builder,viz tests STL,CRITICAL,HIGH,NONE,Deny (generation),PROTECTED,HIGH,placement via shell only
frontend/src/apollo/export/**,STL/export manifests,No edit,none,Artifact integrity,shell panels,visualization,export tests,CRITICAL,HIGH,MEDIUM,Deny,PROTECTED,HIGH,
frontend/src/apollo/workspace.ts,Workspace persistence,No edit,none,Save format,shell,storage,workspace tests E2E,CRITICAL,HIGH,NONE,Deny,PROTECTED,HIGH,
frontend/src/apollo/quantity/**;loads/**;analysis/**;report/**,Domain models,No edit,none,Numeric/auth fail-closed,panels,bridgeStructure,unit tests,CRITICAL,HIGH,HIGH,Deny,PROTECTED,HIGH,
