manual_id,filename,document_title,product,module,bridge_type,document_type,stage3_class,priority,phase1_function,reason_for_selection,expected_evidence,related_manual_ids,dependency_type,stage4_extraction_target,revision_status,known_limitations,evidence_page,classification_basis,unknowns
MAN-011,Grider_I_10.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第１０章 床組設計,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,floor_system|cross_girder|sway_bracing|lateral_bracing,非合成鈑桁第１０章 床組設計。横桁・対傾構・横構,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: floor_system|cross_girder|sway_bracing|lateral_bracing,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-012,Grider_I_11.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第１１章 主桁補剛材,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P0,stiffener,非合成鈑桁第１１章 主桁補剛材。補剛材,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: stiffener,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-013,Grider_I_12.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第１２章 鋼重計算,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P1,quantity,非合成鈑桁第１２章 鋼重計算。数量・鋼重,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: quantity,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-014,Grider_I_13.pdf,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁） / 第１３章 疲労照査,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,PHASE1_CORE,P1,stress_check,非合成鈑桁第１３章 疲労照査。疲労（Phase1任意寄り）,章内容・入力・出力・制約,series_with:MAN-001,series_member,chapter extraction: stress_check,same_series_part,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-015,CompGrd_I_00.pdf,合成鈑桁（少主桁）,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,合成鈑桁シリーズ。Phase1は非合成,NONE,series_composite_I,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,固有仕様をPhase1へ混入させない
MAN-016,CompGrd_I_01.pdf,合成鈑桁（少主桁）,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,合成鈑桁シリーズ。Phase1は非合成,NONE,series_composite_I,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,固有仕様をPhase1へ混入させない
MAN-017,CompGrd_I_02.pdf,合成鈑桁（少主桁）,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,合成鈑桁シリーズ。Phase1は非合成,NONE,series_composite_I,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,固有仕様をPhase1へ混入させない
MAN-018,CompGrd_I_03.pdf,合成鈑桁（少主桁）,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,合成鈑桁シリーズ。Phase1は非合成,NONE,series_composite_I,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,固有仕様をPhase1へ混入させない
MAN-019,CompGrd_I_04.pdf,合成鈑桁（少主桁）,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,合成鈑桁シリーズ。Phase1は非合成,NONE,series_composite_I,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,固有仕様をPhase1へ混入させない
MAN-020,CompGrd_I_05.pdf,合成鈑桁（少主桁）,APOLLO,合成鈑桁マニュアル群,合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,合成鈑桁シリーズ。Phase1は非合成,NONE,series_composite_I,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,固有仕様をPhase1へ混入させない
MAN-021,01_鋼橋自動設計システム_APOLLO_ユーザーズマニュアル_SuperDesigner_鋼橋の自動設計製図システム.pdf,Apollo SuperDesigner & SuperDrawing 鋼橋の自動設計製図システム ユーザーズ・マニュアル,APOLLO,SuperDesigner,鋼橋（総論）,ユーザーズマニュアル,PHASE1_CORE,P0,project_management|unit_system|calculation_report|drawing|material_output|alignment|analyzer_link,システム全体・処理・ファイル形式の入口,Align/SD/Drawing/単体/形式のEvidence,depends_on_none,system_overview,system overview; file formats; process order,standalone,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,7-23;27,path+cover/toc+Stage2 system map,NONE
MAN-022,Girder_Box_00.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-023,Girder_Box_01.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-024,Girder_Box_02.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-025,Girder_Box_03.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-026,Girder_Box_04.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-027,Girder_Box_05.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-028,Girder_Box_06.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-029,Girder_Box_07.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-030,Girder_Box_08.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-031,Girder_Box_09.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-032,Girder_Box_10.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-033,Girder_Box_11.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-034,Girder_Box_12.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-035,Girder_Box_13.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-036,Girder_Box_14.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-037,Girder_Box_15.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-038,Girder_Box_16.pdf,非合成箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,非合成・RC床版・箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-039,CompGrd_Box_01.pdf,連続合成閉断面箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,合成閉断面箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-040,CompGrd_OpenBox_01.pdf,連続合成開断面箱桁,APOLLO,コンクリート床版系箱桁マニュアル群,合成開断面箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,箱桁シリーズ,NONE,series_box,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-041,StDeck_I_00.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-042,StDeck_I_01.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-043,StDeck_I_02.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-044,StDeck_I_03.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-045,StDeck_I_04.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-046,StDeck_I_05.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-047,StDeck_I_06.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-048,StDeck_I_07.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-049,StDeck_I_08.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-050,StDeck_I_09.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-051,StDeck_I_10.pdf,鋼床版鈑桁,APOLLO,鋼床版マニュアル群,鋼床版鈑桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-052,StDeck_Box_00.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-053,StDeck_Box_01.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-054,StDeck_Box_02.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-055,StDeck_Box_03.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-056,StDeck_Box_04.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-057,StDeck_Box_05.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-058,StDeck_Box_06.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-059,StDeck_Box_07.pdf,鋼床版箱桁,APOLLO,鋼床版マニュアル群,鋼床版箱桁,ユーザーズマニュアル分割冊,FUTURE,P3,NONE,鋼床版鈑桁/箱桁シリーズ,NONE,series_stdeck,none,NONE,future_series,NONE,UNKNOWN,path_bridge_type,NONE
MAN-060,マニュアル(ＰＣ床版の設計).pdf,ＰＣ床版の設計,APOLLO,PcSlab,PC床版,単体アプリマニュアル,OUT_OF_SCOPE,P3,NONE,PC床版単体。Phase1はRC床版が対象,NONE,NONE,none,NONE,different_slab_type,PC床版のためPhase1対象外,UNKNOWN,slab_type_mismatch,Phase1 RC必須との不一致
MAN-061,マニュアル(断面計算).pdf,APOLLO Section 断面計算 ユーザーズ・マニュアル,APOLLO,Section,UNKNOWN,単体アプリマニュアル,PHASE1_SUPPORT,P1,girder_section|stress_check|calculation_report,Section単体の別冊。MAN-062と版関係未確定のためSUPPORTとして併置（新旧断定しない）,適用/不可・I-Section・計算書RTF。MAN-062との差分確認,related:MAN-062;complements:MAN-008,standalone_complement,diff_check_vs_MAN-062_only; girder_section if needed,edition_pair_undecided_with_MAN-062,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,standalone_section_alternate_edition_undecided,MAN-062との版関係UNKNOWN
MAN-062,マニュアル(鋼橋の断面計算).pdf,APOLLO SuperDesigner/Section 鋼橋の自動設計システム 鋼橋の断面計算 ユーザーズ・マニュアル,APOLLO,Section,UNKNOWN,単体アプリマニュアル,PHASE1_CORE,P0,girder_section|stress_check|calculation_report|analyzer_link|main_girder,断面計算単体（Girder/Analyzer連携記載あり）,適用範囲・入出力・RTF・.sec/.csv,complements:MAN-008,standalone_complement,girder_section|stress_check|analyzer_link,edition_pair_undecided_with_MAN-061,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,MAN-061との版関係UNKNOWN
MAN-063,マニュアル(添接計算).pdf,SuperDesigner/Splice 鋼橋の自動設計システム 添接設計 ユーザーズ・マニュアル,APOLLO,Splice,UNKNOWN,単体アプリマニュアル,PHASE1_CORE,P0,splice|calculation_report,添接単体。非合成第8章を補完,適用・.spl・計算書,complements:MAN-009,standalone_complement,splice|calculation_report,standalone,目次/表紙ベースの役割確認。本文全機能の網羅はStage4,UNKNOWN,path+cover/toc+Stage2 system map,NONE
MAN-064,マニュアル(鋼床版の設計).pdf,鋼床版の設計,APOLLO,StDeck,鋼床版,単体アプリマニュアル,FUTURE,P3,NONE,鋼床版（StDeck）。Phase1はRC床版鋼鈑桁,NONE,NONE,none,NONE,future_stdeck,NONE,UNKNOWN,path_bridge_type,MAN-064=StDeck（Spliceではない）
MAN-065,鋼床版の解析方法概要と解析結果の比較.pdf,鋼床版の解析方法概要と解析結果の比較,APOLLO,StDeck,鋼床版,技術資料,FUTURE,P3,NONE,鋼床版（StDeck）。Phase1はRC床版鋼鈑桁,NONE,NONE,none,NONE,future_stdeck,NONE,UNKNOWN,path_bridge_type,MAN-064=StDeck（Spliceではない）
