property_id,material_category,material_grade,property_name,symbol,value,unit,value_type,source_document,source_edition,source_volume,source_clause,source_table,applicability,thickness_range,temperature_range,age_or_strength_condition,partial_factor_role,adoption_status,evidence_location,reviewer,notes
MAT-DS03-011,rc_deck_concrete,strength_class_unspecified,design_compressive_strength,Fc,,,age_strength_table,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all_thicknesses,service_temperature_unspecified,age_or_strength_class_unspecified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/external_traceability_crosswalk.csv (slab_material rows location-only); licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 III concrete strength class and age/strength provision with human visual confirmation; (b) JIS concrete/material references resolved if cited. Phase 1B RC slab checks; not elastic E input.
MAT-DS03-012,rc_deck_concrete,strength_class_unspecified,elastic_modulus,Ec,,,strength_dependent_formula_or_table,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all_thicknesses,service_temperature_unspecified,elastic_analysis,analysis_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011; licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 III Ec provision with human visual confirmation; (b) linkage to adopted Fc or specified strength class if formula-based; (c) non-composite deck stiffness model alignment if DS-06 confirms RC deck shell in analyzer (no composite action per Phase 1 scope). Phase 1A conditional on DS-06 physical I/O/model evidence — not asserted mandatory at DS-03.
MAT-DS03-013,rc_deck_concrete,strength_class_unspecified,poisson_ratio,νc,,,constant,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all,service_temperature_unspecified,elastic_analysis,analysis_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011; licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 III concrete Poisson ratio with human visual confirmation. Phase 1A conditional on DS-06 confirming RC deck shell stiffness inputs.
MAT-DS03-014,rc_deck_concrete,strength_class_unspecified,thermal_expansion_coefficient,αc,,,constant_or_temperature_table,道路橋示方書・同解説,Ver2.00+20260331,I|III,,,rc_deck_slab,all,temperature_range_unspecified,thermal_effects_if_adopted,analysis_action_or_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/01_target_standard/applicable_volumes_and_sections.md; licensed 道路橋示方書 I|III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) governing 道示 thermal clause for concrete; (b) DS-04 temperature load case adoption. Phase 1A only if thermal cases adopted at DS-04.
MAT-DS03-015,rc_deck_concrete,strength_class_unspecified,unit_weight,γc,,,constant,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all,service_temperature_unspecified,dead_load,analysis_action,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/step1/07_validation/reference_bridge_definition.md (historical null fields only); licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 III RC deck unit weight with human visual confirmation. Phase 1A dead load conditional on DS-06 I/O confirmation. reference_bridge_input.json null fields are not authority.
MAT-DS03-016,rc_deck_concrete,strength_class_unspecified,mass_density,ρc,,,conversion_pending_g_policy,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all,service_temperature_unspecified,dead_load,analysis_action,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,material_source_report.md#dimensional-units-conversion-rounding-and-storage; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011,Composer 2.5 DS-03 worker,Acceptance blocked until: (a) sourced gravity/unit conversion policy recorded in DS-03 dimensional policy; (b) DS-06 confirms mass density is a required Phase 1A input; (c) MAT-DS03-015 adopted before any ρc conversion. Acquisition: obtain the DS-06 physical I/O contract and create a supervisor DEC-DS03-xxxx that cites the authoritative gravity source and records the unit conversion rule. No derived ρc until policy and DS-06 applicability are evidenced.
MAT-DS03-017,rc_deck_concrete,strength_class_unspecified,age_strength_development,—,,,time_strength_curve,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all,service_temperature_unspecified,age_days_unspecified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-005); licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 III age/strength provisions with human visual confirmation; (b) construction stage applicability classified at DS-05 (erection-stage analysis OUT_OF_SCOPE Phase 1). Phase 1B when strength at specified age governs check. Blocker ref BLK-S1-005.
MAT-DS03-018,rc_deck_concrete,strength_class_unspecified,creep,—,,,time_dependent_model,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all,service_temperature_unspecified,long_term,analysis_time_dependent,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/design_standard_scope.md (static linear Phase 1); licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Phase 1A matrix lane NOT_APPLICABLE (static linear). Register and Phase 1B final BLOCKED pending DS-05 applicability classification. Acceptance blocked until: (a) DS-05 evidences creep coefficients govern a Phase 1B RC serviceability check; (b) 道示 III creep provision located with human visual confirmation; (c) supervisor decision records applicability. Acquisition: licensed 道示 III PDF human read. No numeric adopted at DS-03.
MAT-DS03-019,rc_deck_concrete,strength_class_unspecified,shrinkage,—,,,time_dependent_model,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_slab,all,service_temperature_unspecified,long_term,analysis_time_dependent,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/design_standard_scope.md (static linear Phase 1); licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Phase 1A matrix lane NOT_APPLICABLE (static linear). Register and Phase 1B final BLOCKED pending DS-05 applicability classification. Acceptance blocked until: (a) DS-05 evidences shrinkage governs a Phase 1B RC check; (b) 道示 III shrinkage provision located with human visual confirmation; (c) supervisor decision records applicability. Acquisition: licensed 道示 III PDF human read. No numeric adopted at DS-03.
MAT-DS03-020,reinforcing_steel,grade_unspecified,grade_identity,—,,,designation_lookup,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_rebar|distribution_rebar,all_diameters,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS rebar primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) JIS rebar product standard resolved per DEC-DS02-0001; (b) 道示 III rebar grade selection clause with human visual confirmation. Do not infer SD390/SD490 or similar without licensed JIS table.
MAT-DS03-021,reinforcing_steel,grade_unspecified,elastic_modulus,Es,,,constant,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_rebar,all_diameters,service_temperature_unspecified,elastic_analysis,analysis_stiffness,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011; licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition); docs/apollo/design-standards/02_jis/jis_source_register.csv (if 道示 cites JIS),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 III rebar elastic modulus provision with human visual confirmation; (b) JIS cited values if 道示 references JIS. Phase 1A conditional on DS-06 confirming reinforced deck stiffness model — not asserted mandatory at DS-03.
MAT-DS03-022,reinforcing_steel,grade_unspecified,yield_strength,fy,,,grade_and_diameter_table,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_rebar,diameter_bands_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS rebar primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-020 unlocked; (b) JIS yield table by grade/diameter; (c) 道示 III clause/table locator with human visual confirmation. Resistance partial factors are separately gated at DS-05 — not part of DS-03 source adoption. Phase 1B.
MAT-DS03-023,reinforcing_steel,grade_unspecified,tensile_strength,ft,,,grade_and_diameter_table,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_rebar,diameter_bands_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS rebar primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-020 unlocked; (b) licensed JIS tensile table. Phase 1B where anchorage/ductility provisions require ft.
MAT-DS03-024,reinforcing_steel,grade_unspecified,diameter_grade_condition_matrix,—,,,lookup_table,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_rebar,per_bar_size,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS rebar primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) bar size set for Phase 1 project defined; (b) JIS mechanical property table rows for each adopted diameter and grade; (c) 道示 min cover/spacing does not substitute for JIS strengths.
MAT-DS03-025,reinforcing_steel,grade_unspecified,unit_weight,γs,,,constant,道路橋示方書・同解説,Ver2.00+20260331,III,,,rc_deck_rebar,all_diameters,service_temperature_unspecified,dead_load,analysis_action,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011; licensed 道路橋示方書 III Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 III rebar unit weight with human visual confirmation. Phase 1A deck dead load conditional on DS-06 I/O confirmation.
MAT-DS03-026,high_strength_bolt,grade_unspecified,grade_identity,—,,,designation_lookup,道路橋示方書・同解説,Ver2.00+20260331,II|V,,,girder_splice|connection_boundary,bolt_size_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/external_traceability_crosswalk.csv (splice_bolt rows); licensed JIS bolt primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) JIS high-strength bolt standard resolved; (b) 道示 II/V splice bolt provisions with human visual confirmation. RBS-II p303 PNG is location memo only. Phase 1B connection checks at boundary scope.
MAT-DS03-027,high_strength_bolt,grade_unspecified,minimum_tensile_strength,—,,,grade_table,道路橋示方書・同解説,Ver2.00+20260331,II|V,,,girder_splice,bolt_size_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS bolt primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-026 unlocked; (b) JIS bolt mechanical property table. Phase 1B.
MAT-DS03-028,high_strength_bolt,grade_unspecified,proof_load_or_yield,—,,,grade_table,道路橋示方書・同解説,Ver2.00+20260331,II|V,,,girder_splice,bolt_size_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS bolt primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-026 unlocked; (b) JIS proof stress table with edition metadata.
MAT-DS03-029,high_strength_bolt,grade_unspecified,slip_coefficient,μs,,,surface_condition_table,道路橋示方書・同解説,Ver2.00+20260331,II|V,,,friction_splice,interface_condition_unspecified,service_temperature_unspecified,slip_critical_joint,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/reports/stage5_final_report.md (high-strength bolts sampled PNG); licensed 道路橋示方書 II|V Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 slip coefficient table with human visual confirmation including surface treatment class; (b) no μ from APOLLO historical defaults. Phase 1B friction splice checks only if in Phase 1 feature set.
MAT-DS03-030,high_strength_bolt,grade_unspecified,bolt_hole_bearing_strength,—,,,plate_and_bolt_interaction,道路橋示方書・同解説,Ver2.00+20260331,II,,,girder_splice|connection_boundary,plate_thickness_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-005); licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-002 and MAT-DS03-003 plate strengths adopted; (b) 道示 bearing strength provision with human visual confirmation. Phase 1B. Blocker ref BLK-S1-005.
MAT-DS03-031,welding,classification_unspecified,weld_metal_matching_class,—,,,designation_lookup,道路橋示方書・同解説,Ver2.00+20260331,II,,,field_weld|shop_weld,all,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS welding primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) JIS welding consumable/metal classification standards resolved; (b) 道示 II weld matching rules with human visual confirmation; (c) base metal grade from MAT-DS03-001 adopted.
MAT-DS03-032,welding,classification_unspecified,weld_metal_strength_matching,—,,,matching_table,道路橋示方書・同解説,Ver2.00+20260331,II,,,field_weld|shop_weld,all,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed JIS welding primary (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-031 unlocked; (b) JIS weld metal strength table for adopted classification.
MAT-DS03-033,welding,classification_unspecified,weld_toughness_requirement,—,,,conditional,道路橋示方書・同解説,Ver2.00+20260331,II,,,fracture_critical_members_if_any,all,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/design_standard_scope.md (fatigue checks OUT_OF_SCOPE; not a toughness disposition); licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition); licensed JIS toughness/CVN primary if cited (EXTERNAL_JIS_RESEARCH),Composer 2.5 DS-03 worker,Fatigue being OUT_OF_SCOPE does not determine toughness applicability. BLOCKED pending: (a) DS-05 explicit applicability classification for toughness requirements; (b) 道示 II toughness/CVN provision with human visual confirmation; (c) licensed JIS evidence if 道示 cites JIS. Acquisition: licensed 道示 II PDF + JIS primary as cited. No numeric at DS-03.
MAT-DS03-034,bearing_boundary,material_class_unspecified,bearing_device_material_class,—,,,product_specification,道路橋示方書・同解説,Ver2.00+20260331,V,,,bearing_interface,device_type_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/01_target_standard/applicable_volumes_and_sections.md (Volume V boundary); licensed 道路橋示方書 V Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 V bearing material/device specification with human visual confirmation; (b) H31 支承便覧 remains REFERENCE_ONLY — not numeric authority. Phase 1B bearing boundary checks only.
MAT-DS03-035,bearing_boundary,elastomer_unspecified,elastomer_hardness_or_stiffness,—,,,product_table,道路橋示方書・同解説,Ver2.00+20260331,V,,,laminated_elastomer_bearing_if_used,durometer_unspecified,service_temperature_unspecified,serviceability,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/01_target_standard/applicable_volumes_and_sections.md; licensed 道路橋示方書 V Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) bearing type selected for Phase 1 project; (b) 道示 V elastomer property table with human visual confirmation; (c) JIS product standard if cited. Not Phase 1A analyzer linear-elastic girder model unless bearing springs explicitly adopted at DS-06.
MAT-DS03-036,bearing_boundary,steel_unspecified,bearing_plate_steel_grade,—,,,designation_lookup,道路橋示方書・同解説,Ver2.00+20260331,V|II,,,bearing_plate|sole_plate,plate_thickness_unspecified,service_temperature_unspecified,as_specified,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/02_jis/jis_source_register.csv; licensed 道路橋示方書 V|II Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 V bearing plate steel grade rule with human visual confirmation; (b) JIS plate grade table if referenced. Phase 1B.
MAT-DS03-037,corrosion_protection,system_unspecified,durability_environment_class,—,,,classification,道路橋示方書・同解説,Ver2.00+20260331,I|II,,,steel_superstructure,all,service_temperature_unspecified,service_life,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-005); licensed 道路橋示方書 I|II Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) 道示 corrosion/durability environment classification with human visual confirmation. Phase 1B durability/protection design at supporting level; not Phase 1A elastic analysis input. Blocker ref BLK-S1-005.
MAT-DS03-038,corrosion_protection,system_unspecified,protective_coating_system_designation,—,,,system_specification,道路橋示方書・同解説,Ver2.00+20260331,II,,,steel_superstructure,all,service_temperature_unspecified,service_life,resistance_material,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-005); licensed 道路橋示方書 II Ver2.00+20260331 PDF (EXTERNAL acquisition),Composer 2.5 DS-03 worker,Acceptance blocked until: (a) MAT-DS03-037 environment class adopted; (b) 道示 coating system table with human visual confirmation. R2 鋼便覧 REFERENCE_ONLY. Blocker ref BLK-S1-005.
