enum_type,enum_value,description,source
semantic_class,reaction,Reaction,phase2_i_extraction
semantic_class,deflection,Deflection,phase2_i_extraction
semantic_class,rotation,Rotation,phase2_i_extraction
semantic_class,member_force,Member force,phase2_i_extraction
semantic_class,bending_stress,Bending stress,phase2_i_extraction
semantic_class,shear_stress,Shear stress,phase2_i_extraction
semantic_class,combined_stress,Combined stress,phase2_i_extraction
semantic_class,stress_limit,Stress limit,phase2_i_extraction
semantic_class,check_ratio,Check ratio,phase2_i_extraction
semantic_class,judgment,Judgment OK/NG,phase2_i_extraction
semantic_class,applicable_code,Applicable code,phase2_i_extraction
semantic_class,applicable_manual,Applicable manual,phase2_i_extraction
semantic_class,bearing_type,Bearing type,phase2_i_extraction
semantic_class,restraint_method,Restraint method,phase2_i_extraction
semantic_class,camber,Camber,phase2_i_extraction
semantic_class,appurtenance,Appurtenance (railing/wall),phase2_i_extraction
semantic_class,text,Text content,phase2_i_extraction
semantic_class,table,Table content,phase2_i_extraction
semantic_class,figure,Figure content,phase2_i_extraction
semantic_class,fatigue,Fatigue design/check quantity (stress range, damage ratio),phase2_i_extraction
semantic_class,welding,Welding design quantity/verification,phase2_i_extraction
verification_status,UNVERIFIED,Extraction not yet cross-verified,phase2_i
verification_status,PARTIAL,Partially verified (OCR-assisted etc.),phase2_i
verification_status,VERIFIED,Cross-source verified,phase2_i
verification_status,AGREED,Both OCR passes agreed,phase2_i
verification_status,CONFIRMED_BLANK,Confirmed blank in source,phase2_i
verification_status,OCR_VERIFIED,Verified via OCR-assisted transcription,phase2_i
parity_status,CALC_ONLY,Value appears only in calculation book,phase2_ii
parity_status,DRAWING_ONLY,Value appears only in drawing set,phase2_ii
parity_status,BOTH,Value appears in both calculation and drawing,phase2_ii
parity_status,ONE_SOURCE_ONLY,Value appears in only one source,phase2_ii
parity_status,NOT_CHECKED,Parity not yet checked,phase2_ii
adoption_status,CANDIDATE_ONLY,Plain candidate for Phase 3,candidate_layer_contract
adoption_status,EXCLUDED_DERIVED_VALUE,Derived value excluded from Golden input,candidate_layer_contract
adoption_status,EXCLUDED_ANALYSIS_RESULT,Analysis result excluded from Golden input,candidate_layer_contract
adoption_status,EXCLUDED_DESIGN_RESULT,Design result excluded from Golden input,candidate_layer_contract
adoption_status,EXCLUDED_DRAWING_ONLY,Drawing-only value excluded from Golden input,candidate_layer_contract
adoption_status,CONFLICT_REQUIRES_REVIEW,Source conflict needs review,candidate_layer_contract
adoption_status,HUMAN_CONFIRMATION_REQUIRED,Needs human confirmation,candidate_layer_contract
adoption_status,APPROVED_GOLDEN_INPUT,FORMAL GOLDEN PROMOTION - PROHIBITED IN PHASE 2-II,candidate_layer_contract
confidence,HIGH,High confidence,phase2_i
confidence,MEDIUM,Medium confidence,phase2_i
confidence,LOW,Low confidence,phase2_i
confidence,UNKNOWN,Unknown confidence,phase2_i
phase3_action,GOLDEN_ELIGIBLE,Eligible for Golden promotion review,phase2_ii
phase3_action,GOLDEN_EXCLUDED,Excluded from Golden (derived/result/drawing-only),phase2_ii
phase3_action,HUMAN_VALIDATION,Requires human validation in Phase 3,phase2_ii
phase3_action,REVIEW_CONFLICT,Conflict requires review in Phase 3,phase2_ii
phase3_action,ORPHAN_LOG,Logged as orphan for Phase 3 resolution,phase2_ii
