case_id,case_name,pipeline,command,input_paths,output_paths,output_sha256,expected_outcome,observed_outcome,exit_code,case_acceptance,provenance,evidence_label
DR-11,sign_transform,EA-04,parity_core.normalize_raw_results sign_transform.spacer.ux=-1,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-11/case_record.json,f6e032405e13fb3d052126a1572ab2b38263e49ec5a14f33d70f0623e49a3749,canonical_values_equal,equal=True,0,PASS,parity_core.sign_transform per-side,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-12,ij_transform,EA-04,parity_core.member_end_transform swap_ij,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-12/case_record.json,287ddb6efa88ab1c7309994244807a1147a73139c676846174fd193f2621d06d,i_j_values_swapped,swap_observed=True,0,PASS,parity_core.member_end_transform,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-13,unit_conversion,EA-04,parity_core.unit_conversion per-side,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-13/case_record.json,c68e5306a11336b72948ac551339ebce00a1b7478e2948d672fe4770f4a57092,both_sides_canonical_m_0.001,conversion_ok=True,0,PASS,parity_core._apply_unit_conversion,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-14,tolerance_pass,EA-04,parity_core.compare_canonical_documents,docs/apollo/evidence-collection/04_parity_harness/tolerance_freeze_register.csv,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-14/case_record.json,08a2655cb6fe9c140ddb28c4a466b980771ccc19f9ca6fb8c17383c6dc2964a9,overall_PASS_synthetic_only,PASS,0,PASS,parity_core.compare_canonical_documents,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-15,tolerance_fail,EA-04,parity_core.compare_canonical_documents,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-15/case_record.json,48f24cf80c95af0ddd6a74af38f06d6d272adbe9f2c7093450f48ad8293464a4,overall_FAIL,FAIL,0,PASS,parity_core.compare_canonical_documents,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-16,missing_output,EA-04,parity_core.compare_canonical_documents,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-16/case_record.json,ef0c25dc92efe185786444c01d68433c0ef85ff8f95027adbe8eb392475cc8f9,overall_FAIL_with_MISSING_OUTPUT,"verdict=FAIL;hints=[None, None, None, None, 'MISSING_OUTPUT', None, None]",0,PASS,parity_core.compare_canonical_documents,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-17,extra_output,EA-04,parity_core.compare_canonical_documents,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-17/case_record.json,7c96a3320ba9702a416422692aa30d691752991249d18ab75db448f328230f48,overall_FAIL_with_EXTRA_OUTPUT,"verdict=FAIL;hints=[None, None, None, None, 'EXTRA_OUTPUT', None, None]",0,PASS,parity_core.compare_canonical_documents,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-18,mismatch_classification,EA-04,parity_core.classify_comparison_report,,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-18/case_record.json,c5a6240c3edca833a5c5201421952249e676f906a0c34b24f64c1544107c0417,classification_rows_present,count=1,0,PASS,parity_core.classify_comparison_report,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-19,evidence_bundle_validation,EA-01,evidence_core.validate_evidence_bundle,<ephemeral_scratch>/dr19/runs/8888888888888888888888888888888888888888888888888888888888888888/bundle_manifest.json,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-19/case_record.json,d0c15772f421f2bb48cbd5fc4c1f55ded93158d002349c26dbdfb30d1d4c96c1,validation_valid_true,valid=True,0,PASS,evidence_core.validate_evidence_bundle,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
DR-20,report_generation,EA-01+EA-04,render_evidence_summary+render_parity_report,<ephemeral_scratch>/dr20/runs/9999999999999999999999999999999999999999999999999999999999999999/bundle_manifest.json,docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-20/case_record.json;docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-20/evidence_summary.json;docs/apollo/evidence-collection/05_dry_run/artifacts/cases/DR-20/parity_report.json,de62691b0a99ad13d3b3dc6662c4369ad4384024d40abb8cbec4caaef7833b05,reports_generated_blocked_actual_parity,reports=True;evidence_ok=True;parity_harness=COMPLETE;actual=BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,0,PASS,evidence_core.render_evidence_summary;parity_core.render_parity_report,EA-05_SYNTHETIC_DRY_RUN_NOT_MACHINE_EVIDENCE
