candidate_id,domain,field_path,semantic_class,adoption_status,phase3_action,disposition
RP-251,report,report.formula.CAL-FML-P00122-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-252,report,report.formula.CAL-FML-P00122-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-253,report,report.formula.CAL-FML-P00122-004,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-254,report,report.formula.CAL-FML-P00124-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-255,report,report.formula.CAL-FML-P00124-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-256,report,report.formula.CAL-FML-P00124-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-257,report,report.formula.CAL-FML-P00124-004,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-258,report,report.formula.CAL-FML-P00124-005,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-259,report,report.formula.CAL-FML-P00124-006,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-260,report,report.formula.CAL-FML-P00124-007,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-262,report,report.formula.CAL-FML-P00135-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-263,report,report.formula.CAL-FML-P00135-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-264,report,report.formula.CAL-FML-P00135-004,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-265,report,report.formula.CAL-FML-P00135-005,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-713,report,report.formula.CAL-FML-P00685-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-714,report,report.formula.CAL-FML-P00686-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-790,report,report.formula.CAL-FML-P00767-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-791,report,report.formula.CAL-FML-P00767-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-793,report,report.formula.CAL-FML-P00770-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-794,report,report.formula.CAL-FML-P00770-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-795,report,report.formula.CAL-FML-P00772-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-796,report,report.formula.CAL-FML-P00774-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-856,report,report.formula.CAL-FML-P00791-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-857,report,report.formula.CAL-FML-P00791-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-858,report,report.formula.CAL-FML-P00791-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-859,report,report.formula.CAL-FML-P00791-004,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-860,report,report.formula.CAL-FML-P00791-005,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-861,report,report.formula.CAL-FML-P00791-006,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-903,report,report.formula.CAL-FML-P00819-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-904,report,report.formula.CAL-FML-P00819-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-905,report,report.formula.CAL-FML-P00819-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-906,report,report.formula.CAL-FML-P00820-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-907,report,report.formula.CAL-FML-P00820-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-908,report,report.formula.CAL-FML-P00820-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-909,report,report.formula.CAL-FML-P00821-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-910,report,report.formula.CAL-FML-P00821-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-911,report,report.formula.CAL-FML-P00821-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-963,report,report.formula.CAL-FML-P00850-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-964,report,report.formula.CAL-FML-P00852-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-965,report,report.formula.CAL-FML-P00852-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1141,report,report.formula.CAL-FML-P01321-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1142,report,report.formula.CAL-FML-P01321-004,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1143,report,report.formula.CAL-FML-P01321-005,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1144,report,report.formula.CAL-FML-P01321-006,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1145,report,report.formula.CAL-FML-P01321-007,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1146,report,report.formula.CAL-FML-P01321-008,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1149,report,report.formula.CAL-FML-P01321-011,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1150,report,report.formula.CAL-FML-P01319-001,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1151,report,report.formula.CAL-FML-P01319-002,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1152,report,report.formula.CAL-FML-P01319-003,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1153,report,report.formula.CAL-FML-P01319-004,NUMERIC_SUBSTITUTION,EXCLUDED_DERIVED_VALUE,GOLDEN_EXCLUDED,EXCLUDED_SCOPE
RP-1154,report,report.formula.CAL-FML-P01319-005,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1358,report,report.formula.CH5-FORM-010,deflection,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1359,report,report.formula.CH5-FORM-011,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1360,report,report.formula.CH5-FORM-012,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1361,report,report.formula.CH5-FORM-013,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1362,report,report.formula.CH5-FORM-014,rotation,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1363,report,report.formula.CH5-FORM-015,deflection,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1364,report,report.formula.CH5-FORM-016,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1368,report,report.formula.CH5-FORM-020,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1373,report,report.formula.CH5-FORM-025,deflection,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1374,report,report.formula.CH5-FORM-026,deflection,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1378,report,report.formula.CH5-FORM-030,member_force,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
RP-1380,report,report.formula.CH5-FORM-032,DESIGN_RESULT,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,REJECTED_RESULT_EXCLUDED
