candidate_id,golden_id,field_path,promotion_status,source_priority,confidence,domain
RP-172,G-RPT-0020,report.section.CH2-PE-011,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-174,G-RPT-0021,report.section.CH2-PE-012,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-176,G-RPT-0022,report.section.CH2-PE-013,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-178,G-RPT-0023,report.section.CH2-PE-014,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-180,G-RPT-0024,report.section.CH2-PE-015,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-182,G-RPT-0025,report.section.CH2-PE-016,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-184,G-RPT-0026,report.section.CH2-PE-017,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-186,G-RPT-0027,report.section.CH2-PE-018,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-188,G-RPT-0028,report.section.CH2-PE-019,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-190,G-RPT-0029,report.section.CH2-PE-020,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-192,G-RPT-0030,report.section.CH2-PE-021,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-194,G-RPT-0031,report.section.CH2-PE-022,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-196,G-RPT-0032,report.section.CH2-PE-023,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-198,G-RPT-0033,report.section.CH2-PE-024,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-296,G-RPT-0034,report.section.CAL-P00115-CAL-SEC-3.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-298,G-RPT-0035,report.section.CAL-P00116-CAL-SEC-3.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-300,G-RPT-0036,report.section.CAL-P00117-CAL-SEC-3.1.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-304,G-RPT-0037,report.section.CAL-P00118-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-307,G-RPT-0038,report.section.CAL-P00119-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-310,G-RPT-0039,report.section.CAL-P00121-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-312,G-RPT-0040,report.section.CAL-P00121-CAL-SEC-3.1.2-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-314,G-RPT-0041,report.section.CAL-P00122-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-316,G-RPT-0042,report.section.CAL-P00122-CAL-SEC-3.1.2-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-318,G-RPT-0043,report.section.CAL-P00123-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-321,G-RPT-0044,report.section.CAL-P00124-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-323,G-RPT-0045,report.section.CAL-P00125-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-326,G-RPT-0046,report.section.CAL-P00126-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-329,G-RPT-0047,report.section.CAL-P00127-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-331,G-RPT-0048,report.section.CAL-P00128-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-334,G-RPT-0049,report.section.CAL-P00129-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-336,G-RPT-0050,report.section.CAL-P00130-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-338,G-RPT-0051,report.section.CAL-P00131-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-341,G-RPT-0052,report.section.CAL-P00132-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-343,G-RPT-0053,report.section.CAL-P00132-CAL-SEC-3.1.2-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-345,G-RPT-0054,report.section.CAL-P00133-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-350,G-RPT-0055,report.section.CAL-P00135-CAL-SEC-3.1.2-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-352,G-RPT-0056,report.section.CAL-P00135-CAL-SEC-3.1.2-003,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-355,G-RPT-0057,report.section.CAL-P00136-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-357,G-RPT-0058,report.section.CAL-P00137-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-361,G-RPT-0059,report.section.CAL-P00139-CAL-SEC-3.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-366,G-RPT-0060,report.section.CAL-P00141-CAL-SEC-3.1.3-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-370,G-RPT-0061,report.section.CAL-P00142-CAL-SEC-3.1.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-373,G-RPT-0062,report.section.CAL-P00143-CAL-SEC-3.1.5-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-377,G-RPT-0063,report.section.CAL-P00145-CAL-SEC-3.1.6-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-388,G-RPT-0064,report.section.CAL-P00180-CAL-SEC-3.1.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-393,G-RPT-0065,report.section.CAL-P00222-CAL-SEC-3.1.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-398,G-RPT-0066,report.section.CAL-P00277-CAL-SEC-3.1.9-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-727,G-RPT-0067,report.section.CAL-P00675-CAL-SEC-3.3-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-729,G-RPT-0068,report.section.CAL-P00676-CAL-SEC-3.3.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-737,G-RPT-0069,report.section.CAL-P00679-CAL-SEC-3.3.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-741,G-RPT-0070,report.section.CAL-P00685-CAL-SEC-3.3.3-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-746,G-RPT-0071,report.section.CAL-P00687-CAL-SEC-3.3.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-749,G-RPT-0072,report.section.CAL-P00688-CAL-SEC-3.3.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-754,G-RPT-0073,report.section.CAL-P00696-CAL-SEC-3.3.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-758,G-RPT-0074,report.section.CAL-P00704-CAL-SEC-3.3.5-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-767,G-RPT-0075,report.section.CAL-P00735-CAL-SEC-3.3.6-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-775,G-RPT-0076,report.section.CAL-P00762-CAL-SEC-3.3.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-803,G-RPT-0077,report.section.CAL-P00765-CAL-SEC-3.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-805,G-RPT-0078,report.section.CAL-P00766-CAL-SEC-3.4.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-809,G-RPT-0079,report.section.CAL-P00767-CAL-SEC-3.4.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-816,G-RPT-0080,report.section.CAL-P00770-CAL-SEC-3.4.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-821,G-RPT-0081,report.section.CAL-P00773-CAL-SEC-3.4.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-824,G-RPT-0082,report.section.CAL-P00774-CAL-SEC-3.4.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-829,G-RPT-0083,report.section.CAL-P00777-CAL-SEC-3.4.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-869,G-RPT-0084,report.section.CAL-P00788-CAL-SEC-3.5-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-871,G-RPT-0085,report.section.CAL-P00789-CAL-SEC-3.5.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-877,G-RPT-0086,report.section.CAL-P00791-CAL-SEC-3.5.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-881,G-RPT-0087,report.section.CAL-P00792-CAL-SEC-3.5.3-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-884,G-RPT-0088,report.section.CAL-P00793-CAL-SEC-3.5.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-887,G-RPT-0089,report.section.CAL-P00797-CAL-SEC-3.5.5-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-890,G-RPT-0090,report.section.CAL-P00800-CAL-SEC-3.5.6-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-920,G-RPT-0091,report.section.CAL-P00817-CAL-SEC-3.6-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-922,G-RPT-0092,report.section.CAL-P00818-CAL-SEC-3.6.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-927,G-RPT-0093,report.section.CAL-P00819-CAL-SEC-3.6.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-931,G-RPT-0094,report.section.CAL-P00820-CAL-SEC-3.6.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-935,G-RPT-0095,report.section.CAL-P00821-CAL-SEC-3.6.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-939,G-RPT-0096,report.section.CAL-P00822-CAL-SEC-3.6.3-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-947,G-RPT-0097,report.section.CAL-P00840-CAL-SEC-3.6.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-974,G-RPT-0098,report.section.CAL-P00842-CAL-SEC-3.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-976,G-RPT-0099,report.section.CAL-P00843-CAL-SEC-3.7.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-980,G-RPT-0100,report.section.CAL-P00845-CAL-SEC-3.7.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-996,G-RPT-0101,report.section.CAL-P00860-CAL-SEC-3.7.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1043,G-RPT-0102,report.section.CAL-P00872-CAL-SEC-4.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1045,G-RPT-0103,report.section.CAL-P00873-CAL-SEC-4.1.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1053,G-RPT-0104,report.section.CAL-P00874-CAL-SEC-4.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1057,G-RPT-0105,report.section.CAL-P00876-CAL-SEC-4.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1060,G-RPT-0106,report.section.CAL-P00881-CAL-SEC-4.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1063,G-RPT-0107,report.section.CAL-P00893-CAL-SEC-4.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1066,G-RPT-0108,report.section.CAL-P00893-CAL-SEC-4.1.2-003,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1069,G-RPT-0109,report.section.CAL-P00894-CAL-SEC-4.1.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1073,G-RPT-0110,report.section.CAL-P00900-CAL-SEC-4.1.3-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1076,G-RPT-0111,report.section.CAL-P00901-CAL-SEC-4.1.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1081,G-RPT-0112,report.section.CAL-P00904-CAL-SEC-4.1.5-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1083,G-RPT-0113,report.section.CAL-P00904-CAL-SEC-4.1.5-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1086,G-RPT-0114,report.section.CAL-P01026-CAL-SEC-4.1.5-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1089,G-RPT-0115,report.section.CAL-P01115-CAL-SEC-4.1.6-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1091,G-RPT-0116,report.section.CAL-P01115-CAL-SEC-4.1.6-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1094,G-RPT-0117,report.section.CAL-P01130-CAL-SEC-4.1.6-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1097,G-RPT-0118,report.section.CAL-P01266-CAL-SEC-4.1.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1099,G-RPT-0119,report.section.CAL-P01266-CAL-SEC-4.1.7-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1102,G-RPT-0120,report.section.CAL-P01275-CAL-SEC-4.1.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1105,G-RPT-0121,report.section.CAL-P01280-CAL-SEC-4.1.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1110,G-RPT-0122,report.section.CAL-P01282-CAL-SEC-4.1.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1172,G-RPT-0123,report.section.CAL-P01283-CAL-SEC-4.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1174,G-RPT-0124,report.section.CAL-P01284-CAL-SEC-4.2.1-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1185,G-RPT-0125,report.section.CAL-P01287-CAL-SEC-4.2.2-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1188,G-RPT-0126,report.section.CAL-P01299-CAL-SEC-4.2.3-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1195,G-RPT-0127,report.section.CAL-P01318-CAL-SEC-4.2.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1198,G-RPT-0128,report.section.CAL-P01319-CAL-SEC-4.2.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1210,G-RPT-0129,report.section.CAL-P01400-CAL-SEC-4.2.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1212,G-RPT-0130,report.section.CAL-P01451-CAL-SEC-4.2.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1214,G-RPT-0131,report.section.CAL-P01520-CAL-SEC-4.2.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1216,G-RPT-0132,report.section.CAL-P01598-CAL-SEC-4.2.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1218,G-RPT-0133,report.section.CAL-P01680-CAL-SEC-4.2.4-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1220,G-RPT-0134,report.section.CAL-P01776-CAL-SEC-4.2.5-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1224,G-RPT-0135,report.section.CAL-P01778-CAL-SEC-4.2.6-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1227,G-RPT-0136,report.section.CAL-P01947-CAL-SEC-4.2.7-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1230,G-RPT-0137,report.section.CAL-P01955-CAL-SEC-4.2.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1232,G-RPT-0138,report.section.CAL-P01955-CAL-SEC-4.2.8-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1235,G-RPT-0139,report.section.CAL-P01958-CAL-SEC-4.2.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1237,G-RPT-0140,report.section.CAL-P02003-CAL-SEC-4.2.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1240,G-RPT-0141,report.section.CAL-P02076-CAL-SEC-4.2.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1243,G-RPT-0142,report.section.CAL-P02098-CAL-SEC-4.2.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1246,G-RPT-0143,report.section.CAL-P02100-CAL-SEC-4.2.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1249,G-RPT-0144,report.section.CAL-P02114-CAL-SEC-4.2.8-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1252,G-RPT-0145,report.section.CAL-P02003-CAL-SEC-4.2.9-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1254,G-RPT-0146,report.section.CAL-P02003-CAL-SEC-4.2.9-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1256,G-RPT-0147,report.section.CAL-P02003-CAL-SEC-4.2.9-003,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1258,G-RPT-0148,report.section.CAL-P02003-CAL-SEC-4.2.9-004,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1260,G-RPT-0149,report.section.CAL-P02003-CAL-SEC-4.2.9-005,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1262,G-RPT-0150,report.section.CAL-P02023-CAL-SEC-4.2.10-001,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1406,G-RPT-0151,report.section.CH5-PE-002,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1408,G-RPT-0152,report.section.CH5-PE-003,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1410,G-RPT-0153,report.section.CH5-PE-004,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1414,G-RPT-0154,report.section.CH5-PE-007,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1416,G-RPT-0155,report.section.CH5-PE-008,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1418,G-RPT-0156,report.section.CH5-PE-009,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1420,G-RPT-0157,report.section.CH5-PE-010,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1422,G-RPT-0158,report.section.CH5-PE-011,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1424,G-RPT-0159,report.section.CH5-PE-012,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1426,G-RPT-0160,report.section.CH5-PE-013,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1428,G-RPT-0161,report.section.CH5-PE-014,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1430,G-RPT-0162,report.section.CH5-PE-015,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1432,G-RPT-0163,report.section.CH5-PE-016,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1434,G-RPT-0164,report.section.CH5-PE-017,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1436,G-RPT-0165,report.section.CH5-PE-018,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1438,G-RPT-0166,report.section.CH5-PE-019,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1440,G-RPT-0167,report.section.CH5-PE-020,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1442,G-RPT-0168,report.section.CH5-PE-021,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1444,G-RPT-0169,report.section.CH5-PE-022,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1446,G-RPT-0170,report.section.CH5-PE-023,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1448,G-RPT-0171,report.section.CH5-PE-024,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1450,G-RPT-0172,report.section.CH5-PE-025,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1452,G-RPT-0173,report.section.CH5-PE-026,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1454,G-RPT-0174,report.section.CH5-PE-027,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1456,G-RPT-0175,report.section.CH5-PE-028,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1458,G-RPT-0176,report.section.CH5-PE-029,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1460,G-RPT-0177,report.section.CH5-PE-030,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1462,G-RPT-0178,report.section.CH5-PE-031,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1464,G-RPT-0179,report.section.CH5-PE-032,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1466,G-RPT-0180,report.section.CH5-PE-033,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1468,G-RPT-0181,report.section.CH5-PE-034,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1470,G-RPT-0182,report.section.CH5-PE-035,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1472,G-RPT-0183,report.section.CH5-PE-036,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1474,G-RPT-0184,report.section.CH5-PE-037,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
RP-1476,G-RPT-0185,report.section.CH5-PE-038,APPROVED_REPORT_DRAWING_GOLDEN,CALCULATION,HIGH,report
