candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
RP-152,ENT-LINE-ACL,report,report.note.CH2-NOTE-009,NOTE,道示Ⅱ 11.2.3 表-11.2.4,,,,NOR-011,CH2-NOTE-009,calc_pdf_p33,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind reference_note).
RP-266,ENT-LINE-ACL,report,report.note.CAL-NOT-P00117-001,NOTE,主桁/横桁を骨組とした平面格子構造物として変形法による解析,,,,NOR-011,CAL-NOT-P00117-001,calc_pdf_p117,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_approach).
RP-267,ENT-LINE-ACL,report,report.note.CAL-NOT-P00117-002,NOTE,全死荷重及び活荷重に対し横桁で荷重分配を行う,,,,NOR-011,CAL-NOT-P00117-002,calc_pdf_p117,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_approach).
RP-268,ENT-LINE-ACL,report,report.note.CAL-NOT-P00117-003,NOTE,解析プログラム: 鋼橋自動設計システム APOLLO Analyzer 株式会社横河技術情報,,,,NOR-011,CAL-NOT-P00117-003,calc_pdf_p117,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind tool_reference).
RP-269,ENT-LINE-ACL,report,report.note.CAL-NOT-P00118-001,NOTE,荷重強度は荷重係数を乗じていない荷重の特性値である,,,,NOR-011,CAL-NOT-P00118-001,calc_pdf_p118,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_condition).
RP-270,ENT-LINE-ACL,report,report.note.CAL-NOT-P00118-002,NOTE,PU15付近の左側壁高欄部はノーズ部荷重を考慮する,,,,NOR-011,CAL-NOT-P00118-002,calc_pdf_p118,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_condition).
RP-271,ENT-LINE-ACL,report,report.note.CAL-NOT-P00119-001,NOTE,走行車線直下に載荷 (検査路),,,,NOR-011,CAL-NOT-P00119-001,calc_pdf_p119,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-272,ENT-LINE-ACL,report,report.note.CAL-NOT-P00119-002,NOTE,高欄外側に載荷 (遮音壁),,,,NOR-011,CAL-NOT-P00119-002,calc_pdf_p119,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-273,ENT-LINE-ACL,report,report.note.CAL-NOT-P00119-003,NOTE,荷重は格点に載荷する (ノーズ部/床版拡幅/床版打下し),,,,NOR-011,CAL-NOT-P00119-003,calc_pdf_p119,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-274,ENT-LINE-ACL,report,report.note.CAL-NOT-P00122-001,NOTE,左側の高欄荷重と遮音壁荷重はノーズ部の控除を行う,,,,NOR-011,CAL-NOT-P00122-001,calc_pdf_p122,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-275,ENT-LINE-ACL,report,report.note.CAL-NOT-P00122-002,NOTE,載荷する荷重強度は計算プログラムの様式に合わせて調整する,,,,NOR-011,CAL-NOT-P00122-002,calc_pdf_p122,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-276,ENT-LINE-ACL,report,report.note.CAL-NOT-P00124-001,NOTE,C1-C2間の荷重についてはC1からの距離が小さいためC2には考慮せずC1に載荷する,,,,NOR-011,CAL-NOT-P00124-001,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-277,ENT-LINE-ACL,report,report.note.CAL-NOT-P00125-001,NOTE,AG1桁の各格点に格点集中荷重とし整数1位に切り上げる,,,,NOR-011,CAL-NOT-P00125-001,calc_pdf_p125,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_result).
RP-278,ENT-LINE-ACL,report,report.note.CAL-NOT-P00128-001,NOTE,AG1桁の各格点に格点集中荷重とし整数1位に切り上げる,,,,NOR-011,CAL-NOT-P00128-001,calc_pdf_p128,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_result).
RP-279,ENT-LINE-ACL,report,report.note.CAL-NOT-P00129-001,NOTE,床版支間の1/2 (道示Ⅱ 11.2.13)以上,,,,NOR-011,CAL-NOT-P00129-001,calc_pdf_p129,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind standard_reference).
RP-280,ENT-LINE-ACL,report,report.note.CAL-NOT-P00129-002,NOTE,打下ろしは伸縮装置の切り欠き高を考慮する,,,,NOR-011,CAL-NOT-P00129-002,calc_pdf_p129,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-281,ENT-LINE-ACL,report,report.note.CAL-NOT-P00129-003,NOTE,ハンチ荷重控除は桁端部荷重で行う (AG1は内側のみ),,,,NOR-011,CAL-NOT-P00129-003,calc_pdf_p129,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-282,ENT-LINE-ACL,report,report.note.CAL-NOT-P00131-001,NOTE,格点集中荷重とし整数1位に切り上げる,,,,NOR-011,CAL-NOT-P00131-001,calc_pdf_p131,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-283,ENT-LINE-ACL,report,report.note.CAL-NOT-P00133-001,NOTE,巻き立てコンクリート幅は横桁フランジ幅+300mmが基本,,,,NOR-011,CAL-NOT-P00133-001,calc_pdf_p133,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-284,ENT-LINE-ACL,report,report.note.CAL-NOT-P00133-002,NOTE,水平支承部寸法からなる幅を最小とし下端部突起に作用する断面力に対し十分な耐力を有する幅を採用,,,,NOR-011,CAL-NOT-P00133-002,calc_pdf_p133,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-285,ENT-LINE-ACL,report,report.note.CAL-NOT-P00133-003,NOTE,Bは最内の鉄筋(鉛直方向)のかぶりを125mmと想定,,,,NOR-011,CAL-NOT-P00133-003,calc_pdf_p133,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_note).
RP-286,ENT-LINE-ACL,report,report.note.CAL-NOT-P00135-001,NOTE,Ｂ活荷重 「道示Ⅰ 8.2」より抜粋,,,,NOR-011,CAL-NOT-P00135-001,calc_pdf_p135,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind standard_reference).
RP-287,ENT-LINE-ACL,report,report.note.CAL-NOT-P00136-001,NOTE,作用の組み合わせに対する荷重組み合わせ係数および荷重係数 (道示Ⅰ 3.3 表3-3.1),,,,NOR-011,CAL-NOT-P00136-001,calc_pdf_p136,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind standard_reference).
RP-288,ENT-LINE-ACL,report,report.note.CAL-NOT-P00140-001,NOTE,死荷重反力の確認 計算値と解析値の比が全て1.000で一致確認OK,,,,NOR-011,CAL-NOT-P00140-001,calc_pdf_p140,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind verification_result).
RP-289,ENT-LINE-ACL,report,report.note.CAL-NOT-P00145-001,NOTE,解析モデル: 旭高架橋 ランプ 節点数54 梁要素52 支点要素27,,,,NOR-011,CAL-NOT-P00145-001,calc_pdf_p145,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind model_summary).
RP-290,ENT-LINE-ACL,report,report.note.CAL-NOT-P00149-001,NOTE,鋼材: E=2.0e8 kN/m2 G=7.7e7 kN/m2 ν=1.2e-5,,,,NOR-011,CAL-NOT-P00149-001,calc_pdf_p149,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind material_property).
RP-291,ENT-LINE-ACL,report,report.note.CAL-NOT-P00222-001,NOTE,表内数値は特性値を示す,,,,NOR-011,CAL-NOT-P00222-001,calc_pdf_p222,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind note).
RP-292,ENT-LINE-ACL,report,report.note.CAL-NOT-P00223-001,NOTE,*印部は特性値を示す,,,,NOR-011,CAL-NOT-P00223-001,calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind note).
RP-293,ENT-LINE-ACL,report,report.note.CAL-NOT-P00223-002,NOTE,合計は作用の組合せ(D+L)に対する荷重組合せ係数(γp)荷重係数(γq)を考慮した値を示す,,,,NOR-011,CAL-NOT-P00223-002,calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind note).
RP-545,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-001,NOTE,Limit state 1 for tension can be omitted; only limit state 3 is checked (tension side limit is same or stricter than LS1),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-001,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_policy).
RP-546,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-002,NOTE,"Compression side checked at limit state 3, deemed not to exceed limit state 1",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-002,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_policy).
RP-547,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-003,NOTE,"Combined bending+shear checked at limit state 1, deemed not to exceed limit state 3",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-003,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind design_policy).
RP-548,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-004,NOTE,"Steel materials: SM520, SM490Y, SM400. Plates >40mm use constant yield point steel (except sole plates)",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-004,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind material).
RP-549,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-005,NOTE,"Flange width constant: upper 620mm, lower 680mm. Web thickness constant: 14mm",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-005,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind geometry).
RP-550,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-006,NOTE,"Flange plate thickness relief direction: upper flange downward, lower flange upward",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-006,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind geometry).
RP-551,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-007,NOTE,Minimum plate thickness difference: 2mm (based on filler plate thickness). Max flange thickness difference: ≤1/2 of thicker plate (max 25mm),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-007,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind geometry).
RP-552,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-008,NOTE,"Filler plate thickness: 2.3mm minimum, increments: 2.3, 3.2, 4.5, 6mm then 1mm steps",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-008,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind filler).
RP-553,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-009,NOTE,Allowable stress margin: approximately 5 N/mm²,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-009,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind stress).
RP-554,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-010,NOTE,"Upper flange: fixed to concrete deck, no lateral buckling considered (local buckling only)",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-010,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind buckling).
RP-555,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-011,NOTE,Lower flange: both lateral torsional buckling and local buckling considered,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-011,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind buckling).
RP-556,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-012,NOTE,Composite stress check at web top and bottom edges (considers flange thickness via stress gradient from APOLLO program),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-012,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind composite).
RP-557,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-013,NOTE,"Horizontal stiffener: single stage, position based on reference girder height",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-013,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind stiffener).
RP-558,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-014,NOTE,Intermediate vertical stiffeners: basically divide panel points into 4 equal parts,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-014,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind stiffener).
RP-559,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-015,NOTE,Splice position: basically at center between vertical stiffeners (panel point divided into 4),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-015,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind splice).
RP-560,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-016,NOTE,Field splice bolts: TCB M22(S10T). Inorganic zinc-rich paint coating considered,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-016,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind bolt).
RP-561,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-017,NOTE,Splice plate area ≥ base material area. Bolt hole 24.5φ (25φ for tension tear-out check),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-017,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind bolt).
RP-562,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-018,NOTE,Upper flange splice plate: 50mm recess from flange edge (for composite slab clearance),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-018,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weld).
RP-563,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-019,NOTE,Lower flange splice plate: 5mm recess from flange edge,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-019,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weld).
RP-564,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-020,NOTE,Fillet weld max 10mm (per Aichi 'Bridge Design Guide 3-33'). Over 10mm use partial penetration weld,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-020,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weld).
RP-565,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-021,NOTE,Bearing stiffeners/crossbeam joints: fillet weld up to 12mm allowed for workability,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-021,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weld).
RP-566,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-022,NOTE,"Assumed vs actual stiffness ratio: ≤10% per panel point, ≤5% span average",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-022,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind accuracy).
RP-567,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-023,NOTE,Assumed vs actual steel weight ratio: ≤10% (per Aichi guideline 3-4),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-023,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind accuracy).
RP-568,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-024,NOTE,Design program: APOLLO Super Designer (Yokogawa Technical Information),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-024,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind program).
RP-569,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-025,NOTE,Flange splice plates: ensure cross-sectional area and bending stiffness ≥ base material,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-025,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind splice).
RP-570,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-026,NOTE,Fillet weld: Inorganic zinc-rich paint coating considered; Vfk reduction factor α applied,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-026,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weld).
RP-571,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-027,NOTE,"Bolt arrangement dimensions: UFLG width 620mm with bolt gage lines at 140,90,90 spacing (75mm edge distance)",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-027,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind bolt).
RP-572,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-028,NOTE,Dead load section determination is for out-of-plane bending moment calculation from transverse loads at mid-span and intermediate supports,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-028,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind purpose).
RP-573,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-029,NOTE,Sole plate: material grade ≥ bearing shear key grade. >40mm: constant yield point steel NOT used,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-029,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind sole_plate).
RP-574,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-030,NOTE,Fillet weld on all 4 sides of sole plate. Weld size ≥ √2t from sole plate center thickness,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-030,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind sole_plate).
RP-575,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-031,NOTE,Level 2 seismic horizontal force from dynamic analysis used for weld verification,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-031,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind sole_plate).
RP-576,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-032,NOTE,Shear key bearing check not required (verified at 175% shear strain for shear key in performance test),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-032,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind sole_plate).
RP-577,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-033,NOTE,Steel weight comparison: Actual (311.594t) / Assumed (325.566t) = 95.7% [OK] within 10% limit,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-033,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weight).
RP-578,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-034,NOTE,AG1: 133.303m × 12.000kN/m = 1599.636kN ; AG2: 132.847m × 12.000kN/m = 1594.164kN ; Total: 3193.800kN = 325.566t,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-034,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weight).
RP-579,ENT-LINE-ACL,report,report.note.SRC-calculation_chapter_03_section_3_2_notes-035,NOTE,"When bending stress ≤45% of limit, weld size determined by shear stress only",,,,NOR-011,SRC-calculation_chapter_03_section_3_2_notes-035,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation note (kind weld).
