limit_state_id,requirement_id,member_type,failure_mode,design_situation,response_concept,resistance_concept,limit_concept,phase1_status,adoption_status,evidence_package,notes
LS-DS05-011,PR-DS05-011,cross_girder,stability_failure_candidate,design_situation_unspecified,stability_response_pending_DS06,stability_resistance_pending_R7_evidence,stability_limit_pending_R7_evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B,Minimum candidate — blocked.
LS-DS05-012,PR-DS05-012,sway_bracing,compression_stability_candidate,design_situation_unspecified,axial_force_pending_DS06,compression_resistance_pending_R7_evidence,slenderness_limit_pending_R7_evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V,Candidate traceability — Phase 1B inclusion blocked pending supervisor Phase1B member table.
LS-DS05-013,PR-DS05-013,sway_bracing,connection_failure_candidate,design_situation_unspecified,connection_force_pending_DS06,connection_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03,Candidate traceability — blocked pending PKG-SCOPE-P1B.
LS-DS05-014,PR-DS05-014,lateral_bracing,tension_failure_candidate,design_situation_unspecified,axial_tension_pending_DS06,tension_resistance_pending_R7_evidence,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V,Candidate traceability — blocked pending PKG-SCOPE-P1B.
LS-DS05-015,PR-DS05-015,lateral_bracing,stability_failure_candidate,design_situation_unspecified,stability_response_pending_DS06,stability_resistance_pending_R7_evidence,stability_limit_pending_R7_evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V,Candidate traceability — blocked pending PKG-SCOPE-P1B.
LS-DS05-016,PR-DS05-016,rc_deck,bending_failure_candidate,design_situation_unspecified,flexural_response_pending_DS06,flexural_resistance_pending_R7_evidence,,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Phase 1B RC deck shell candidate — numerics blocked. Non-composite deck — no composite action.
LS-DS05-017,PR-DS05-017,rc_deck,shear_failure_candidate,design_situation_unspecified,shear_response_pending_DS06,shear_resistance_pending_R7_evidence,,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Phase 1B RC deck candidate — blocked.
LS-DS05-018,PR-DS05-018,rc_deck,serviceability_excess_candidate,design_situation_unspecified,serviceability_response_pending_DS06,serviceability_not_applicable_resistance_side,serviceability_limit_pending_R7_evidence,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06,SLS candidate — limit values in LV-DS05-018 blocked.
LS-DS05-019,PR-DS05-019,rc_deck,detailing_noncompliance_candidate,design_situation_unspecified,detailing_quantity_pending_DS06,deemed_detailing_provision_pending_R7_evidence,min_reinforcement_limit_pending_R7_evidence,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; DTS-DS05-002,May route via deemed-to-satisfy when evidenced — no invented prerequisites.
LS-DS05-020,PR-DS05-020,bearing_boundary,bearing_capacity_excess_candidate,design_situation_unspecified,support_reaction_pending_DS06,bearing_resistance_pending_R7_evidence,bearing_pressure_limit_pending_R7_evidence,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06,Minimal bearing boundary candidate — boundary-only; adoption blocked.
LS-DS05-021,PR-DS05-021,bearing_boundary,bearing_movement_excess_candidate,design_situation_unspecified,displacement_rotation_pending_DS06,movement_capacity_pending_R7_evidence,movement_limit_pending_R7_evidence,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06,Serviceability at bearing — boundary-only; adoption blocked.
LS-DS05-022,PR-DS05-022,member_connection,connection_capacity_excess_candidate,design_situation_unspecified,connection_force_pending_DS06,connection_resistance_pending_R7_evidence,,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B,Minimal connection boundary candidate — adoption blocked.
LS-DS05-023,PR-DS05-023,member_connection,force_transfer_failure_candidate,design_situation_unspecified,interface_force_pending_DS06,transfer_resistance_pending_R7_evidence,,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06; PKG-SCOPE-P1B,Minimal connection boundary — adoption blocked.
