verification_id,requirement_id,failure_mode,response_quantity,resistance_quantity,equation_summary,comparison_rule,load_side_factors,resistance_side_factors,adjustment_factors,applicability,excluded_conditions,source_document,source_volume,source_clause,source_table,adoption_status,evidence_location
VER-DS05-011,PR-DS05-011,stability_failure_candidate,design_stability_response_pending_DS06,design_stability_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,cross_girder|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
VER-DS05-012,PR-DS05-012,compression_stability_candidate,design_axial_force_pending_DS06,design_compression_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,sway_bracing|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS06 — equation_summary blank: no equation form adopted; blocked pending supervisor Phase1B member table
VER-DS05-013,PR-DS05-013,connection_failure_candidate,design_connection_force_pending_DS06,design_connection_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,sway_bracing|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS06 — equation_summary blank: no equation form adopted
VER-DS05-014,PR-DS05-014,tension_failure_candidate,design_axial_tension_pending_DS06,design_tension_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,lateral_bracing|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS06 — equation_summary blank: no equation form adopted
VER-DS05-015,PR-DS05-015,stability_failure_candidate,design_stability_response_pending_DS06,design_stability_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,lateral_bracing|BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS06 — equation_summary blank: no equation form adopted; slenderness limit in LV-DS05-015 blocked separately
VER-DS05-016,PR-DS05-016,bending_failure_candidate,design_flexural_response_pending_DS06,design_flexural_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,rc_deck|PHASE1_REQUIRED|Ver2.00+20260331|non_composite,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06 — equation_summary blank: no equation form adopted; Phase 1B RC deck shell; analysis does not authorize check
VER-DS05-017,PR-DS05-017,shear_failure_candidate,design_shear_response_pending_DS06,design_shear_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,rc_deck|PHASE1_REQUIRED|Ver2.00+20260331|non_composite,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06 — equation_summary blank: no equation form adopted
VER-DS05-018,PR-DS05-018,serviceability_excess_candidate,design_serviceability_response_pending_DS06,serviceability_not_applicable_resistance_side,,,DS04_load_factor_and_combination_chain_blocked,not_applicable_resistance_side,,rc_deck|PHASE1_REQUIRED|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06 — equation_summary blank: no equation form adopted; limit in LV-DS05-018
VER-DS05-019,PR-DS05-019,detailing_noncompliance_candidate,detailing_quantity_pending_DS06,deemed_detailing_provision_pending_R7_evidence,,,not_applicable_load_side,not_applicable_resistance_side,,rc_deck|PHASE1_REQUIRED|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; DTS-DS05-002 — equation_summary blank: no equation form adopted; may bypass explicit partial-factor equation if deemed route evidenced
VER-DS05-020,PR-DS05-020,bearing_capacity_excess_candidate,design_support_reaction_pending_DS06,design_bearing_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,bearing_boundary|PHASE1_REFERENCE|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06 — equation_summary blank: no equation form adopted; boundary-only reference posture
VER-DS05-021,PR-DS05-021,bearing_movement_excess_candidate,design_displacement_rotation_pending_DS06,movement_capacity_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,not_applicable_resistance_side,,bearing_boundary|PHASE1_REFERENCE|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06 — equation_summary blank: no equation form adopted; limit in LV-DS05-021
VER-DS05-022,PR-DS05-022,connection_capacity_excess_candidate,design_connection_force_pending_DS06,design_connection_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,member_connection|PHASE1_REFERENCE|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS03; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted; boundary-only reference posture
VER-DS05-023,PR-DS05-023,force_transfer_failure_candidate,design_interface_force_pending_DS06,design_transfer_resistance_pending_R7_evidence,,,DS04_load_factor_and_combination_chain_blocked,resistance_factor_role_and_value_pending_R7_evidence,,member_connection|PHASE1_REFERENCE|Ver2.00+20260331,fatigue|seismic|composite|nonlinear|erection|allowable_stress_substitution,道路橋示方書・同解説,,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PKG-R7-V; PKG-DS06; PKG-SCOPE-P1B — equation_summary blank: no equation form adopted
