requirement_id,structure_type,member_type,required_performance,design_situation,limit_state,phase1_status,adoption_status,source,evidence_package,notes
PR-DS05-011,steel_superstructure,cross_girder,stability_resistance_candidate,design_situation_unspecified,LS-DS05-011,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03; PKG-DS06,Minimum candidate stability check — blocked pending PKG-SCOPE-P1B.
PR-DS05-012,steel_superstructure,sway_bracing,compression_stability_candidate,design_situation_unspecified,LS-DS05-012,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V,Candidate recorded for traceability — Phase 1B inclusion blocked pending supervisor Phase1B member table. ready_requirements.csv RDY-028…RDY-037 location memos REFERENCE_ONLY only; no phase column.
PR-DS05-013,steel_superstructure,sway_bracing,connection_resistance_candidate,design_situation_unspecified,LS-DS05-013,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03,Candidate only — blocked pending PKG-SCOPE-P1B.
PR-DS05-014,steel_superstructure,lateral_bracing,tension_resistance_candidate,design_situation_unspecified,LS-DS05-014,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V,Candidate only — blocked pending PKG-SCOPE-P1B. ready_requirements.csv RDY-032…RDY-039 location memos REFERENCE_ONLY only.
PR-DS05-015,steel_superstructure,lateral_bracing,stability_resistance_candidate,design_situation_unspecified,LS-DS05-015,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V,Candidate only — blocked pending PKG-SCOPE-P1B.
PR-DS05-016,rc_superstructure,rc_deck,bending_resistance_candidate,design_situation_unspecified,LS-DS05-016,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Phase 1B candidate within narrow scope RC deck design shell. All equation/limit numerics blocked. Analysis does not authorize check.
PR-DS05-017,rc_superstructure,rc_deck,shear_resistance_candidate,design_situation_unspecified,LS-DS05-017,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-R7-V; PKG-DS03; PKG-DS04; PKG-DS06,Phase 1B RC deck candidate.
PR-DS05-018,rc_superstructure,rc_deck,serviceability_candidate,design_situation_unspecified,LS-DS05-018,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-R7-V; PKG-DS06,SLS/serviceability candidate. Limit values blocked.
PR-DS05-019,rc_superstructure,rc_deck,minimum_reinforcement_detailing_candidate,design_situation_unspecified,LS-DS05-019,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-R7-V; PKG-DS03,Detailing/minimum reinforcement candidate — may route via deemed-to-satisfy shell DTS-DS05-002 when evidenced.
PR-DS05-020,support_boundary,bearing_boundary,bearing_resistance_candidate,design_situation_unspecified,LS-DS05-020,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-R7-V; PKG-DS03; PKG-DS06,Minimal bearing boundary candidate — boundary-only reference posture; adoption blocked.
PR-DS05-021,support_boundary,bearing_boundary,bearing_movement_rotation_candidate,design_situation_unspecified,LS-DS05-021,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-R7-V; PKG-DS06,Serviceability/movement candidate at bearing boundary — boundary-only; adoption blocked.
PR-DS05-022,connection_boundary,member_connection,connection_resistance_candidate,design_situation_unspecified,LS-DS05-022,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS03,Minimal connection boundary candidate — boundary-only reference posture; adoption blocked. Scope conflict unresolved per PKG-SCOPE-P1B.
PR-DS05-023,connection_boundary,member_connection,force_transfer_candidate,design_situation_unspecified,LS-DS05-023,PHASE1_REFERENCE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説,PKG-SCOPE-P1B; PKG-R7-V; PKG-DS06,Force transfer at member connection boundary — candidate only; adoption blocked.
PR-DS05-024,steel_superstructure,all_members,fatigue_resistance,design_situation_unspecified,,OUT_OF_SCOPE,OUT_OF_SCOPE,道路橋示方書・同解説,,Explicit Phase 1 archetype exclusion. No verification register rows at DS-05.
PR-DS05-025,structure_system,all_members,seismic_resistance,design_situation_unspecified,,OUT_OF_SCOPE,OUT_OF_SCOPE,道路橋示方書・同解説,,Explicit Phase 1 archetype exclusion. No verification register rows at DS-05.
PR-DS05-026,deck_system,rc_deck_and_girder,composite_action_verification,design_situation_unspecified,,OUT_OF_SCOPE,OUT_OF_SCOPE,道路橋示方書・同解説,,Non-composite RC deck on steel plate girder — composite verification OUT_OF_SCOPE.
PR-DS05-027,analysis_method,all_members,nonlinear_verification,design_situation_unspecified,,OUT_OF_SCOPE,OUT_OF_SCOPE,道路橋示方書・同解説,,Static linear only for Phase 1 — nonlinear verification OUT_OF_SCOPE.
PR-DS05-028,construction_stage,all_members,erection_stage_verification,design_situation_unspecified,,OUT_OF_SCOPE,OUT_OF_SCOPE,道路橋示方書・同解説,,Erection-stage verification OUT_OF_SCOPE for Phase 1 archetype.
