blocker_id,source_document,affected_area,current_status,exact_missing_evidence,executable_now,external_dependency,required_tool,required_license,required_input,expected_output,acceptance_criteria,planned_stage,notes
PKG-R7-V,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Verification provisions,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Licensed clauses tables equation forms comparison rules and resistance factors,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed R7 verification clauses,PDF viewer independent calculation and checksum tools,Authorized R7 access,DS-05 verification register row inventory,Per-row R7 verification evidence package for DS-05 registers with clause table equation factor trace,Every released verification row has complete clause table equation factor and comparison trace,STAGE-01,Depends BLK-S1-004; SG-007 SG-008
PKG-DS03,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Adopted material inputs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted material design values required by resistance checks,REQUIRES_PRIMARY_STANDARD_SOURCE,Closed DS-03 source packages,Authorized standards evidence and checksum tools,Authorized R7 and JIS access,DS-05 material-use row inventory requiring DS-03 closure,Closed DS-03 source packages linked to each DS-05 use with checksums,Resistance calculations reference only adopted source-complete material rows,STAGE-01,Depends BLK-S1-002 and BLK-S1-005; SG-007
PKG-DS04,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Adopted load inputs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted models factors combinations and application order,REQUIRES_PRIMARY_STANDARD_SOURCE,Closed DS-04 source packages,Authorized standards evidence and checksum tools,Authorized R7 access,DS-05 load-use row inventory requiring DS-04 closure,Closed DS-04 source packages linked to each DS-05 use with checksums,Load-side factors and combinations are source-complete and applied exactly once,STAGE-01,Depends BLK-S1-004; SG-007
PKG-SCOPE-P1B,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05 Phase 1B scope,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Formal member and design-check applicability decision resolving Step1 boundary conflict,NOT_APPLICABLE,Supervisor scope decision,Document review and decision-signing facility,NOT_APPLICABLE,Current Phase 1 scope artifacts and Step1 boundary conflict records,Signed supervisor Phase 1B member/check table and decision ID,One unambiguous scope table governs every verification case,STAGE-01,SG-007 linked
BLK-S1-011,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-00/DS-06 Analyzer physical I/O evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Canonical input/output formats field mappings acceptance probe and external build identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Authorized Analyzer machine captures,Selected Analyzer evidence register and checksum tools,Named valid entitlement,AN-BLK-001 through AN-BLK-010 closure status and DS-06 probe inventory,DS-06 machine-evidence closure manifest mapping every AN-BLK-001 through AN-BLK-010 acceptance,All ten AN blocker packages pass and the canonical Analyzer relationship version and format are fixed,STAGE-02,Alias depends on AN-BLK-001 through AN-BLK-010; SG-010
PKG-DS06,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-05/DS-06 Analyzer response mapping,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Response unit sign coordinate I-J context and envelope mapping needed by verification,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Accepted DS-06 machine bundle,Selected Analyzer mapping independent calculation and checksum tools,Named valid entitlement,DS-05 response quantity inventory and accepted DS-06 probe artifacts,Accepted DS-06 machine bundle linked to DS-05 response quantities with mapping worksheets,Every DS-05 response quantity maps without ambiguity and retains load-case context,STAGE-02,Depends BLK-S1-011 and AN-BLK-001 through AN-BLK-010
AN-BLK-001,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity version build architecture module hosting and relationship among historical Analyzer SPACER STATICS and repository solver,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Vendor-installed executable or service plus About or version command,Named valid entitlement if product requires it,No model required for product identity and minimal copied model only for module identity,Executable service and module metadata version output and installation manifest,Each product module process and service is uniquely distinguished and every claimed relationship or non-equivalence is supported,STAGE-02,safe_acquisition: Use authorized machine and redact personal or license secrets without altering identity fields; checksum: SHA-256 of executable and retained identity artifacts
AN-BLK-002,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Invocation and physical files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Exact command service request arguments environment working directory input output master work temporary file set naming overwrite encoding newline decimal and scientific notation,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Named valid entitlement,Checksum-fixed minimal valid model with provenance,Raw stdout stderr exit plus recursive before-after file manifests and all native artifacts,Fresh output is parseable bound to current input and complete under documented success rules,STAGE-02,safe_acquisition: Run copied fixture in a newly created isolated directory without modifying licensed installation; checksum: SHA-256 of executable input and every retained artifact
AN-BLK-003,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Units and textual representation,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Repository input-unit binding and conversion plus native unit declarations encoding locale decimal exponent and internal versus display precision,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Repository API and IF3 plus identity fixed by AN-BLK-001,Named valid entitlement for external runs,Dimensioned minimal fixtures under supported unit and locale settings,Repository requests raw and IF3 results native inputs outputs reports metadata and raw byte captures,Every input and result quantity has a bound unit conversion rule and locale changes are deterministic or rejected,STAGE-02,safe_acquisition: Use supported locale settings and copied fixtures in authorized isolated workspaces; checksum: SHA-256 of repository baseline executable inputs and outputs
AN-BLK-004,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Coordinates DOF I-J and signs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Machine-observed global local support bases DOF order member-end order and force moment reaction signs,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Named valid entitlement,Positive unit-load and asymmetric member fixtures with hand equilibrium checks,Native model and result artifacts plus coordinate displays and equilibrium worksheet,All bases orders and signs are uniquely mapped and equilibrium closes within predeclared tolerance,STAGE-02,safe_acquisition: Use non-production copied fixtures and independently review transformations before adoption; checksum: SHA-256 of executable all fixtures outputs and worksheet
AN-BLK-005,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Error exit and license,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Exit status stdout stderr error files and license signals for valid and negative probes,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Named valid entitlement plus vendor-approved unavailable-license test method,Fixtures AN-PRB-001 through AN-PRB-006 and AN-PRB-011,Per-probe process status logs license artifacts and file deltas,Each failure class is distinguishable and cannot yield authoritative success,STAGE-02,safe_acquisition: Coordinate license-failure tests with administrator and never tamper with license files; checksum: SHA-256 of executable fixtures and retained artifacts
AN-BLK-006,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Staleness overwrite and malformed output,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native run identifier provenance overwrite atomicity stale detection and parser failure behavior,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001 plus repository ingestion service,Named valid entitlement,Genuine output set seeded stale set and controlled corrupt copies,Before-after manifests temp lock backup files and ingestion diagnostics,Only current checksum-bound complete output is selectable and corrupt output fails closed,STAGE-02,safe_acquisition: Work only on copies in isolated directories and preserve originals read-only; checksum: SHA-256 of executable inputs seeds genuine corrupt and final files
AN-BLK-007,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Timeout cancellation concurrency cleanup and recovery,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Process tree behavior locks temp ownership license seats cleanup and crash recovery,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Named entitlement with documented concurrency limits,Two distinct valid fixtures and approved long-running or failure fixture,Per-run process trees file manifests logs locks dumps and post-cleanup state,No mixed output orphan process stale lock or publishable partial result remains,STAGE-02,safe_acquisition: Use administrator-approved non-production machine and vendor-supported termination only; checksum: SHA-256 of executable inputs and all retained artifacts
AN-BLK-008,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Reproducibility,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Deterministic fields allowed metadata variance and repeat-run numeric stability,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Identity fixed by AN-BLK-001,Named valid entitlement,One checksum-fixed representative valid fixture,Complete outputs logs manifests and normalized comparison record,Three runs satisfy predeclared exact-field and numeric-tolerance policy after only approved metadata normalization,STAGE-02,safe_acquisition: Acquire in isolated directories and retain an immutable evidence bundle; checksum: SHA-256 of executable input and each output
AN-BLK-009,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,CSV PDF and mock authority,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Authoritative native result lineage plus producer version full component coverage rounding rules and proof that mock or derived exports cannot bypass source freshness,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Selected external identity plus repository IF3 ingestion and export paths,Named valid entitlement,One checksum-fixed valid run with native output IF3 CSV PDF and mock-negative fixture,Native outputs IF3 resource derived exports diagnostics and source binding record,IF3 binds the fresh native result while CSV PDF and mock data remain derived non-authoritative and omitted or rounded fields are declared,STAGE-02,safe_acquisition: Use authorized native output copies and run exports in an isolated repository project without altering raw artifacts; checksum: SHA-256 of executable input native result IF3 CSV PDF and retained logs
AN-BLK-010,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Load case and combination mapping,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native and repository identifiers case and combination components coefficients ordering result contexts and unsupported behavior,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Selected external identity plus identified repository import adapter,Named valid entitlement,Checksum-fixed one-case fixture and asymmetric two-case one-combination fixture,Native inputs outputs logs IF3 load contexts diagnostics and mapping worksheets,Case mapping is one-to-one and combination is explicitly mapped with coefficients or rejected without flattening,STAGE-02,safe_acquisition: Use copied non-production fixtures preserve native outputs read-only and independently review mappings; checksum: SHA-256 of executable fixtures native outputs imported resources and worksheets
GOLD-BLK-001,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-001 through GOLD-005,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Independent analytical derivations signed conventions checksum manifests per-quantity error bounds and approvals,EXECUTABLE_NOW,NONE,Independent calculation medium and SHA-256 tool,NOT_APPLICABLE,Checksum-fixed models for GOLD-001 through GOLD-005 from examples/verification/beam/*.json and checksum-fixed axial model,One immutable derivation package per case with model derivation workbook signed conventions and expected SHA-256 manifest,Every expected quantity follows from the fixed input with correct units signs ends and predeclared justified tolerance and two independent derivations agree for each expected quantity,STAGE-03,owner: Golden Custodian; acquisition: Derive without invoking Apollo output then perform independent dimensional equilibrium and assumption review; closure: D-005 combined bar
GOLD-BLK-002,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,All numeric Goldens,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-quantity absolute relative zero threshold internal/display precision rounding and unit-conversion justification,EXECUTABLE_NOW,NONE,Independent calculation and comparison specification,NOT_APPLICABLE,Catalog quantity list from golden_case_catalog.csv for all numeric Goldens,Approved tolerance worksheet linked to each catalog quantity with per-quantity absolute relative zero threshold precision rounding and unit-conversion facets,All tolerance facets are nonblank justified dimensionally and frozen before first comparison,STAGE-03,owner: Golden Custodian; acquisition: Establish error budget before comparison and independently review without observing mismatch
GOLD-BLK-003,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-006 and GOLD-010,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fixed reference product module version build checksums native inputs outputs settings conventions mappings and three repeat runs,REQUIRES_EXTERNAL_SOFTWARE,AN-BLK-001,Selected reference software plus checksum and comparison tools,Named valid entitlement,Checksum-fixed native and repository models for GOLD-006 and GOLD-010,Licensed immutable evidence bundle per case with executable input output SHA-256 manifests and three isolated run records,Three runs reproduce under the approved policy and every value is traceable to fixed native output,STAGE-03,owner: Reference Software Owner; acquisition: Follow DS-06 safe machine-probe procedure and retain three isolated run bundles
GOLD-BLK-004,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-011,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Independent parent oracle canonicalization rules checksummed input and expected artifacts and approval decision,REQUIRES_LOCAL_SETUP,NONE,Repository serializer and SHA-256 tool,NOT_APPLICABLE,Checksum-fixed canonical bridge analysis document from independently approved contract fixture,Canonical serialization package with semantic equality specification variable-field exclusions and parent Golden link,Round trip preserves all governed semantics and expected artifact does not originate solely from implementation output,STAGE-03,owner: Contract Owner; acquisition: Generate from independently approved contract fixture and review canonicalization before execution
GOLD-BLK-005,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-007 through GOLD-009,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Approved four five and six main-girder source models with units mappings provenance and licensed reference results,REQUIRES_EXTERNAL_SOFTWARE,AN-BLK-001,Selected reference software model mapping and checksum tools,Named valid entitlement,Lawful non-production four five and six main-girder bridge models,Three complete model/evidence bundles with native and repository representations and three-run licensed reference results,Topology materials supports loads conventions and three-run results are complete and independently approved,STAGE-03,owner: Bridge Model Owner; acquisition: Acquire approved non-production models lawfully then run fixed reference identity per DS-06
GOLD-BLK-006,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-012 through GOLD-014,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Independent negative contracts exact status diagnostics absence rules checksummed fixtures and approval,REQUIRES_LOCAL_SETUP,NONE,Schema validator IF3 gate tests and SHA-256 tool,NOT_APPLICABLE,IF3 staleness export authority and repository schema contracts for GOLD-012 GOLD-013 and GOLD-014,One immutable negative evidence package per case with source and expected rejection artifacts,Named rejection occurs with no authoritative output and cannot be reclassified as a successful Golden,STAGE-03,owner: Contract Owner; acquisition: Derive expected rejection from schema or authority contract before running implementation and review independently
GOLD-BLK-007,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-015,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted DS-02 through DS-05 numeric sources equations factors applicability and an independent design-verification derivation,REQUIRES_PRIMARY_STANDARD_SOURCE,BLK-S1-002;BLK-S1-004;BLK-S1-005;PKG-R7-V;PKG-DS03;PKG-DS04,Licensed standards evidence independent calculation and checksum tools,Authorized access to applicable standards,Checksum-fixed design input and adopted DS-02 through DS-05 source values,Immutable source manifest input derivation expected quantities and verdict with SHA-256,Every numeric and equation traces to adopted source and the fixed case verdict follows independently,STAGE-03,owner: Design Verification Owner; acquisition: Clear all predecessor source blockers then derive without Apollo output and independently review
GOLD-BLK-008,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-016,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Approved parent numeric Golden live IF3 binding complete export schemas internal values display rounding checksums and independent approval,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Approved parent numeric Golden and live IF3 authority,Repository export tools PDF inspection and checksum tools,NOT_APPLICABLE,Checksum-fixed live source and valid IF3 result after approved parent numeric Golden,Immutable source IF3 CSV PDF and lineage manifest with producer versions and SHA-256,No stale or raw bypass all required quantities present and internal versus rounded values are explicitly distinguished,STAGE-03,owner: Export Owner; acquisition: Run only after live-source authority passes then compare internal and displayed quantities against independent format expectations
PAR-BLK-001,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Reference identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed SPACER product STATICS module and historical Analyzer identities versions builds executable/service relationships and checksums,REQUIRES_EXTERNAL_SOFTWARE,NONE,Installed product identity facility and SHA-256 tool,Named valid entitlement,Authorized machine access for DS-06 safe identity procedure,Authorized identity evidence bundle with version outputs installation manifest and SHA-256,Every product module process and relationship is uniquely fixed with checksums,STAGE-04,owner: Reference Software Owner; depends: NONE; numeric_impact: Blocks all actual parity
PAR-BLK-002,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Input and topology semantics,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native input samples schemas field meanings IDs topology releases offsets orientation encoding and Apollo transformation,REQUIRES_EXTERNAL_SOFTWARE,PAR-BLK-001,SPACER input facilities mapping tool and checksum tool,Named valid entitlement,Checksum-fixed minimal and asymmetric native/Apollo model pairs,Mapping specification with field dictionary round-trip proofs bijective identity records and SHA-256 manifests,Bijective identities and round-trip mappings cover every required entity with no ambiguity,STAGE-04,owner: Model Mapping Owner; depends: PAR-BLK-001; numeric_impact: Blocks semantic and numeric parity
PAR-BLK-003,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Coordinates DOF I-J and signs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER global local support bases DOF order I-J and all load action reaction signs,REQUIRES_EXTERNAL_SOFTWARE,PAR-BLK-001;PAR-BLK-002,SPACER STATICS full-result facilities independent calculation and checksum tools,Named valid entitlement,Positive-component asymmetric reversal probe fixtures with declared sign conventions,Probe bundle with transformation matrices permutations sign vectors equilibrium worksheet and SHA-256 manifests,Transformations are predefined invertible and close equilibrium within approved tolerance,STAGE-04,owner: Parity Owner; depends: PAR-BLK-001;PAR-BLK-002; numeric_impact: Blocks signed numeric parity
PAR-BLK-004,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Load cases and combinations,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Native case/combination identities types components coefficients application rules and result contexts,REQUIRES_EXTERNAL_SOFTWARE,PAR-BLK-001;PAR-BLK-002;PAR-BLK-003,SPACER STATICS native output mapping and checksum tools,Named valid entitlement,One-case and asymmetric two-case one-combination native/Apollo models,Native/Apollo evidence bundles with bijective case and combination mapping worksheets and SHA-256 manifests,Cases map one-to-one and combinations retain components coefficients and semantics or are explicitly unsupported,STAGE-04,owner: Load Mapping Owner; depends: PAR-BLK-001;PAR-BLK-002;PAR-BLK-003; numeric_impact: Blocks load and result parity
PAR-BLK-005,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Actual numeric results,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fixed version native internal-precision results and three-run reproducibility for approved parity cases,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-006;PAR-BLK-007,SPACER STATICS Apollo analyzer comparison and checksum tools,Named valid entitlement,Approved Golden and parity models with fixed SPACER identity and closed PAR-BLK-001 through PAR-BLK-004 PAR-BLK-006 PAR-BLK-007 predecessors,Three isolated native run bundles Apollo result bundle source/output checksums and full coverage comparison manifest,All identities components units transformations tolerances and coverage pass without skipped data,STAGE-04,owner: Numeric Parity Owner; depends: PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-006;PAR-BLK-007; numeric_impact: Blocks actual numeric parity
PAR-BLK-006,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Comparison implementation,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fail-closed symmetric comparator coverage and approved tolerance behavior,EXECUTABLE_NOW,NOT_APPLICABLE,Repository test runner and checksum tool,NOT_APPLICABLE,Synthetic negative fixtures for missing extra duplicate malformed empty swapped operands and near-zero cases,PAR-CMPVAL-BUNDLE-v1 versioned non-product comparator validation bundle with corpus manifest and SHA-256,No false PASS for asymmetric missing malformed empty or near-zero data and version is fixed,STAGE-00,owner: Comparison Tool Owner; depends: NONE; numeric_impact: Blocks automated parity claim
PAR-BLK-007,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Materials and stiffness sources,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Adopted DS-02/DS-03 material values units applicability plus native property/formulation mapping,REQUIRES_PRIMARY_STANDARD_SOURCE,PAR-BLK-001;PAR-BLK-002;BLK-S1-002;BLK-S1-005,Authorized standards evidence SPACER STATICS and checksum tools,Authorized standards access plus named SPACER entitlement,Immutable adopted DS-02/DS-03 source manifest rows for mapped materials and sections,Native/Apollo material and section mapping bundle with units formulation applicability proofs and SHA-256 manifests,Every property is sourced and mapped with units formulation and applicability,STAGE-04,owner: Material Owner; register depends: PAR-BLK-001;PAR-BLK-002; source prerequisites: BLK-S1-002;BLK-S1-005; numeric_impact: Blocks material/stiffness/numeric parity
PAR-BLK-008,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv,Report drawing and file parity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Producer versions native internal/display values layouts file schemas encoding newline rounding and permitted samples,REQUIRES_EXTERNAL_SOFTWARE,PAR-BLK-001;PAR-BLK-002;PAR-BLK-006,SPACER report/drawing/file facilities Apollo exports visual and checksum tools,Named valid entitlement,Checksum-fixed native and Apollo report drawing file inputs on fixed identities,Semantic field map with producer versions internal/display values layouts encoding newline rounding exclusions and SHA-256 manifests,Field coverage producer identities precision rounding encoding and exclusions are explicit and approved,STAGE-04,owner: Output Owner; depends: PAR-BLK-001;PAR-BLK-002;PAR-BLK-006; numeric_impact: Blocks report drawing and file parity
