orphan_id,candidate_id_or_source_id,entity_id,description,reason,notes
ORPH-C-001,GEO-005,ENT-LINE-ACL,alignment.station candidate has empty source_record_ids (station not extracted in Phase 2-I).,Candidate with no linkable source record (per source_to_candidate_contract section 4).,adoption_status=HUMAN_CONFIRMATION_REQUIRED; phase3_action=HUMAN_VALIDATION.
ORPH-S-0027,CAL-VAL-P00767-004,,value calc_pdf_p767 section=CAL-SEC-3.4.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0028,CAL-VAL-P00767-005,,value calc_pdf_p767 section=CAL-SEC-3.4.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0029,CAL-VAL-P00770-001,,value calc_pdf_p770 section=CAL-SEC-3.4.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0030,CAL-VAL-P00770-002,,value calc_pdf_p770 section=CAL-SEC-3.4.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0031,CAL-VAL-P00791-001,,value calc_pdf_p791 section=CAL-SEC-3.5.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0032,CAL-VAL-P00791-003,,value calc_pdf_p791 section=CAL-SEC-3.5.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0033,CAL-VAL-P00791-004,,value calc_pdf_p791 section=CAL-SEC-3.5.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0034,CAL-VAL-P00791-007,,value calc_pdf_p791 section=CAL-SEC-3.5.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0035,CAL-VAL-P00819-002,,value calc_pdf_p819 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0036,CAL-VAL-P00819-003,,value calc_pdf_p819 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0037,CAL-VAL-P00819-005,,value calc_pdf_p819 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0038,CAL-VAL-P00820-001,,value calc_pdf_p820 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0039,CAL-VAL-P00820-002,,value calc_pdf_p820 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0040,CAL-VAL-P00821-001,,value calc_pdf_p821 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0041,CAL-VAL-P00821-002,,value calc_pdf_p821 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0042,CAL-VAL-P00821-003,,value calc_pdf_p821 section=CAL-SEC-3.6.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0043,CAL-VAL-P00845-001,,value calc_pdf_p845 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0044,CAL-VAL-P00845-002,,value calc_pdf_p845 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0045,CAL-VAL-P00845-003,,value calc_pdf_p845 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0046,CAL-VAL-P00845-004,,value calc_pdf_p845 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0047,CAL-VAL-P00846-001,,value calc_pdf_p846 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0048,CAL-VAL-P00846-002,,value calc_pdf_p846 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0049,CAL-VAL-P00846-003,,value calc_pdf_p846 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0050,CAL-VAL-P00846-004,,value calc_pdf_p846 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0051,CAL-VAL-P00846-005,,value calc_pdf_p846 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0052,CAL-VAL-P00850-001,,value calc_pdf_p850 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0053,CAL-VAL-P00850-002,,value calc_pdf_p850 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0054,CAL-VAL-P00851-002,,value calc_pdf_p851 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0055,CAL-VAL-P00852-002,,value calc_pdf_p852 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0056,CAL-VAL-P00852-004,,value calc_pdf_p852 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0057,CAL-VAL-P00852-005,,value calc_pdf_p852 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0058,CAL-VAL-P00853-001,,value calc_pdf_p853 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0059,CAL-VAL-P00853-002,,value calc_pdf_p853 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0060,CAL-VAL-P00854-002,,value calc_pdf_p854 section=CAL-SEC-3.7.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0061,CAL-VAL-P00873-001,,value calc_pdf_p873 section=CAL-SEC-4.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0062,CAL-VAL-P00873-002,,value calc_pdf_p873 section=CAL-SEC-4.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0063,CAL-VAL-P00873-003,,value calc_pdf_p873 section=CAL-SEC-4.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0064,CAL-VAL-P00873-004,,value calc_pdf_p873 section=CAL-SEC-4.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0065,CAL-VAL-P00873-005,,value calc_pdf_p873 section=CAL-SEC-4.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0066,CAL-VAL-P00873-006,,value calc_pdf_p873 section=CAL-SEC-4.1.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0067,CAL-VAL-P00876-001,,value calc_pdf_p876 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0068,CAL-VAL-P00876-002,,value calc_pdf_p876 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0069,CAL-VAL-P00876-003,,value calc_pdf_p876 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0070,CAL-VAL-P00876-004,,value calc_pdf_p876 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0071,CAL-VAL-P00876-005,,value calc_pdf_p876 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0072,CAL-VAL-P00876-006,,value calc_pdf_p876 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0073,CAL-VAL-P00882-001,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0074,CAL-VAL-P00882-002,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0075,CAL-VAL-P00882-003,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0076,CAL-VAL-P00882-004,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0077,CAL-VAL-P00882-005,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0078,CAL-VAL-P00882-006,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0079,CAL-VAL-P00882-007,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0080,CAL-VAL-P00882-008,,value calc_pdf_p882 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0081,CAL-VAL-P00893-002,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0082,CAL-VAL-P00893-003,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0083,CAL-VAL-P00893-004,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0084,CAL-VAL-P00893-005,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0085,CAL-VAL-P00893-006,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0086,CAL-VAL-P00893-007,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0087,CAL-VAL-P00893-008,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0088,CAL-VAL-P00893-009,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0089,CAL-VAL-P00893-010,,value calc_pdf_p893 section=CAL-SEC-4.1.2,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0090,CAL-VAL-P01284-001,,value calc_pdf_p1284 section=CAL-SEC-4.2.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0091,CAL-VAL-P01286-001,,value calc_pdf_p1286 section=CAL-SEC-4.2.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0092,CAL-VAL-P01286-002,,value calc_pdf_p1286 section=CAL-SEC-4.2.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0093,CAL-VAL-P01286-003,,value calc_pdf_p1286 section=CAL-SEC-4.2.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0094,CAL-VAL-P01286-004,,value calc_pdf_p1286 section=CAL-SEC-4.2.1,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0095,CAL-VAL-P01319-001,,value calc_pdf_p1319 section=CAL-SEC-4.2.4,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0096,CAL-VAL-P01319-002,,value calc_pdf_p1319 section=CAL-SEC-4.2.4,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0097,CAL-VAL-P01319-003,,value calc_pdf_p1319 section=CAL-SEC-4.2.4,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0098,CAL-VAL-P01319-005,,value calc_pdf_p1319 section=CAL-SEC-4.2.4,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0099,CAL-VAL-P01319-008,,value calc_pdf_p1319 section=CAL-SEC-4.2.4,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0100,CAL-VAL-P01319-009,,value calc_pdf_p1319 section=CAL-SEC-4.2.4,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
ORPH-S-0101,CAL-VAL-P01319-010,,value calc_pdf_p1319 section=CAL-SEC-4.2.4,Source value record not referenced by any candidate source_record_ids; treated as non-candidate-relevant (excluded as derived/aggregated into candidates).,Log only; Phase 3 decides whether any unreferenced value becomes Golden-relevant.
