gap_id,category,jip_id,feature,current_status,gap_classification,priority,phase_owner,notes
GAP-405,bridge,JIP-702,主桁G(直/折れ/円弧),ABSENT,GAP_JIP_MISSING,high,implement,曲線橋主桁
GAP-406,bridge,JIP-605,小標系 TRAN,グローバル,GAP_JIP_PARTIAL,medium,implement,実務帳票で標準
GAP-500,ldist,JIP-800,格点間距離,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-501,ldist,JIP-801,張出し長,IMPLEMENTED,GAP_DONE,low,parity,done
GAP-600,haunch,JIP-900,"type 1,2,6,7,8,9,14",IMPLEMENTED,GAP_DONE,high,parity,mapping済
GAP-601,haunch,JIP-900,"type 3,11,13,15,16,17",ABSENT,GAP_JIP_MISSING,medium,implement,一定/最小2乗/比例/キャンバー円弧/対角線/全入力
GAP-602,haunch,JIP-900,"type 4,5,10,基準桁",NOT_IMPLEMENTED,GAP_JIP_MISSING,medium,implement,基準桁モデル
GAP-603,haunch,JIP-900,type12-WG/W,NOT_IMPLEMENTED,GAP_JIP_MISSING,low,implement,ハンチ用G高さ
GAP-700,hoso,JIP-700,舗装厚,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-701,hoso,JIP-1000,舗装厚最小厚の照査,PARTIAL,GAP_JIP_PARTIAL,medium,implement,照査UI/最小厚
GAP-800,drawing,JIP-1100,平面図,IMPLEMENTED_VERIFIED,GAP_DONE,high,parity,done
GAP-801,drawing,JIP-1101,座標テーブル,IMPLEMENTED_PARTIAL,GAP_JIP_PARTIAL,medium,parity,項目/精度
GAP-802,drawing,JIP-1102,交角描画,NOT_IMPLEMENTED,GAP_JIP_MISSING,medium,implement,
GAP-803,drawing,JIP-1103,ライン間寸法,IMPLEMENTED_PARTIAL,GAP_JIP_PARTIAL,medium,parity,
GAP-804,drawing,JIP-1104,セクション間寸法,IMPLEMENTED_PARTIAL,GAP_JIP_PARTIAL,medium,parity,
GAP-805,drawing,JIP-1100,橋門,IMPLEMENTED_PARTIAL,GAP_JIP_PARTIAL,medium,parity,地面未設定
GAP-806,drawing,JIP-004,バンド,IMPLEMENTED_PARTIAL,GAP_JIP_PARTIAL,medium,parity,
GAP-900,program,JIP-007,APLINE,ABSENT,GAP_JIP_MISSING,medium,phase8,IP線形
GAP-901,program,JIP-006,MDSKOUT,ABSENT,GAP_DESIGN_NEED,medium,phase6,現代化解析出力
GAP-902,program,JIP-010,FOOTING,ABSENT,GAP_DESIGN_NEED,low,phase7,上部工3Dと統合
GAP-903,program,JIP-011,MDVIEWER,ABSENT,GAP_DESIGN_NEED,low,phase7,3D面積
GAP-904,program,JIP-012,GCROSS,ABSENT,GAP_JIP_MISSING,low,phase7,標準断面
GAP-905,program,JIP-1200,単一ファイル運用,RoadDesignDocument,GAP_CURRENT_ONLY,low,parity,維持
GAP-906,program,JIP-1201,バックアップ復元,autosave,GAP_CURRENT_ONLY,low,parity,
GAP-907,program,JIP-1202,確認図,preview,GAP_CURRENT_ONLY,low,parity,
GAP-1000,verification,GAP_JIP,ゴールデン外部突合,解析参照のみ,GAP_VERIFICATION,high,verify,実設計計算例/実JIP出力
GAP-1001,verification,P5ゴールデン,描画ゴールデン自己参照,self_referential,GAP_VERIFICATION,high,verify,外部帳票との突合なし
GAP-1002,verification,Importer,サンプル補間値(interpolated)未置換,interpolated未置換,GAP_VERIFICATION,medium,verify,C1-C17/GE2 を PDF 実値へ置換
