item_id,toc_id,title,software_category,current_liner_relation,road_geometry_relation,bridge_relation,rule_engine_relation,priority,confidence,reason
SM017,T040,住宅地等道路（歩車共存道路等）の構造,ROAD_CLASSIFICATION;BICYCLE,将来機能として接続可能性あり,"道路区分, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM018,T041,地域の状況に応じた渋滞対策（仮）,ROAD_CLASSIFICATION,将来機能として接続可能性あり,道路区分,NO,YES,C,LOW,本文確認後に照査
SM019,T042,山地部等の道路構造,ROAD_CLASSIFICATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,道路区分,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM020,T047,雪寒・寒冷地の道路構造,STRUCTURAL_REQUIREMENT,将来機能として接続可能性あり,構造要求,NO,YES,C,HIGH,本文確認後に照査
SM021,T048,自動車の通行空間の構造,STRUCTURAL_REQUIREMENT,将来機能として接続可能性あり,構造要求,NO,YES,C,HIGH,本文確認後に照査
SM022,T049,歩行者の通行空間の構造,STRUCTURAL_REQUIREMENT,将来機能として接続可能性あり,構造要求,NO,YES,C,HIGH,本文確認後に照査
SM023,T056,第1章 道路の区分と設計速度、設計車両,ROAD_CLASSIFICATION;DESIGN_SPEED,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"道路区分, 設計速度",NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM024,T057,道路区分,ROAD_CLASSIFICATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,道路区分,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM025,T058,道路区分の適用の考え方,ROAD_CLASSIFICATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,道路区分,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM026,T059,道路の区分,ROAD_CLASSIFICATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,道路区分,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM027,T060,道路の種類・種級区分等の関係,ROAD_CLASSIFICATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,道路区分,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM028,T061,計画交通量・設計時間交通量,ADMINISTRATIVE,LINER機能を直接補完（照査・橋梁配置・交差点等）,ADMINISTRATIVE,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM029,T063,計画交通量,ADMINISTRATIVE,LINER機能を直接補完（照査・橋梁配置・交差点等）,ADMINISTRATIVE,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM030,T065,設計時間交通量,ADMINISTRATIVE,LINER機能を直接補完（照査・橋梁配置・交差点等）,ADMINISTRATIVE,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM031,T066,設計速度,DESIGN_SPEED,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,設計速度,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM032,T067,設計速度の意味,DESIGN_SPEED,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,設計速度,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM033,T068,設計速度と走行速度の関係,DESIGN_SPEED,LINER機能を直接補完（照査・橋梁配置・交差点等）,設計速度,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM034,T069,設計速度の値,DESIGN_SPEED,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,設計速度,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM035,T070,設計区間,HORIZONTAL_ALIGNMENT;ADMINISTRATIVE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面線形, ADMINISTRATIVE",PARTIAL,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM036,T071,設計区間設定の基本原則,HORIZONTAL_ALIGNMENT;ADMINISTRATIVE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面線形, ADMINISTRATIVE",PARTIAL,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM037,T072,設計区間変更の場合の注意事項,HORIZONTAL_ALIGNMENT;ADMINISTRATIVE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面線形, ADMINISTRATIVE",PARTIAL,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM038,T073,出入制限,ACCESS_CONTROL,将来機能として接続可能性あり,出入制限,NO,YES,C,HIGH,本文確認後に照査
SM039,T074,出入制限の定義と種類,ACCESS_CONTROL,将来機能として接続可能性あり,出入制限,NO,YES,C,HIGH,本文確認後に照査
SM040,T075,普通道路の出入制限,ACCESS_CONTROL,将来機能として接続可能性あり,出入制限,NO,YES,C,HIGH,本文確認後に照査
SM041,T076,小型道路の出入制限,ACCESS_CONTROL,将来機能として接続可能性あり,出入制限,NO,YES,C,HIGH,本文確認後に照査
SM042,T077,設計車両,STRUCTURAL_REQUIREMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,構造要求,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM043,T078,普通道路の自動車,STRUCTURAL_REQUIREMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,構造要求,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM044,T079,小型道路の自動車,STRUCTURAL_REQUIREMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,構造要求,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM045,T080,設計車両の最大値を超える車両,EXCEPTION_RULE;STRUCTURAL_REQUIREMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,"例外規定, 構造要求",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM046,T081,自転車・歩行者,BICYCLE;SIDEWALK,将来機能として接続可能性あり,"自転車, 歩道",NO,YES,C,HIGH,本文確認後に照査
SM047,T082,第2章 横断面の構成,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM048,T083,概説,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM049,T084,本章の適用範囲,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM050,T085,基本的考え方,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM051,T086,横断面構成要素の組合せ,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM052,T087,車道・車線,LANE_WIDTH;CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"車線幅員, 横断構成",NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM053,T088,車道の構成,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM054,T089,車線数,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM055,T090,車線幅員,LANE_WIDTH,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,車線幅員,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM056,T091,中央帯,MEDIAN,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,中央帯,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM057,T092,中央帯の機能,MEDIAN,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,中央帯,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM058,T093,中央帯の設置,MEDIAN,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,中央帯,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM059,T094,中央帯の構成,MEDIAN,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,中央帯,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM060,T095,中央帯の幅員,MEDIAN,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,中央帯,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM061,T096,中央帯の形式・構造,MEDIAN,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,中央帯,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM062,T097,中央帯開口部,MEDIAN;INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"中央帯, 平面交差",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM063,T098,付加追越車線,CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,横断構成,NO,YES,B,HIGH,本文確認後に照査
SM064,T099,概説,CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,横断構成,NO,YES,B,HIGH,本文確認後に照査
SM065,T100,付加追越車線の設置場所等,CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,横断構成,NO,YES,B,HIGH,本文確認後に照査
SM066,T101,（付加追越車線の構造・仮）,CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,横断構成,NO,YES,B,LOW,本文確認後に照査
SM067,T102,路肩,SHOULDER,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,路肩,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM068,T103,路肩の機能・形式・分類等,SHOULDER,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,路肩,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM069,T104,路肩の幅員,SHOULDER,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,路肩,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM070,T105,路肩の省略・縮小,SHOULDER;EXCEPTION_RULE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"路肩, 例外規定",NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM071,T106,路肩の構造,SHOULDER,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,路肩,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM072,T108,路肩の側帯,SHOULDER,LINER機能を直接補完（照査・橋梁配置・交差点等）,路肩,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM073,T109,保護路肩,SHOULDER,LINER機能を直接補完（照査・橋梁配置・交差点等）,路肩,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM074,T110,停車帯,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM075,T111,停車帯の設置,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM076,T112,停車帯の幅員・構造,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM077,T113,停車帯の運用方法,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM078,T114,自転車通行帯・自転車道・自転車歩行者道・歩道,BICYCLE;SIDEWALK,将来機能として接続可能性あり,"自転車, 歩道",NO,YES,C,HIGH,本文確認後に照査
SM079,T115,概説,BICYCLE;SIDEWALK,将来機能として接続可能性あり,"自転車, 歩道",NO,YES,C,HIGH,本文確認後に照査
SM080,T116,設置の考え方,BICYCLE;SIDEWALK,将来機能として接続可能性あり,"自転車, 歩道",NO,YES,C,HIGH,本文確認後に照査
SM081,T117,幅員,BICYCLE;SIDEWALK,将来機能として接続可能性あり,"自転車, 歩道",NO,YES,C,HIGH,本文確認後に照査
SM082,T118,構造,BICYCLE;SIDEWALK,将来機能として接続可能性あり,"自転車, 歩道",NO,YES,C,HIGH,本文確認後に照査
SM083,T119,歩行者滞留の用に供する部分,SIDEWALK,将来機能として接続可能性あり,歩道,NO,YES,C,HIGH,本文確認後に照査
SM084,T121,歩行者利便増進道路の歩道等,SIDEWALK,将来機能として接続可能性あり,歩道,NO,YES,C,HIGH,本文確認後に照査
SM085,T122,積雪地域にある道路の中央帯等の幅員,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM086,T123,概説,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM087,T124,積雪地域の幅員構成,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM088,T130,副道,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM089,T131,概説,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM090,T132,副道の設置,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM091,T133,副道の構造,CROSS_SECTION,将来機能として接続可能性あり,横断構成,NO,YES,C,HIGH,本文確認後に照査
SM092,T143,建築限界,CLEARANCE,LINER機能を直接補完（照査・橋梁配置・交差点等）,建築限界,YES,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM093,T144,車道部の建築限界,CLEARANCE,LINER機能を直接補完（照査・橋梁配置・交差点等）,建築限界,YES,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM094,T145,歩道・自転車道・自転車歩行者道の建築限界,CLEARANCE;SIDEWALK;BICYCLE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"建築限界, 歩道, 自転車",YES,YES,B,HIGH,本文確認後に照査
SM095,T146,建築限界線の方向,CLEARANCE,LINER機能を直接補完（照査・橋梁配置・交差点等）,建築限界,YES,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM096,T147,第3章 線形・視距,HORIZONTAL_ALIGNMENT;LONGITUDINAL_GRADE;VERTICAL_CURVE;SIGHT_DISTANCE;SUPERELEVATION;WIDENING;CLOTHOID_OR_TRANSITION;CURVE_RADIUS;CROSS_SLOPE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"平面線形, 縦断勾配, 縦断曲線, 視距, 片勾配, 拡幅, 緩和区間・クロソイド, 平面線形の曲率半径, 横断勾配",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM097,T148,概説,HORIZONTAL_ALIGNMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM098,T149,線形設計の原則事項,HORIZONTAL_ALIGNMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM099,T150,平面線形の設計,HORIZONTAL_ALIGNMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM100,T151,縦断線形の設計,LONGITUDINAL_GRADE;VERTICAL_CURVE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"縦断勾配, 縦断曲線",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM101,T152,平面線形と縦断線形の組合せ,HORIZONTAL_ALIGNMENT;LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"平面線形, 縦断勾配",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM102,T153,都市部の道路の線形設計,HORIZONTAL_ALIGNMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面線形,PARTIAL,YES,B,HIGH,本文確認後に照査
SM103,T154,第3種第5級・第4種第4級の道路の線形設計,HORIZONTAL_ALIGNMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面線形,PARTIAL,YES,B,HIGH,本文確認後に照査
SM104,T155,本章の適用（仮）,HORIZONTAL_ALIGNMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面線形,PARTIAL,YES,B,LOW,本文確認後に照査
SM105,T156,車道の屈曲部,HORIZONTAL_ALIGNMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM106,T157,曲線半径,CURVE_RADIUS,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形の曲率半径,NO,YES,A,MEDIUM,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM107,T158,最小曲線半径,CURVE_RADIUS,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形の曲率半径,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM108,T159,最小曲線半径の望ましい値,CURVE_RADIUS,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形の曲率半径,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM109,T160,適用の際の注意,CURVE_RADIUS,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形の曲率半径,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM110,T161,曲線長,HORIZONTAL_ALIGNMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM111,T162,最小曲線長,HORIZONTAL_ALIGNMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM112,T163,適用の際の注意,HORIZONTAL_ALIGNMENT,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,平面線形,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM113,T164,曲線部の片勾配,SUPERELEVATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,片勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM114,T165,曲線部の最大片勾配,SUPERELEVATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,片勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM115,T166,片勾配を打ち切る最小曲線半径,SUPERELEVATION;CURVE_RADIUS,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"片勾配, 平面線形の曲率半径",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM116,T167,曲線半径と片勾配の値,SUPERELEVATION;CURVE_RADIUS,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"片勾配, 平面線形の曲率半径",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM117,T168,適用の際の注意,SUPERELEVATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,片勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM118,T169,曲線部の拡幅,WIDENING,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,拡幅,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM119,T170,曲線部の拡幅,WIDENING,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,拡幅,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM120,T171,曲線部の拡幅量,WIDENING,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,拡幅,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM121,T172,適用の際の注意,WIDENING,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,拡幅,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM122,T173,設計の際の注意,WIDENING,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,拡幅,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM123,T174,緩和区間,CLOTHOID_OR_TRANSITION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,緩和区間・クロソイド,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM124,T175,概説,CLOTHOID_OR_TRANSITION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,緩和区間・クロソイド,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM125,T176,自動車の緩和走行軌跡,CLOTHOID_OR_TRANSITION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,緩和区間・クロソイド,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM126,T177,緩和走行区間,CLOTHOID_OR_TRANSITION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,緩和区間・クロソイド,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM127,T178,緩和曲線の省略,CLOTHOID_OR_TRANSITION;EXCEPTION_RULE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"緩和区間・クロソイド, 例外規定",NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM128,T179,片勾配、拡幅等が変わる場合,SUPERELEVATION;WIDENING,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"片勾配, 拡幅",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM129,T180,片勾配（のすりつけ）,SUPERELEVATION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,片勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM130,T181,拡幅（のすりつけ）,WIDENING,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,拡幅,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM131,T182,車線数が増減する場合,CROSS_SECTION,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断構成,NO,YES,A,MEDIUM,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM132,T183,制動停止視距・追越視距,SIGHT_DISTANCE,LINER機能を直接補完（照査・橋梁配置・交差点等）,視距,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM133,T184,概説,SIGHT_DISTANCE,LINER機能を直接補完（照査・橋梁配置・交差点等）,視距,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM134,T185,視距の計算,SIGHT_DISTANCE,LINER機能を直接補完（照査・橋梁配置・交差点等）,視距,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM135,T186,視距の確保,SIGHT_DISTANCE,LINER機能を直接補完（照査・橋梁配置・交差点等）,視距,NO,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM136,T187,縦断勾配,LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
