case_id,quantity_id,formula_id,formula_expression,theory_source_description,input_parameters,derivation_checksum,derivation_path,approval_status
AG-SS-CL,N2_UY,SS_CENTER_UY,-P*L^3/(48*E*I),Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""P"": ""10/1""}",cb40ed67ed9e9c8630476e6075d3a2c36d225137edb46191a48afc9200116874,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,N3_FY,SS_CENTER_FY_RIGHT,P/2,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""P"": ""10/1""}",5a05d98eac7b9177f743a14d2848c4e99eb51a7e075f8de811909ea61d56703c,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M1_MZ_I,SS_UDL_MZ_ZERO,0,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,{},7d530e1dab91617dd02cc6beabb439f1c0133e515e61ac3d334e796718eb4d3e,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M1_MZ_J,SS_UDL_MZ_MIDSPAN,w*L^2/8,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""L"": ""4/1"", ""w"": ""2/1""}",e3677e9bb6d52510598395cf6308370459f475f7373a36a07a40ff62bceb3a03,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M2_MZ_I,SS_UDL_MZ_MIDSPAN,w*L^2/8,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""L"": ""4/1"", ""w"": ""2/1""}",e368e81d22463df9264cc6b7030cdbc516041783f41747f2998c5673bf692b7d,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M2_MZ_J,SS_UDL_MZ_ZERO,0,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,{},dbc4f9566b7ad77f7884b0876c2704c29d294fa8f9b6c9cf4c2de211bcda0e3a,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,N1_FY,SS_UDL_FY_LEFT,w*L/2,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""L"": ""4/1"", ""w"": ""2/1""}",e23c35809e049aca0a448bb263a2338dca36177b97d8dbf3801d751fc0288c9d,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,N2_UY,SS_UDL_UY,-5*w*L^4/(384*E*I),Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""w"": ""2/1""}",e9c8a8390d897bb97a07255c6227f9caebd6ff47d375e6edc7150260789508f5,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,N3_FY,SS_UDL_FY_RIGHT,w*L/2,Classical Euler-Bernoulli prismatic beam closed-form theory: deflection slope reactions and bending moment under point and distributed loads (package-contained derivation; shear deformation excluded; small-displacement linear elastic idealization).,"{""L"": ""4/1"", ""w"": ""2/1""}",f6bfcfd755663be29a856a5f52d53e9b0d4cc56f78349100523318e4d5a0e27d,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-TORSION,N1_MX,TORSION_MX,-T,Classical Saint-Venant torsion phi=T*L/(G*J) for prismatic section with explicit torsion constant J (package-contained derivation; warping excluded).,"{""T"": ""5/1""}",2a636af584ee5e86a5bad02a0e417511ef6a21edc5fe6bf28bcb1d1307383602,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-TORSION,N2_RX,TORSION_RX,T*L/(G*J),Classical Saint-Venant torsion phi=T*L/(G*J) for prismatic section with explicit torsion constant J (package-contained derivation; warping excluded).,"{""G"": ""1025000000/13"", ""J"": ""1/20000"", ""L"": ""4/1"", ""T"": ""5/1""}",43e71ff886a4ecdaf3bba2b4ff539a30400ca5ed0f4ca6a8c6cb4d9d4ba8de0c,generator,TOOLING_REVIEWED_NOT_GOLD_APPROVED
