asset_id,title,document_type,priority,reason,x1_reading_required
DOC-X0-0137,SPACER 操作マニュアル,SOFTWARE_MANUAL,P1,SPACER操作マニュアル。,YES
DOC-X0-0146,鋼鈑桁橋_図面例,BRIDGE_DRAWING,P1,鋼鈑桁橋の図面例（143頁）。,YES
DOC-X0-0147,鋼鈑桁橋_設計計算例,BRIDGE_CALCULATION,P1,鋼鈑桁橋の設計計算例（2226頁）。上部工計算の参照。,YES
DOC-X0-0002,README.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0003,final_report.txt,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0004,file_mapping.csv,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0005,integration_plan.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0006,source_manifest.csv,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0007,01_repository_curved_capability_inventory.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0008,02_required_source_categories.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0009,03_design_standard_requirements.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0010,04_alignment_geometry_requirements.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0011,05_structural_model_requirements.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0012,06_analysis_theory_requirements.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0013,07_load_support_requirements.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0014,08_design_check_requirements.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0015,09_calculation_example_requirements.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0016,10_existing_source_inventory.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0017,11_missing_source_register.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0018,12_user_search_guide.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0019,13_scope_progression_by_source_availability.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0020,14_phase0_handoff.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0021,README.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0022,completion_report.md,RESEARCH_OUTPUT,P2,Scope_of_Work（曲線橋含むソース調査）の成果物。,NO
DOC-X0-0023,README.md,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0024,evidence_register.csv,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0025,final_report.txt,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0026,integration-preflight-report.md,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0027,open_questions.md,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0028,r1-p00_final_report.txt,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0029,r1-p01_final_report.txt,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0030,r1-p02_final_report.txt,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0031,source_manifest.csv,RESEARCH_OUTPUT,P2,LINER R1関連の調査成果物（final_report/source_manifest等）。,NO
DOC-X0-0060,デザインデータブック（2021）,REFERENCE,P2,設計データブック。テキスト層なし(OCR必須)。,NO
DOC-X0-0071,APOLLO マニュアル Grider_I_00,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0072,APOLLO マニュアル Grider_I_01,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0073,APOLLO マニュアル Grider_I_02,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0074,APOLLO マニュアル Grider_I_03,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0075,APOLLO マニュアル Grider_I_04,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0076,APOLLO マニュアル Grider_I_05,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0077,APOLLO マニュアル Grider_I_06,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0078,APOLLO マニュアル Grider_I_07,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0079,APOLLO マニュアル Grider_I_08,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0080,APOLLO マニュアル Grider_I_09,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0081,APOLLO マニュアル Grider_I_10,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0082,APOLLO マニュアル Grider_I_11,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0083,APOLLO マニュアル Grider_I_12,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0084,APOLLO マニュアル Grider_I_13,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0085,APOLLO マニュアル CompGrd_I_00,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0086,APOLLO マニュアル CompGrd_I_01,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0087,APOLLO マニュアル CompGrd_I_02,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0088,APOLLO マニュアル CompGrd_I_03,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0089,APOLLO マニュアル CompGrd_I_04,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0090,APOLLO マニュアル CompGrd_I_05,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0092,APOLLO マニュアル Girder_Box_00,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0093,APOLLO マニュアル Girder_Box_01,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0094,APOLLO マニュアル Girder_Box_02,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0095,APOLLO マニュアル Girder_Box_03,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0096,APOLLO マニュアル Girder_Box_04,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0097,APOLLO マニュアル Girder_Box_05,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0098,APOLLO マニュアル Girder_Box_06,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0099,APOLLO マニュアル Girder_Box_07,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0100,APOLLO マニュアル Girder_Box_08,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0101,APOLLO マニュアル Girder_Box_09,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0102,APOLLO マニュアル Girder_Box_10,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0103,APOLLO マニュアル Girder_Box_11,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0104,APOLLO マニュアル Girder_Box_12,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0105,APOLLO マニュアル Girder_Box_13,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0106,APOLLO マニュアル Girder_Box_14,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0107,APOLLO マニュアル Girder_Box_15,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0108,APOLLO マニュアル Girder_Box_16,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0109,APOLLO マニュアル CompGrd_Box_01,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0110,APOLLO マニュアル CompGrd_OpenBox_01,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0111,APOLLO マニュアル StDeck_I_00,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0112,APOLLO マニュアル StDeck_I_01,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0113,APOLLO マニュアル StDeck_I_02,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0114,APOLLO マニュアル StDeck_I_03,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0115,APOLLO マニュアル StDeck_I_04,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0116,APOLLO マニュアル StDeck_I_05,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0117,APOLLO マニュアル StDeck_I_06,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0118,APOLLO マニュアル StDeck_I_07,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0119,APOLLO マニュアル StDeck_I_08,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0120,APOLLO マニュアル StDeck_I_09,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0121,APOLLO マニュアル StDeck_I_10,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0122,APOLLO マニュアル StDeck_Box_00,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0123,APOLLO マニュアル StDeck_Box_01,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0124,APOLLO マニュアル StDeck_Box_02,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0125,APOLLO マニュアル StDeck_Box_03,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0126,APOLLO マニュアル StDeck_Box_04,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0127,APOLLO マニュアル StDeck_Box_05,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0128,APOLLO マニュアル StDeck_Box_06,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0129,APOLLO マニュアル StDeck_Box_07,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0130,APOLLO マニュアル マニュアル(ＰＣ床版の設計),SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0131,APOLLO マニュアル マニュアル(断面計算),SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0132,APOLLO マニュアル マニュアル(鋼橋の断面計算),SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0133,APOLLO マニュアル マニュアル(添接計算),SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0134,APOLLO マニュアル マニュアル(鋼床版の設計),SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0135,APOLLO マニュアル 鋼床版の解析方法概要と解析結果の比較,SOFTWARE_MANUAL,P2,APOLLOの橋種別/単体アプリ別マニュアル。権利不明のため参照専用。,NO
DOC-X0-0138,README.md,RESEARCH_OUTPUT,P2,下部工計画ラボの成果物。,NO
DOC-X0-0139,coordinate_system.md,RESEARCH_OUTPUT,P2,下部工計画ラボの成果物。,NO
DOC-X0-0140,data_model.md,RESEARCH_OUTPUT,P2,下部工計画ラボの成果物。,NO
DOC-X0-0141,final_report.txt,RESEARCH_OUTPUT,P2,下部工計画ラボの成果物。,NO
DOC-X0-0142,integration_closeout_report.md,RESEARCH_OUTPUT,P2,下部工計画ラボの成果物。,NO
DOC-X0-0001,Apollo UIデザイン修正指示内容,REFERENCE,P3,Apollo UIデザイン指示（ODP）。,NO
