capability_id,name,classification,owner_module,source_refs,inputs,outputs,tests,limitations,apollo_reuse_potential
CAP-IF3-001,FrameAnalysisResultResource contract (IF3-A),EXISTING_FULL,frontend/contracts + backend if3_normalizer,docs/road/phase6/if3/if3_result_output_contract_design.md,Solver raw result + if3 metadata,IF3 resource dict,backend/tests/test_if3_normalizer.py; frontend if3ResultGate.test.ts,Requires complete source binding metadata,HIGH — Apollo result contract base
CAP-IF3-002,IF3 staleness and availability (IF3-B/C),EXISTING_FULL,backend if3_staleness + frontend if3ResultGate,docs/road/phase6/if3/if3_result_lifecycle_and_staleness.md,IF3 resource + frame checksum,availability state,backend/tests/test_if3_availability.py; test_if3_persistence.py,Persistence needs frameDocumentPath in if3 payload,MEDIUM-HIGH
CAP-IF3-003,IF3 consumer gates Report/Viewer/DRAFT (IF3-D),EXISTING_PARTIAL,frontend results + exports + draft,docs/road/phase6/if3/if3_consumer_contracts.md,IF3 resource + project context,gate state + DTO,frontend if3ExportGate.test.ts; if3DraftEligibility.test.ts; if3ResultViewModel.test.ts,Client runAnalysis omits binding metadata — authoritative export blocked in UI,HIGH after binding fix
CAP-IF3-004,IF3 legacy compatibility classifier (IF3-E),EXISTING_FULL,frontend if3LegacyCompatibility + backend if3_legacy_compatibility,docs/road/phase6/if3/if3_implementation_plan.md,Raw AnalysisResult,READ_OLD_WRITE_TARGET classification,backend/tests/test_if3_legacy_compatibility.py; frontend if3LegacyCompatibility.test.ts,Does not invent provenance,HIGH
CAP-IF3-005,IF3 binding metadata from runAnalysis client,NOT_PRESENT,frontend/api/client.ts,backend/app/main.py extract_if3_metadata; docs/road/phase6/if3/if3_implementation_plan.md,BFAD identity + checksum + load context,none in request,backend/tests/test_if3_api.py (server-side only with if3 payload),runAnalysis sends only project+options — MISSING_SOURCE_BINDING in normalizer,HIGH — required for authoritative UI path
CAP-OUT-001,CSV export (displacements/reactions/forces),EXISTING_PARTIAL,frontend/exports/resultCsvExport.ts,docs/frame/output/10_report_spec.md,AnalysisResult or IF3-gated,CSV files,frontend/exports/resultCsvExport.test.ts,Legacy path bypasses IF3; App uses if3ExportGate for authoritative,MEDIUM
CAP-OUT-002,PDF report export,EXISTING_PARTIAL,frontend/exports/resultPdfReport.ts,docs/frame/output/report-drawing-output.md,IF3-gated inputs,PDF HTML/print,frontend/exports/resultPdfReport.test.ts,OD8-04 blocks visual release claim; IF3 gate required,MEDIUM
CAP-OUT-003,JSON result export,EXISTING_PARTIAL,frontend/exports/if3ExportGate.ts; App.tsx,docs/road/phase6/if3/if3_result_output_contract_design.md,IF3 resource or raw AnalysisResult,result.json,frontend/exports/if3ExportGate.test.ts,Fallback downloads raw result without IF3 authorization,MEDIUM
CAP-OUT-004,Backend reports IF3 authoritative gate,EXISTING_PARTIAL,backend/app/reports.py,docs/road/phase6/if3/if3_consumer_contracts.md,IF3 resource dict,ResultExports or block,backend/tests/test_reports_if3_gate.py,Blocks raw AnalysisResult as authoritative input,HIGH
CAP-OUT-005,IF3 PRINT catalog and DTO (PR-40),EXISTING_PARTIAL,frontend/exports/if3PrintCatalog.ts; if3PrintDto.ts,docs/road/phase6/d04/p6_d04_print_design.md,IF3 resource,If3PrintDto,frontend/exports/if3PrintCatalog.test.ts,CATALOG completeness open; CONDITIONAL_GO not final release,MEDIUM-HIGH
CAP-OUT-006,Formal Frame DRAFT / DXF (PR-41),NOT_PRESENT,frontend/draft/if3DraftEligibility.ts,docs/road/phase6/d05/p6_d05_frame_draft_design.md,BFAD + IF3 result,sheet eligibility only,frontend/draft/if3DraftEligibility.test.ts,SP1 neutral path unverified — NOGO,LOW until SP1 resolved
CAP-OUT-007,PRINT physical rendering layer,INFRASTRUCTURE_ONLY,docs/road/phase6/d04,docs/road/phase6/if3/if3_consumer_contracts.md PRINT section,Report/DRAFT DTO,physical PDF/layout,phase6_test_strategy.md,PRINT does not own validity; OD8-04 blocks visual baseline,MEDIUM
CAP-RDD-001,Road alignment/station/profile editing,EXISTING_FULL,frontend/liner + docs/road/ui,docs/road/ui/ui_station_profile_input.md,LINER domain draft,Road geometry state,frontend e2e p1-d05; liner tests,Not full multi-alignment production parity in all paths,MEDIUM-HIGH
CAP-RDD-002,Road LDIST/HAUNCH/HOSO calculations,EXISTING_PARTIAL,frontend/liner,docs/road/phase4/,LINER inputs,calculation results,frontend e2e p4-d02 p4-d03 p4-d04,Phase 4 scope; not all edge cases,HIGH for road geometry pipeline
CAP-RDD-003,Road formal drawing and DXF export,EXISTING_PARTIAL,frontend/liner/drawing,docs/road/output/dxf_export_design.md,RoadDesignDocument or draft,DXF/drawing,frontend e2e phase5-step3-dxf-export; formalDrawingFixtureManifest,OD8-04 blocks final visual release,MEDIUM-HIGH
CAP-RDD-004,RoadDesignDocument schema and repository,INFRASTRUCTURE_ONLY,frontend/contracts + schemas,schemas/contracts/v0.1/road-design-document.schema.json; target_data_model.md,RDD JSON,document validation,repositoryConformance.test.ts; e2e p3-f03,Operational LINER draft != always persisted RDD,MEDIUM-HIGH
CAP-XFR-001,Road-to-Frame target contract (normative docs),INFRASTRUCTURE_ONLY,docs/planning + docs/transfer,docs/planning/stage6-10/road_to_frame_contract.md; docs/transfer/contract-index.md,design inputs,contract spec,stage8_verification_plan.md (planned),No product apply workflow,MEDIUM — design reference
CAP-XFR-002,RoadToFrameTransferPackage schema v0.1,INFRASTRUCTURE_ONLY,schemas + frontend/contracts,schemas/contracts/v0.1/road-to-frame-transfer-package.schema.json,package JSON,validation result,migrationFramework.test.ts; repository tests,Semantic apply gates not implemented,LOW until OD6-01/02 resolved
CAP-XFR-003,TransferRecord schema and repository,INFRASTRUCTURE_ONLY,frontend/contracts,schemas/contracts/v0.1/transfer-record.schema.json,transfer events,append-only record,repositoryConformance.test.ts,No live transfer history in app,LOW
CAP-XFR-004,BridgeFrameAnalysisDocument schema and repository,INFRASTRUCTURE_ONLY,frontend/contracts + backend store,schemas/contracts/v0.1/bridge-frame-analysis-document.schema.json,BFAD JSON,document validation,test_contract_document_store.py; repository tests,UI uses ProjectModel not BFAD as SoR,HIGH — target Frame SoR
CAP-XFR-005,Road-to-Frame import/apply lifecycle,NOT_PRESENT,planned Stage 10 P3,docs/planning/stage6-10/stage10_gap_migration_sequence.md,transfer package,frame mutations,stage8 T8-01..T8-13 planned,OD6-01 coordinate; OD6-02 stable IDs,LOW
CAP-SCH-001,Target contract schema registry v0.1,INFRASTRUCTURE_ONLY,schemas/contracts/v0.1,docs/planning/stage6-10/target_data_model.md,JSON artifacts,schema validation,repository + migration tests,Runtime semantic validation separate from JSON Schema,MEDIUM-HIGH
CAP-SCH-002,Contract migration framework,INFRASTRUCTURE_ONLY,frontend/contracts/migration,docs/planning/stage6-10/compatibility_matrix.md,legacy/target payloads,migration report,migrationFramework.test.ts; migrationIntegration.test.ts,Not wired to all legacy loaders,MEDIUM-HIGH
CAP-SCH-003,Legacy project.schema.json operational persistence,LEGACY_ONLY,schemas/project.schema.json,docs/road/legacy-integration/project_file_format.md,project.json,ProjectModel,test_project_schema.py,Superseded by target docs for long-term,MEDIUM — compatibility required
CAP-SCH-004,Liner project schema migration helpers,EXISTING_PARTIAL,frontend/liner/schema,docs/road/legacy-integration/schema_migration_policy.md,liner-extended project, migrated project,projectLinerMigration tests,meta on frame entities under review,MEDIUM
CAP-VER-001,Frame verification framework,EXISTING_PARTIAL,backend/tests + docs/frame/verification,docs/frame/verification/verification-framework.md,sample models,verification reports,test_verification_framework.py; test_regression_verification.py,Not full Stage 8 G3/G4 gates,HIGH
CAP-VER-002,BridgeDefinition semantic parity suite,EXISTING_PARTIAL,frontend/bridgeDefinition,docs/history/road/phase4.5/step8_semantic_parity_spec.md,fixture projects,parity diffs,semanticParityFixtures; goldenFixture.test.ts,Parity != APOLLO Analyzer parity, MEDIUM
CAP-VER-003,Controlled visual baseline (OD8-04),NOT_PRESENT,governance only,docs/planning/stage6-10/open_decisions.md OD8-04,rendered outputs,visual diff evidence,phase6_test_strategy.md manual only,OPEN — blocks G6 visual release,LOW until environment defined
CAP-EXT-001,Analyzer physical input/output format,UNKNOWN,handoff analysis-input,ISS-S1-007; analysis-input/input_output_candidates.csv IO-CAND-0003/0004,APOLLO Analyzer files,unknown binary/DB,none in repo,Physical format not in manuals,NOT_REUSABLE without APOLLO实机 evidence
CAP-EXT-002,Target Standard numeric authority,NOT_PRESENT,Step 1 P02 governance,docs/apollo/step1/02_standards_baseline/target_standard_decision.md,standards PDFs (external),numeric constants,standards_applicability_matrix.csv,NOT_SELECTED — no numeric freeze,N/A for capability inventory
CAP-EXT-003,JIS primary material properties,UNKNOWN,handoff standards,jis_source_gaps.csv (34 gaps),JIS product specs,material tables,none bundled,HOLD — blocks material numeric adoption,LOW until JIS acquired
CAP-ENG-001,EngineeringProject manifest container,INFRASTRUCTURE_ONLY,schemas/contracts/v0.1/engineering-project.schema.json,target_data_model.md EngineeringProject,refs to RDD/BFAD/TR,manifest JSON,repository tests,Not product entry point,LOW
CAP-ENG-002,CoordinateContext / UnitContext contracts,INFRASTRUCTURE_ONLY,schemas/contracts/v0.1,road_to_frame_contract.md coordinate sections,context objects,validation,contract runtime tests,OD6-01 blocks legacy coordinate authority,MEDIUM
