trace_id,source,chapter_or_page,source_function,phase1_target,planned_module,status,numeric_authority,notes
MT-064,Grider_I_06,第6章,構造解析・断面力変換,IF3解析実行と結果割当,既存AP-11/AP-DX-09,PARTIAL,NOT_APPLICABLE,"既存内部solver/IF3を再利用"
MT-070,Grider_I_07,第7章,断面変化位置,主桁断面セグメント,AP-DX-03,PLANNED,NOT_APPLICABLE,"位置編集を正式照査より先行"
MT-071,Grider_I_07,第7章,断面計算・断面推定,主桁照査と候補比較,AP-DX-10/AP-DX-11,PLANNED,NOT_AUTHORIZED,"推定と正式判定を区別"
MT-072,Grider_I_07,第7章,断面チェック・計算書,check result/report,AP-DX-11/AP-DX-20,PLANNED,NOT_AUTHORIZED,"入力・中間値・判定根拠を保存"
MT-080,Grider_I_08,第8章,フランジ・腹板ボルト配置,Splice geometry,AP-DX-07,PLANNED,NOT_AUTHORIZED,"配置成立性を先に検証"
MT-081,Grider_I_08,第8章,添接計算,Splice check,AP-DX-15,PLANNED,NOT_AUTHORIZED,"ボルト・摩擦・母材条件の採択が必要"
MT-082,Grider_I_08,第8章,詳細計算書,Splice report chapter,AP-DX-20,PLANNED,NOT_AUTHORIZED,"正式照査が許可された項目のみ出力"
MT-090,Grider_I_09,第9章,たわみ・剛比,displacement/stiffness ratio,AP-DX-17,PLANNED,NOT_AUTHORIZED,"許容値の採択が必要"
MT-091,Grider_I_09,第9章,キャンバー集計・DXF,camber series/drawing,AP-DX-17/AP-DX-19,PLANNED,NOT_AUTHORIZED,"Drawing Semantic Modelへ出力"
MT-100,Grider_I_10,第10章,横桁断面力,床組作用力割当,AP-DX-09/AP-DX-13,PLANNED,NOT_AUTHORIZED,"主桁解析結果との関係を明示"
MT-101,Grider_I_10,第10章,横桁断面・添接・補剛材,床組設計,AP-DX-13,PLANNED,NOT_AUTHORIZED,"断面・連結・補剛材を分割"
MT-102,Grider_I_10,第10章,対傾構・横構・斜材,bracing system,AP-DX-05/AP-DX-13,PLANNED,NOT_AUTHORIZED,"配置・有効長・溶接方向を構造化"
MT-103,Grider_I_10,第10章,横構配置図,bracing drawing,AP-DX-19,PLANNED,NOT_APPLICABLE,"3Dと図面を共通IDで追跡"
MT-110,Grider_I_11,第11章,支点上補剛材,Bearing stiffener,AP-DX-06/AP-DX-14,PLANNED,NOT_AUTHORIZED,"支点反力・溶接条件が必要"
MT-111,Grider_I_11,第11章,中間補剛材,Intermediate stiffener,AP-DX-06/AP-DX-14,PLANNED,NOT_AUTHORIZED,"パネル寸法・せん断力と連携"
MT-112,Grider_I_11,第11章,水平補剛材ラップ,Horizontal stiffener lap,AP-DX-14,PLANNED,NOT_AUTHORIZED,"照査方式の採択が必要"
MT-120,Grider_I_12,第12章,概算鋼重,SteelWeightModel,AP-DX-16,PLANNED,NOT_AUTHORIZED,"割増係数は根拠なしで既定化しない"
MT-121,Grider_I_12,第12章,実鋼重の解析反映,reanalysis loop,AP-DX-16,PLANNED,NOT_AUTHORIZED,"差分と再解析要求を保存"
MT-130,Grider_I_13,第13章,疲労用荷重・解析,Fatigue analysis input,AP-DX-18,PLANNED,NOT_AUTHORIZED,"疲労荷重と交通量の採択が必要"
MT-131,Grider_I_13,第13章,主桁疲労照査,Main girder fatigue,AP-DX-18,PLANNED,NOT_AUTHORIZED,"detail categoryと応力範囲抽出が必要"
MT-132,Grider_I_13,第13章,横桁疲労照査,Cross beam fatigue,AP-DX-18,PLANNED,NOT_AUTHORIZED,"Phase 1後半の独立ゲート"
MT-140,JIP-SPACER操作マニュアル,解析データ作成・描画・帳票,Frame解析・結果・図形の参考,既存Frame/AP-DX-08/AP-DX-09,既存Frame/AP-DX-08/AP-DX-09,REFERENCE_ONLY,NOT_APPLICABLE,"SPACER互換を要求しない。入力・結果構造の参考"
MT-150,JIP-LINERマニュアル,線形・ハンチ・図面,道路線形・高さ・ハンチの参考,既存Road/AP-DX-04,既存Road/AP-DX-04,REFERENCE_ONLY,NOT_APPLICABLE,"既存Road機能を再利用しApollo側で重複しない"
