missing_id,priority,category,required_topic,why_needed,current_evidence,missing_detail,blocks_phase,recommended_source_type,search_keywords_ja,search_keywords_en,publisher_candidate,bookstore_candidate,library_candidate,company_archive_candidate,vendor_candidate,status,user_action,notes
MS-P1-03,P1,Sign Convention,断面力の符号規約（立体骨組）,Consistent sign convention for 6 force components,Partial sign convention in frame contracts,Full 3D frame sign convention document needed,analysis consistency,LIBRARY_SEARCH_CANDIDATE,断面力 符号規約 立体骨組 部材座標,section force sign convention space frame,土木学会;日本建築学会,,土木学会図書館;日本建築学会図書館,,,SEARCHING,"Search for sign convention standards in Japanese bridge engineering","Member local axis convention needed for 6 component output"
MS-P1-04,P1,Design Check,疲労設計のための曲線橋詳細,Fatigue details specific to curved bridges,No curved bridge fatigue details,Fatigue design details for curved bridge connections,design check,LIBRARY_SEARCH_CANDIDATE,疲労 曲線橋 鋼橋 詳細,fatigue curved bridge steel bridge detail,土木学会;日本道路協会,,土木学会図書館;日本道路協会図書館,,,MISSING,"Search for fatigue design details for curved steel girder bridges","Focus on diaphragm/web connection details"
MS-P1-05,P1,Load Definition,温度荷重の算定と分布,Temperature effects on curved bridges,No temperature load implementation for curved bridges,Temperature load distribution unique to curved alignment,analysis,LIBRARY_SEARCH_CANDIDATE,温度荷重 曲線橋 鋼橋,temperature load curved bridge steel bridge,日本道路協会,,日本道路協会図書館,,,MISSING,"Check 道路橋示方書 for temperature load provisions","Temperature gradients differ on curved sections"
MS-P1-06,P1,Design Workflow,曲線橋の設計フローおよび設計手順書,Design workflow sequence for curved bridges differs from straight,No design workflow documentation for curved bridges,Complete design workflow from alignment to drawing not documented,design methodology,COMPANY_ARCHIVE_CANDIDATE,曲線橋 設計フロー 設計手順 鋼橋,curved bridge design workflow procedure,,,社内設計マニュアル,,,MISSING,"Search company design standards for curved bridge workflow","Documents the order of design checks specific to curved bridges"
MS-P2-01,P2,Drawing Template,曲線橋の図面テンプレート,Drawing templates for curved bridges,No curved bridge drawing templates,Curved bridge general arrangement and shop drawing templates needed,drawing,COMPANY_ARCHIVE_CANDIDATE,曲線橋 一般図 製作図,curved bridge general drawing shop drawing,,,社内図面テンプレート,,,MISSING,"Search company archives for past curved bridge drawing templates","DWG/DXF templates for curved bridge plans and elevations"
MS-P2-02,P2,Report Template,曲線橋の計算書テンプレート,Report templates for curved bridges,No curved bridge report templates,Calculation report templates specific to curved bridges,report,COMPANY_ARCHIVE_CANDIDATE,計算書 曲線橋 鋼橋,calculation report curved bridge steel bridge,,,社内計算書テンプレート,,,MISSING,"Search company report templates for curved bridge examples","Report structure for curved vs straight differs significantly"
MS-P2-03,P2,Design Standard,NEXCO設計基準（曲線橋編）,Highway design standards for curved bridges,No NEXCO standards in repository,NEXCO expressway specific curved bridge standards,design check,PURCHASE_CANDIDATE,NEXCO 設計基準 曲線橋,NEXCO design standard curved bridge,NEXCO,,NEXCO図書館;国土交通省図書館,,,MISSING,"Purchase NEXCO design standards (curved bridge volume)","May require NEXCO membership or approval"
MS-P2-04,P2,Quantity Takeoff,曲線橋の数量算出要領,Quantity takeoff rules differ for curved bridges,No curved bridge quantity calculation rules,Quantity takeoff for curved girders not defined,report,COMPANY_ARCHIVE_CANDIDATE,曲線橋 数量算出 鋼橋 数量計算,curved bridge quantity takeoff steel bridge,,,社内積算基準,,,MISSING,"Search company quantity takeoff standards for curved bridges","Curved girder length vs chord length adjustments needed"
MS-P3-01,P3,Seismic Design,曲線橋の耐震設計,Seismic design for curved bridges,No curved bridge seismic design implementation,Seismic response of curved bridges not addressed,future expansion,LIBRARY_SEARCH_CANDIDATE,曲線橋 耐震 設計 地震応答,curved bridge seismic design earthquake response,土木学会;日本道路協会,,土木学会図書館;国立国会図書館,,,DEFERRED,Deferred to post-MVP phase,"Seismic design for curved bridges is a specialized topic"
MS-P3-02,P3,Fabrication,曲線橋の施工・製作基準,Fabrication and construction standards for curved bridges,No curved bridge fabrication standards,Curved girder fabrication (bending, welding) standards not in repository,future expansion,LIBRARY_SEARCH_CANDIDATE,曲線橋 製作 溶接 曲げ加工,curved bridge fabrication welding bending,日本橋梁建設協会;日本溶接協会,,日本橋梁建設協会図書館;日本溶接協会図書館,,,DEFERRED,Deferred to post-MVP phase,"Fabrication standards needed for shop drawing output"
