requirement_id,requirement,source,design_document,register_row,implementation_ap,validation_method,golden_case,parity_case,status,blocker
RTM-019,Analyzer load-context mapping,DS-06,06_analyzer/analyzer_physical_io_spec.md,AN-PRB-019 through AN-PRB-020,Combination flattening forbidden,Mapping and unsupported-path review,GOLD-010,PAR-006;PAR-007,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-010
RTM-020,Golden type and purpose governance,DS-07,07_golden/golden_governance.md,GOLD-001 through GOLD-016,Numeric Golden guard remains enabled,Type/purpose/approval status validation,GOLD-001 through GOLD-016,NOT_APPLICABLE,COMPLETE,
RTM-021,Analytical Golden independence,DS-07,07_golden/analytical_golden_spec.md,GOLD-001 through GOLD-005,No numeric release,Two-derivation and checksum gate review,GOLD-001 through GOLD-005,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,GOLD-BLK-001
RTM-022,Golden tolerance policy,DS-07,07_golden/tolerance_policy.md,GOLD-BLK-002 and all catalog rows,No adopted tolerance implementation,Per-case field and blocker FK validation,GOLD-001 through GOLD-016,PAR-008 through PAR-012,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,GOLD-BLK-002
RTM-023,Reference and regression Golden approval,DS-07,07_golden/reference_software_golden_spec.md;07_golden/approved_regression_golden_spec.md,GOLD-BLK-003 through GOLD-BLK-008,No expected-value promotion,Approval 1-to-1 and reproducibility review,GOLD-006 through GOLD-016,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008
RTM-024,SPACER parity classification and scope,DS-08,08_spacer_parity/spacer_parity_scope.md,PAR-001 through PAR-015,No SPACER parity claim,Type coverage and status validation,NOT_APPLICABLE,PAR-001 through PAR-015,COMPLETE,
RTM-025,SPACER semantic parity mapping,DS-08,08_spacer_parity/semantic_parity_spec.md,PAR-001 through PAR-007,Existing comparator is reference-only,Symmetric set/mapping and blocker review,GOLD-006 through GOLD-010,PAR-001 through PAR-007,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-007
RTM-026,SPACER numeric comparison rule,DS-08,08_spacer_parity/numeric_parity_spec.md,PAR-008 through PAR-012,Non-product harness only,Algorithm/coverage/tolerance field validation,GOLD-001 through GOLD-010,PAR-008 through PAR-012,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PAR-BLK-005;PAR-BLK-006
RTM-027,SPACER sign coordinate and member-end mapping,DS-08,08_spacer_parity/sign_coordinate_member_end_conventions.md,PAR-009 through PAR-012,Viewer swap excluded,Matrix/permutation/sign/equilibrium review,GOLD-004;GOLD-005,PAR-009 through PAR-012,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PAR-BLK-003
RTM-028,SPACER report drawing and file parity,DS-08,08_spacer_parity/spacer_parity_scope.md,PAR-013 through PAR-015,Output parity does not imply numeric parity,Algorithm/dependency/exclusion validation,GOLD-016,PAR-013 through PAR-015,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,PAR-BLK-008
RTM-029,Final document completion and release separation,DS-09,09_verification/numeric_release_gate.md,All unresolved blocker rows,AP numeric implementation remains blocked,Full document and repository validation,GOLD-001 through GOLD-016,PAR-001 through PAR-015,COMPLETE,
RTM-030,Numeric release readiness,DS-09,09_verification/numeric_release_gate.md,All unresolved blocker rows,No numeric implementation authorized,All-gate conjunction and full validation,GOLD-001 through GOLD-016,PAR-001 through PAR-015,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLK-S1-001;BLK-S1-002;BLK-S1-004;BLK-S1-005;BLK-S1-011;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-DS06;PKG-SCOPE-P1B;AN-BLK-001;GOLD-BLK-001;PAR-BLK-005
