blocker_id,affected_stage,affected_area,missing_evidence,exact_required_artifact,acquisition_method,required_tool,required_license,acceptance_criteria,numeric_implementation_impact,owner,status,ea_enablement_reference,ea_status_note
AN-BLK-003,DS-06,Units and representation,Input-unit binding conversion encoding locale decimal exponent and precision,Dimensioned repository and native locale probe bundle,Run fixed dimensioned probes in supported locales,Repository API selected analyzer and checksum tool,Named valid entitlement for external runs,Every quantity has verified unit conversion and deterministic representation,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-004,DS-06,Coordinates DOF I-J and signs,External bases ordering end mapping and all action/reaction signs,Positive-component asymmetric reversal bundle with transformations and equilibrium,Run DS-06 sign and coordinate probe suite,Selected analyzer independent calculation and checksum tools,Named valid entitlement,Mapping is unique invertible and closes equilibrium within predeclared tolerance,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-005,DS-06,Error exit and license,Valid and negative process status logs error and license signatures,Complete valid missing malformed unsupported and license-failure bundle,Run vendor-approved negative procedures on non-production host,Selected analyzer license facility and checksum tool,Named valid and approved test states,Every failure is distinguishable and cannot publish success,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-006,DS-06,Staleness overwrite and malformed output,Run provenance overwrite atomicity stale detection and corrupt-output rejection,Seeded stale collision and corrupt-copy evidence bundle,Use isolated copies and documented ingestion path,Selected analyzer repository importer and checksum tool,Named valid entitlement,Only fresh checksum-bound complete output is selectable,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-007,DS-06,Timeout cancellation concurrency and recovery,Process trees locks cleanup license seats crash and rerun behavior,Approved timeout cancel concurrent and crash-recovery bundles,Use vendor-supported operations on approved non-production host,Process inspection selected analyzer and checksum tool,Named entitlement with seat policy,No mixed output orphan process stale lock or publishable partial result,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-008,DS-06,Reproducibility,Allowed variable metadata and repeat numeric stability,Three isolated identical-setting run bundles,Run fixed representative fixture three times,Selected analyzer normalization comparison and checksum tools,Named valid entitlement,All runs satisfy predeclared normalization and tolerance,BLOCKS_NUMERIC_RELEASE,Analyzer Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-009,DS-06,CSV PDF and mock authority,Native lineage producer version coverage rounding and bypass rejection,Native IF3 CSV PDF and mock-negative lineage bundle,Run fixed native case then documented repository exports,Selected analyzer repository export and checksum tools,Named valid entitlement,Only live IF3 is authoritative and derived artifacts declare omissions/rounding,BLOCKS_NUMERIC_RELEASE,Output Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
AN-BLK-010,DS-06,Load case and combination mapping,Native and repository case/combination identities coefficients and contexts,One-case and asymmetric two-case combination mapping bundles,Run fixed native cases then documented import,Selected analyzer repository adapter and checksum tools,Named valid entitlement,Cases map bijectively and combinations retain semantics or reject explicitly,BLOCKS_NUMERIC_RELEASE,Load Mapping Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-01 evidence harness COMPLETE; EA-03 external run package COMPLETE; machine capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
GOLD-BLK-001,DS-07,Analytical Goldens,Independent derivations signed conventions checksums error bounds and approvals,One immutable derivation package for GOLD-001 through GOLD-005,Derive without Apollo output and independently review,Independent calculation and checksum tools,NOT_APPLICABLE,Two independent derivations agree for each expected quantity,BLOCKS_NUMERIC_RELEASE,Golden Custodian,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 analytical golden package COMPLETE; TOOLING_REVIEWED_NOT_GOLD_APPROVED; D-005 organizational closure BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
GOLD-BLK-002,DS-07,Golden tolerance,Per-quantity absolute relative zero precision rounding conversion and comparison rules,Approved tolerance worksheet linked to every case,Establish error budget before first implementation comparison,Independent calculation and review tools,Reference license only if documentation is needed,All tolerance facets are justified frozen and nonblank,BLOCKS_NUMERIC_RELEASE,Golden Custodian,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 analytical golden package COMPLETE; TOOLING_REVIEWED_NOT_GOLD_APPROVED; D-005 organizational closure BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
GOLD-BLK-003,DS-07,Reference software Goldens,Fixed reference identity settings mappings checksums and repeat runs,Licensed native input/output bundle for GOLD-006 and GOLD-010,Follow DS-06 machine procedure and retain three runs,Selected reference software and checksum tools,Named valid entitlement,Three runs reproduce and every value traces to native output,BLOCKS_NUMERIC_RELEASE,Reference Software Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 tooling partial; EA-03 runbook COMPLETE; reference software capture BLOCKED,POST-EA-01 captured no reference software runs; blocker unchanged; resolved canonical blockers 0
GOLD-BLK-004,DS-07,Serialization Golden,Independent parent oracle canonicalization and immutable artifacts,Canonical serialization package with parent Golden link,Generate only from independently approved contract fixture,Repository serializer and checksum tool,NOT_APPLICABLE,Round trip preserves governed semantics without circular oracle,BLOCKS_NUMERIC_RELEASE,Contract Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 regression/serialization tooling; independent approval BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
GOLD-BLK-005,DS-07,Bridge reference cases,Approved four five and six main-girder models and licensed results,Three complete native/repository model evidence bundles,Acquire lawful non-production models and run fixed identity,Selected reference software mapping and checksum tools,Named valid entitlement,Topology loads conventions and repeat results are complete and approved,BLOCKS_NUMERIC_RELEASE,Bridge Model Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 tooling partial; EA-03 runbook COMPLETE; reference software capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
GOLD-BLK-006,DS-07,Negative Goldens,Independent failure contracts statuses diagnostics and absence rules,Immutable negative package for GOLD-012 through GOLD-014,Derive from schema/authority before running implementation,Schema validator IF3 gate and checksum tools,NOT_APPLICABLE,Named rejection occurs with no authoritative output,BLOCKS_NUMERIC_RELEASE,Contract Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 regression/serialization tooling; independent approval BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
GOLD-BLK-007,DS-07,Design verification Golden,Adopted predecessor numerics and independent design derivation,Immutable source input derivation expected verdict package,Clear DS-02 through DS-05 then derive without Apollo,Authorized standards independent calculation and checksum tools,Authorized R7 and JIS access,Every value traces to adopted source and verdict is independently reproduced,BLOCKS_NUMERIC_RELEASE,Verification Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 tooling; DS-02..05 source prerequisites BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
GOLD-BLK-008,DS-07,Export Golden,Approved parent numeric Golden live IF3 and internal/display export evidence,Immutable source IF3 CSV PDF and lineage manifest,Run only after live authority passes and independently inspect exports,Repository export PDF inspection and checksum tools,NOT_APPLICABLE,No bypass all fields covered and rounding lineage explicit,BLOCKS_NUMERIC_RELEASE,Export Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-02 export tooling; parent Golden and live IF3 authority BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PAR-BLK-001,DS-08,Reference identity,Installed SPACER STATICS and related identity/version/checksum evidence,Authorized version/build/executable/service manifest,Apply DS-06 safe identity procedure,Installed product facility and SHA-256 tool,Named valid entitlement,Every product/module/process relationship is fixed,BLOCKS_NUMERIC_RELEASE,Reference Software Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-03 SPACER runbook; actual SPACER capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PAR-BLK-002,DS-08,Input and topology semantics,Native schemas meanings identities topology and transformation,Checksum-fixed native/Apollo model pairs and mapping spec,Export permitted inputs and map before results,SPACER input mapping and checksum tools,Named valid entitlement,Bijective complete round-trip mapping has no ambiguity,BLOCKS_NUMERIC_RELEASE,Model Mapping Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-03 SPACER runbook; actual SPACER capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PAR-BLK-003,DS-08,Coordinates DOF I-J and signs,SPACER bases ordering end mapping and all signs,Positive-component transformation/equilibrium bundle,Run fixed coordinate/sign probes,SPACER STATICS independent calculation and checksum tools,Named valid entitlement,Predefined invertible mapping closes equilibrium,BLOCKS_NUMERIC_RELEASE,Parity Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-03 SPACER runbook; actual SPACER capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PAR-BLK-004,DS-08,Load cases and combinations,Native identities components coefficients applications and contexts,One-case and asymmetric combination evidence bundles,Run fixed models and review mapping before comparison,SPACER STATICS mapping and checksum tools,Named valid entitlement,Cases and combinations preserve all semantics or reject explicitly,BLOCKS_NUMERIC_RELEASE,Load Mapping Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-03 SPACER runbook; actual SPACER capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PAR-BLK-005,DS-08,Actual numeric results,Fixed native full-precision three-run results and Apollo bundle,Three native runs Apollo output and full comparison manifest,Acquire after semantic and Golden gates close,SPACER STATICS Apollo analyzer comparison and checksum tools,Named valid entitlement,All components units mappings tolerances and coverage pass,BLOCKS_NUMERIC_RELEASE,Numeric Parity Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-03 SPACER runbook; actual SPACER capture BLOCKED,POST-EA-01 produced blocker-specific parity placeholders only; no actual SPACER outputs captured; resolved canonical blockers 0
PAR-BLK-006,DS-08,Comparison harness,Fail-closed symmetric coverage and tolerance behavior,Versioned design-numeric-free negative validation bundle,Build non-product harness before release and independently test,Repository test runner and checksum tool,NOT_APPLICABLE,No false PASS for missing extra duplicate malformed empty or near-zero data,BLOCKS_AUTOMATED_PARITY_CLAIM,Comparison Tool Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-05 dry run OPERATIONAL; WI-001 organizational sign-off BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PAR-BLK-007,DS-08,Materials and stiffness,Adopted material sources and native formulation mapping,Immutable source and native/Apollo property mapping bundle,Clear predecessor sources then map fixed probes,Authorized standards SPACER and checksum tools,Authorized standards plus named SPACER entitlement,Every property is sourced and formulation-mapped,BLOCKS_NUMERIC_RELEASE,Material Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-03 SPACER runbook; actual SPACER capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
PAR-BLK-008,DS-08,Report drawing and file parity,Producer precision layouts schemas encoding rounding and samples,Checksum-fixed native/Apollo output bundle with semantic map,Export fixed identities and compare predeclared fields,SPACER output Apollo visual and checksum tools,Named valid entitlement,Producer precision field coverage encoding and exclusions are approved,BLOCKS_OUTPUT_PARITY_CLAIMS,Output Owner,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,EA-04 parity harness COMPLETE; EA-03 SPACER runbook; actual SPACER capture BLOCKED,Status unchanged after EA-00..05; enablement/tooling distinct from closure; resolved canonical blockers 0
