golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-AD-0036,adopted_design,adopted_material.shear_yield_sm490y,ENT-GIRDER-AG1,205,N/mm2,205,N/mm2,MATERIAL_PROPERTY,"MATSEC-009,CAL-VAL-P01285-003",AD-020,calc_pdf_p149,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,SM490Y shear yield tau_y.
G-AD-0037,adopted_design,adopted_bearing.PU15.type,ENT-SUPPORT-PU15,E,,,,bearing_type,CH5-VAL-004,AD-021,calc_pdf_p2027,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,"PU15 elastic-fixed bearing (E), side-block restraint."
G-AD-0038,adopted_design,adopted_bearing.PU15.rubber_layer,ENT-SUPPORT-PU15,32,mm,0.032,m,DIMENSION,"ADV-011,CH5-VAL-016",AD-022,calc_pdf_p2031,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PU15 rubber layer te=32 mm x 5 layers.
G-AD-0039,adopted_design,adopted_bearing.PU15.rubber_total,ENT-SUPPORT-PU15,160,mm,0.16,m,DIMENSION,CH5-VAL-017,AD-023,calc_pdf_p2031,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PU15 total rubber thickness sum te.
G-AD-0040,adopted_design,adopted_bearing.PU15.lead_plug,ENT-SUPPORT-PU15,95,mm,0.095,m,DIMENSION,"ADV-013,CH5-VAL-024",AD-025,calc_pdf_p2031,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PU15 lead plug diameter phi_d 95 mm x 4.
G-AD-0041,adopted_design,adopted_bearing.PU15.stiffness,ENT-SUPPORT-PU15,12.391,kN/mm,12.391,kN/mm,MATERIAL_PROPERTY,CH5-VAL-031,AD-027,calc_pdf_p2034,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PU15 combined stiffness Km at +-50 deg C.
G-AD-0042,adopted_design,adopted_bearing.PR1.type,ENT-SUPPORT-PR1,E,,,,bearing_type,CH5-VAL-004,AD-028,calc_pdf_p2027,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PR1 elastic-fixed bearing (E).
G-AD-0043,adopted_design,adopted_bearing.PR1.rubber_layer,ENT-SUPPORT-PR1,37,mm,0.037,m,DIMENSION,"ADV-012,CH5-VAL-018",AD-029,calc_pdf_p2031,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PR1 rubber layer te=37 mm x 5 layers.
G-AD-0044,adopted_design,adopted_bearing.PR1.rubber_total,ENT-SUPPORT-PR1,185,mm,0.185,m,DIMENSION,CH5-VAL-019,AD-030,calc_pdf_p2031,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PR1 total rubber thickness sum te.
G-AD-0045,adopted_design,adopted_bearing.PR1.lead_plug,ENT-SUPPORT-PR1,150,mm,0.15,m,DIMENSION,"ADV-014,CH5-VAL-025",AD-031,calc_pdf_p2031,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PR1 lead plug diameter phi_d 150 mm.
G-AD-0046,adopted_design,adopted_bearing.PR1.stiffness,ENT-SUPPORT-PR1,37.613,kN/mm,37.613,kN/mm,MATERIAL_PROPERTY,CH5-VAL-032,AD-032,calc_pdf_p2034,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PR1 combined stiffness Km at +-50 deg C.
G-AD-0047,adopted_design,adopted_bearing.PR2.stiffness,ENT-SUPPORT-PR2,35.271,kN/mm,35.271,kN/mm,MATERIAL_PROPERTY,CH5-VAL-033,AD-033,calc_pdf_p2034,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,PR2 combined stiffness Km at +-50 deg C.
G-AD-0048,adopted_design,adopted_bearing.AR2.stiffness,ENT-SUPPORT-AR2,12.112,kN/mm,12.112,kN/mm,MATERIAL_PROPERTY,CH5-VAL-034,AD-034,calc_pdf_p2034,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,AR2 combined stiffness Km at +-50 deg C.
G-AD-0049,adopted_design,adopted_bearing.step_prevention.buffer,ENT-SUPPORT-AR2,900,mm,0.9,m,DIMENSION,"ADV-015,CH5-VAL-048",AD-035,calc_pdf_p2192,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Step-prevention buffer length 900 mm.
G-AD-0050,adopted_design,adopted_bearing.step_prevention.top_plate,ENT-SUPPORT-AR2,25,mm,0.025,m,DIMENSION,CH5-VAL-050,AD-036,calc_pdf_p2192,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Step-prevention top plate thickness 25 mm.
