golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-GEO-0011,geometry,grid_point.1027.X,ENT-GIRDER-AG1,132.76045,m,132.76045,m,COORDINATE,CAL-TBL-P00141-003,GEO-014,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 1027 X coordinate
G-GEO-0012,geometry,grid_point.1027.Y,ENT-GIRDER-AG1,1.55372,m,1.55372,m,COORDINATE,CAL-TBL-P00141-004,GEO-015,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 1027 Y coordinate
G-GEO-0013,geometry,grid_point.2001.X,ENT-GIRDER-AG2,1.46395,m,1.46395,m,COORDINATE,CAL-TBL-P00141-005,GEO-016,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 2001 X coordinate
G-GEO-0014,geometry,grid_point.2001.Y,ENT-GIRDER-AG2,-3.02859,m,-3.02859,m,COORDINATE,CAL-TBL-P00141-006,GEO-017,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 2001 Y coordinate
G-GEO-0015,geometry,grid_point.2027.X,ENT-GIRDER-AG2,132.55077,m,132.55077,m,COORDINATE,CAL-TBL-P00141-007,GEO-018,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 2027 X coordinate
G-GEO-0016,geometry,grid_point.2027.Y,ENT-GIRDER-AG2,-2.94155,m,-2.94155,m,COORDINATE,CAL-TBL-P00141-008,GEO-019,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 2027 Y coordinate
G-GEO-0017,geometry,cross_section.deck_total_width,ENT-DECK,8010,mm,8.01,m,DIMENSION,"CAL-FIG-P00118-001,CH1-VAL-010,GEO-019",GEO-070,calc_pdf_p118,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Standard cross section 8010 x 7000 mm (deck total x effective)
G-GEO-0018,geometry,cross_section.deck_thickness,ENT-DECK,230,mm,0.23,m,deck_thickness,"CH1-VAL-022,CH2-VAL-022,CAL-VAL-P00119-004,DWG-DIM-S009-007",GEO-071,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Composite deck thickness 230 mm
G-GEO-0019,geometry,cross_section.pavement_thickness,ENT-DECK,80,mm,0.08,m,DIMENSION,"CH1-VAL-021,CAL-VAL-P00119-001,DWG-DIM-S009-008",GEO-072,calc_pdf_p7,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Pavement thickness 80 mm
G-GEO-0020,geometry,cross_section.upper_flange_width,ENT-GIRDER-AG1,620,mm,0.62,m,DIMENSION,"DWG-DIM-S013-010,ADV-001",GEO-073,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Top flange width 620 mm (all sections)
G-GEO-0021,geometry,cross_section.web_height,ENT-GIRDER-AG1,2537-2657,mm,2537-2657,m,DIMENSION,"DWG-DIM-S013-012,GEO-017",GEO-076,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Web height range 2537-2657 mm across sections
G-GEO-0022,geometry,cross_section.web_thickness,ENT-GIRDER-AG1,14,mm,0.014,m,DIMENSION,"DWG-DIM-S013-013,ADV-002,GEO-018",GEO-077,,DWG-S013,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Web thickness 14 mm (constant)
G-GEO-0023,geometry,support_line.pu15,ENT-SUPPORT-PU15,PU15,,PU15,,SUPPORT_CONDITION,"DWG-MEM-S1,MEMID-005",GEO-078,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Support line PU15 (S1); outer pier/abutment (drawing sheets 9-12)
G-GEO-0024,geometry,support_line.pr1,ENT-SUPPORT-PR1,PR1,,PR1,,SUPPORT_CONDITION,"DWG-MEM-PR1,MEMID-007",GEO-079,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Support line PR1; intermediate pier 1 (drawing sheets 9-12)
G-GEO-0025,geometry,support_line.pr2,ENT-SUPPORT-PR2,PR2,,PR2,,SUPPORT_CONDITION,"DWG-MEM-PR2,MEMID-008",GEO-080,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Support line PR2; intermediate pier 2 (drawing sheets 9-12)
G-GEO-0026,geometry,support_line.ar2,ENT-SUPPORT-AR2,AR2,,AR2,,SUPPORT_CONDITION,"DWG-MEM-S2,MEMID-006",GEO-081,,DWG-S009,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Support line AR2 (S2); outer abutment; calc label A2 (conflict CF-001)
G-GEO-0027,geometry,elevation.longitudinal_gradient.1,ENT-LINE-ACL,6.000,%,6.000,%,longitudinal_gradient,CH1-VAL-016,GEO-082,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Longitudinal gradient i1
G-GEO-0028,geometry,elevation.longitudinal_gradient.2,ENT-LINE-ACL,0.100,%,0.100,%,longitudinal_gradient,CH1-VAL-017,GEO-083,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Longitudinal gradient i2
G-GEO-0029,geometry,elevation.cross_gradient.1,ENT-LINE-ACL,5.000,%,5.000,%,cross_gradient,CH1-VAL-018,GEO-084,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Cross gradient i1
G-GEO-0030,geometry,elevation.cross_gradient.2,ENT-LINE-ACL,2.000,%,2.000,%,cross_gradient,CH1-VAL-019,GEO-085,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Cross gradient i2
G-GEO-0031,geometry,elevation.cross_gradient.3,ENT-LINE-ACL,2.958,%,2.958,%,cross_gradient,CH1-VAL-020,GEO-086,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Cross gradient i3
G-GEO-0032,geometry,elevation.deck_elevation_DL,ENT-DECK,10.00,m,10.00,m,DIMENSION,S141-D11,GEO-087,,DWG-S141,DRAWING,MEDIUM,PARTIAL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,geometry Golden from Phase 2-II candidate; MEDIUM confidence; human confirmation HCR-001 tracked,HCR-001,,H29_REFERENCE,Deck level D.L. 10.00 m from sheet 141 OCR
G-GEO-0033,geometry,elevation.ground_level_V,ENT-LINE-ACL,15.250,m,15.250,m,DIMENSION,S141-D08,GEO-088,,DWG-S141,DRAWING,MEDIUM,PARTIAL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,geometry Golden from Phase 2-II candidate; MEDIUM confidence; human confirmation HCR-001 tracked,HCR-001,,H29_REFERENCE,Construction base level V 15.250 m from sheet 141 OCR
